Episode,Total_Steps,Reward,Ep_Steps,Epsilon,Avg_Loss,Success,Collision
1,34,-89.99795027907297,34,0.983665,0.0,0,1
2,84,16.92106147046386,50,0.958915,0.0,0,0
3,86,-50.27960691901614,2,0.957925,0.0,0,1
4,102,-63.81315333509556,16,0.950005,0.0,0,1
5,139,159.0624477851935,37,0.93169,0.0,1,0
6,189,12.585386643948691,50,0.90694,0.0,0,0
7,197,-68.6287668836789,8,0.90298,0.0,0,1
8,247,67.7859301070974,50,0.87823,0.0,0,0
9,259,-58.6330134242367,12,0.87229,0.0,0,1
10,265,-58.08952599092494,6,0.86932,0.0,0,1
11,269,-53.151129763785164,4,0.86734,0.0,0,1
12,319,-102.6645008204945,50,0.84259,0.0,0,0
13,332,-58.48628557206072,13,0.836155,0.0,0,1
14,343,-77.06187260970283,11,0.83071,0.0,0,1
15,361,-25.900345418321837,18,0.8218,0.0,0,1
16,411,-27.096787497850165,50,0.79705,0.0,0,0
17,435,-109.5193578305556,24,0.78517,0.0,0,1
18,470,-108.49798120882407,35,0.767845,0.0,0,1
19,520,31.932102837326646,50,0.7430950000000001,0.0,0,0
20,569,-74.08700346067026,49,0.71884,0.0,0,1
21,574,-56.52459046382674,5,0.716365,0.0,0,1
22,601,-83.64398275887868,27,0.7030000000000001,0.0,0,1
23,622,-71.13923093019355,21,0.692605,0.0,0,1
24,625,-50.4,3,0.69112,0.0,0,1
25,654,-127.75352743619455,29,0.6767650000000001,0.0,0,1
26,662,-69.32122853870641,8,0.672805,0.0,0,1
27,668,-57.462127111262795,6,0.669835,0.0,0,1
28,717,-108.02567848628874,49,0.64558,0.0,0,1
29,731,-84.51234627466283,14,0.6386499999999999,0.0,0,1
30,741,117.30204487932079,10,0.6336999999999999,0.0,1,0
31,791,-109.5444373132571,50,0.60895,0.0,0,0
32,841,5.249843238254816,50,0.5842,0.0,0,0
33,844,-51.859758704674775,3,0.5827150000000001,0.0,0,1
34,894,-80.95089916713195,50,0.557965,0.0,0,0
35,899,-53.63993132443725,5,0.55549,0.0,0,1
36,931,-141.5779089142493,32,0.53965,0.0,0,1
37,972,-39.99913634477505,41,0.519355,0.0,0,1
38,1020,-156.85615014644642,48,0.495595,0.0,0,1
