Episode,Total_Steps,Reward,Ep_Steps,Epsilon,Avg_Loss,Success
1,200,-16.33342703717557,200,0.9505,0.0,0
2,247,-149.62466616517136,47,0.9388675,0.0,0
3,447,-25.205125990410682,200,0.8893675,0.0,0
4,647,-21.1823724693392,200,0.8398675,0.0,0
5,703,-149.9121011462352,56,0.8260075,0.0,0
6,744,-148.88180487520407,41,0.81586,0.0,0
7,784,-148.94868087954055,40,0.80596,0.0,0
8,844,-149.21237118981193,60,0.79111,0.0,0
9,899,-149.17813274988313,55,0.7774975,0.0,0
10,951,-149.03022500461455,52,0.7646275,0.0,0
11,999,-149.64943490259964,48,0.7527475,0.0,0
12,1186,-168.51319648486964,187,0.706465,0.0,0
13,1386,-19.674443418143245,200,0.656965,0.0,0
14,1429,-149.21986974078047,43,0.6463224999999999,0.0,0
15,1506,-152.06616661419943,77,0.627265,87.93530285467084,0
16,1706,-30.441045389407247,200,0.5777650000000001,142.06621851840987,0
17,1879,-192.24092987865126,173,0.5349475,121.16465904120076,0
18,1904,-147.18511529963186,25,0.52876,101.75058155059814,0
19,2104,-36.65860807478699,200,0.47926,125.87695858001709,0
20,2249,-186.39186071422625,145,0.44337249999999995,106.56842837662532,0
21,2272,-146.944056566052,23,0.43768000000000007,87.97359093116677,0
22,2376,-154.9164711640815,104,0.4119400000000001,124.368328837248,0
23,2398,-147.1923118323474,22,0.40649499999999994,122.11176748167385,0
24,2462,-146.93056359753362,64,0.390655,123.65257674455643,0
25,2594,-157.3483001197275,132,0.357985,126.67596810875517,0
26,2738,-159.28971596675427,144,0.322345,118.731504968471,0
27,2938,-33.88051818344429,200,0.272845,126.32024559259415,0
28,2959,-146.9793558944122,21,0.26764750000000004,129.94566439446947,0
29,3024,-151.42427639645402,65,0.25156,109.0768394103417,0
30,3201,-183.6870381945921,177,0.2077525,110.196653292004,0
31,3297,-150.96189840892856,96,0.1839925,99.83349272112052,0
32,3314,-146.51852291907494,17,0.17978499999999997,138.74646489760454,0
33,3514,-27.223630434114984,200,0.1302850000000001,109.69944533705711,0
34,3714,-25.993912194329827,200,0.080785,92.1551877439022,0
35,3875,-159.77798844709093,161,0.04093749999999996,85.76062845147175,0
36,3965,-151.3142831404306,90,0.018662500000000026,89.40915433035957,0
37,3999,-147.65904292906856,34,0.010247499999999965,96.93833289426915,0
38,4199,-17.12049288052745,200,0.010000000000000009,74.41556840121746,0
39,4297,-154.53444191096926,98,0.010000000000000009,74.0500836567003,0
40,4497,-25.622390329310797,200,0.010000000000000009,75.82360921382904,0
41,4609,-178.49017295568473,112,0.010000000000000009,70.22337542687144,0
42,4632,-147.08154746765285,23,0.010000000000000009,81.16956665204918,0
43,4832,-21.72785697408336,200,0.010000000000000009,66.74050046920776,0
44,4888,-150.74562988884708,56,0.010000000000000009,64.91716856615884,0
45,5088,-18.36546442938112,200,0.010000000000000009,67.60239875078202,0
46,5186,-151.79900438251403,98,0.010000000000000009,66.19971023773661,0
47,5386,-26.75546709509645,200,0.010000000000000009,61.43333908319473,0
48,5586,-23.630525151096236,200,0.010000000000000009,56.93008022785187,0
49,5786,-22.259078640283963,200,0.010000000000000009,56.75015191316604,0
50,5986,-24.16700028319575,200,0.010000000000000009,50.5465068936348,0
51,6186,-18.775538483612085,200,0.010000000000000009,47.847416725158695,0
52,6386,-18.40935073209457,200,0.010000000000000009,41.23761878252029,0
53,6586,-21.040267424701405,200,0.010000000000000009,43.45238472700119,0
54,6786,-22.88811736884501,200,0.010000000000000009,41.96182097554207,0
55,6986,-22.566569608457776,200,0.010000000000000009,42.31707586884499,0
56,7186,-22.291743794066157,200,0.010000000000000009,34.12735327959061,0
57,7386,-26.955214390814138,200,0.010000000000000009,33.97830603480339,0
58,7586,-21.367683035841697,200,0.010000000000000009,32.15023466587067,0
59,7786,-21.53528034862829,200,0.010000000000000009,29.761256182193755,0
60,7986,-24.820052858379235,200,0.010000000000000009,32.68893064260483,0
61,8186,-20.29775853766484,200,0.010000000000000009,28.71839446425438,0
62,8386,-32.14836648409975,200,0.010000000000000009,27.27511311888695,0
63,8586,-21.7061768606144,200,0.010000000000000009,28.84750932574272,0
64,8786,-24.754234322427465,200,0.010000000000000009,24.27176872253418,0
65,8986,193.07852454467368,200,0.010000000000000009,22.954258776903153,0
66,9037,-147.7308665344672,51,0.010000000000000009,29.625578338024663,0
67,9081,-148.19577549875976,44,0.010000000000000009,36.797666907310486,0
68,9131,-148.49395041560547,50,0.010000000000000009,44.02941371917725,0
69,9174,-148.41257218930855,43,0.010000000000000009,35.44387604469477,0
70,9374,-46.94190778529025,200,0.010000000000000009,33.569096512794495,0
71,9574,-42.50529378698762,200,0.010000000000000009,34.05865213274956,0
72,9658,-152.20787936608562,84,0.010000000000000009,32.358484739349,0
73,9846,-184.9102506999124,188,0.010000000000000009,33.900079001771644,0
74,9920,-151.43030166588196,74,0.010000000000000009,40.901827921738494,0
75,10120,-37.69759540073276,200,0.010000000000000009,41.893490831851956,0
76,10167,-148.89284587135558,47,0.010000000000000009,34.51660435250465,0
77,10351,-162.81715147885518,184,0.010000000000000009,42.18017318585645,0
78,10551,-18.81651685992857,200,0.010000000000000009,39.251467938423154,0
79,10751,-32.458977993328226,200,0.010000000000000009,37.2593648314476,0
80,10951,-33.232033741357796,200,0.010000000000000009,34.70247707605362,0
81,11151,-32.023180098293395,200,0.010000000000000009,34.78056796789169,0
82,11351,-35.25278729333212,200,0.010000000000000009,38.46686313867569,0
83,11551,-21.980127057343385,200,0.010000000000000009,32.05444957971573,0
84,11751,-29.869114235224693,200,0.010000000000000009,31.111881566047668,0
85,11951,-24.834835065668408,200,0.010000000000000009,29.26568075656891,0
86,12151,-43.13823353327131,200,0.010000000000000009,32.764572067260744,0
87,12351,-17.684609495228077,200,0.010000000000000009,31.252621183395387,0
88,12551,-23.07736912133404,200,0.010000000000000009,24.265585517883302,0
89,12751,-23.18572582933885,200,0.010000000000000009,24.24637058377266,0
90,12951,-22.54300664347596,200,0.010000000000000009,27.604050400257112,0
91,13151,-22.89972766462688,200,0.010000000000000009,27.301524996757507,0
92,13351,-18.700729390571006,200,0.010000000000000009,22.304776231050493,0
93,13551,-21.90656941833224,200,0.010000000000000009,22.539532766342163,0
94,13751,-25.165609577256888,200,0.010000000000000009,19.132384124994278,0
95,13951,-22.801487887551815,200,0.010000000000000009,18.86965908050537,0
96,14151,-22.056555376394808,200,0.010000000000000009,18.323039916753768,0
97,14351,-22.05662903610876,200,0.010000000000000009,17.565230164527893,0
98,14551,-24.52704412602731,200,0.010000000000000009,19.25670269548893,0
99,14751,-20.591385942120365,200,0.010000000000000009,14.15857129096985,0
100,14951,-23.34300664813038,200,0.010000000000000009,12.100812376737595,0
101,15151,-22.48769641152846,200,0.010000000000000009,11.0190273052454,0
102,15351,-20.893484995097978,200,0.010000000000000009,12.238602232336998,0
103,15551,-21.676187383539162,200,0.010000000000000009,12.914966794252395,0
104,15751,-23.070318611493963,200,0.010000000000000009,10.531392796039581,0
105,15951,-21.66556803914209,200,0.010000000000000009,9.583305255174636,0
106,16151,-21.071287876611198,200,0.010000000000000009,12.94510106921196,0
107,16351,-23.342104198500575,200,0.010000000000000009,8.366761127710342,0
108,16551,-23.697896006809483,200,0.010000000000000009,9.506843113303184,0
109,16751,-22.340890085991486,200,0.010000000000000009,13.220356808900833,0
110,16951,-24.295296893530026,200,0.010000000000000009,9.20453437268734,0
111,17151,-24.058796599073183,200,0.010000000000000009,7.943180142641068,0
112,17351,-22.52508233468255,200,0.010000000000000009,9.478538893461227,0
113,17551,-22.400203419183274,200,0.010000000000000009,11.237640643119812,0
114,17751,-22.792026004941956,200,0.010000000000000009,12.667009481489659,0
115,17951,-24.02223783238271,200,0.010000000000000009,11.254177258014678,0
116,18151,-21.268638340104395,200,0.010000000000000009,9.911731649637222,0
117,18351,-22.852047438333848,200,0.010000000000000009,7.257702068090439,0
118,18551,-25.599004208756057,200,0.010000000000000009,9.476833932995795,0
119,18751,-21.221334169797103,200,0.010000000000000009,5.038372246623039,0
120,18951,-23.768588117569536,200,0.010000000000000009,6.0270280095934865,0
121,19151,-22.00933253556931,200,0.010000000000000009,3.2535824120044707,0
122,19351,-22.373172921147223,200,0.010000000000000009,2.116249401271343,0
123,19551,-22.806330957779682,200,0.010000000000000009,2.0699248042702676,0
124,19751,-22.977033704971014,200,0.010000000000000009,2.053042664527893,0
125,19951,-22.445411621828807,200,0.010000000000000009,1.5833748552203177,0
126,20151,-22.412644772267207,200,0.010000000000000009,1.1832471545040608,0
127,20351,-21.0364263357801,200,0.010000000000000009,0.9299559338390827,0
128,20551,-19.428697912580432,200,0.010000000000000009,0.781672683954239,0
129,20751,-18.5191642392671,200,0.010000000000000009,0.6660581436753273,0
130,20951,-22.16719010374219,200,0.010000000000000009,0.5431740783154965,0
131,21151,-20.089019507313825,200,0.010000000000000009,0.4863141736388206,0
132,21351,-19.608061751817342,200,0.010000000000000009,0.3997498140484095,0
133,21478,-157.59007315126547,127,0.010000000000000009,0.36387093001463283,0
134,21678,-20.520553709256852,200,0.010000000000000009,1.898189883455634,0
135,21878,-21.20055034108013,200,0.010000000000000009,1.182071822732687,0
136,22078,-15.769914936459434,200,0.010000000000000009,1.347013777643442,0
137,22126,-149.08439160155254,48,0.010000000000000009,1.137106055393815,0
138,22326,-20.90077791886107,200,0.010000000000000009,3.0661654453724623,0
139,22526,-18.65421862088013,200,0.010000000000000009,4.29096955627203,0
140,22726,-20.408627009719183,200,0.010000000000000009,2.1211178819835186,0
141,22758,-147.44364321971102,32,0.010000000000000009,0.5858841934241354,0
142,22794,-148.16934451329163,36,0.010000000000000009,1.5200499941905339,0
143,22823,-147.93507511274294,29,0.010000000000000009,3.431063022079139,0
144,22999,-161.1262933467674,176,0.010000000000000009,8.300505759533156,0
145,23199,-19.554584741139255,200,0.010000000000000009,9.093587132543325,0
146,23224,-146.29075964469558,25,0.010000000000000009,13.841874500513077,0
147,23376,-156.98739266737758,152,0.010000000000000009,11.99811229207798,0
148,23576,-15.260174193194661,200,0.010000000000000009,12.853603239357472,0
149,23776,-9.863782594215412,200,0.010000000000000009,11.385733325928449,0
150,23976,-14.764537377897835,200,0.010000000000000009,11.313048468530178,0
151,24016,-146.4002555611416,40,0.010000000000000009,11.074889563024044,0
152,24216,-15.235513892155165,200,0.010000000000000009,11.034490706920623,0
153,24416,-15.83384926092185,200,0.010000000000000009,10.401525782346726,0
154,24457,-148.508451775641,41,0.010000000000000009,10.290151466683644,0
155,24657,-20.594003395396097,200,0.010000000000000009,13.773944196999073,0
156,24696,-149.05431728480713,39,0.010000000000000009,12.446025963012989,0
157,24896,-14.848387933028437,200,0.010000000000000009,15.05269507497549,0
158,25096,-17.366063610918854,200,0.010000000000000009,14.634275915026665,0
159,25296,-20.112704372511914,200,0.010000000000000009,10.854227936565875,0
160,25458,-158.61179094537454,162,0.010000000000000009,16.39056611649784,0
161,25658,-22.36886749392464,200,0.010000000000000009,16.644450700283052,0
162,25858,-14.456751469272982,200,0.010000000000000009,15.859442047476769,0
163,26058,-16.903533582212592,200,0.010000000000000009,15.850082286000251,0
164,26258,-19.85937413990612,200,0.010000000000000009,17.976536654233932,0
165,26458,-25.05968333637523,200,0.010000000000000009,17.244596456885336,0
166,26658,-19.755249478035005,200,0.010000000000000009,12.08690143585205,0
167,26858,-23.622220377709315,200,0.010000000000000009,16.67044663488865,0
168,27058,-25.622931346183467,200,0.010000000000000009,13.803785765171051,0
169,27258,-24.263869218264166,200,0.010000000000000009,13.626103577017783,0
170,27458,-24.21210630152968,200,0.010000000000000009,13.511409080028534,0
171,27658,-26.867799476736355,200,0.010000000000000009,12.589167850017548,0
172,27858,-24.41848933495468,200,0.010000000000000009,14.434739964008331,0
