Episode,Total_Steps,Reward,Ep_Steps,Epsilon,Avg_Loss,Success,Collision
1,100,-6.829254353208011,100,0.90199,0.0,0,0
2,200,-14.032391933007572,100,0.80299,0.0,0,0
3,300,-9.366369704203773,100,0.70399,0.0,0,0
4,400,1.3776240180591612,100,0.6049899999999999,0.0,0,0
5,500,-10.777179263069323,100,0.5059899999999999,0.0,0,0
6,600,-2.8702972097220405,100,0.4069900000000001,0.0,0,0
7,700,-4.923827120078007,100,0.3079900000000001,0.0,0,0
8,800,-10.015601860297647,100,0.20899,0.0,0,0
9,900,-15.890157456391734,100,0.10999000000000003,0.0,0,0
10,1000,-16.582219397444756,100,0.010990000000000055,0.0,0,0
11,1001,10.0,1,0.010000000000000009,0.0,1,0
12,1101,-9.203831214557535,100,0.010000000000000009,0.0,0,0
13,1201,-16.10879557606485,100,0.010000000000000009,0.0,0,0
14,1301,-17.647281912341075,100,0.010000000000000009,0.0,0,0
15,1401,-15.156855612699704,100,0.010000000000000009,0.0,0,0
16,1501,-14.675373350768982,100,0.010000000000000009,0.05677919462323189,0,0
17,1523,13.06802363620833,22,0.010000000000000009,0.11605761555785482,1,0
18,1623,-9.776932962383524,100,0.010000000000000009,0.15491768639534712,0,0
19,1624,10.0,1,0.010000000000000009,0.04202837869524956,1,0
20,1698,-13.708864903485058,74,0.010000000000000009,0.26924601328131315,0,1
21,1775,-19.72635245390329,77,0.010000000000000009,0.2640043995403624,0,1
22,1875,-3.321802177159986,100,0.010000000000000009,0.3282549140974879,0,0
23,1975,-10.126747233416534,100,0.010000000000000009,0.3487125181406736,0,0
24,2075,-3.886570930771768,100,0.010000000000000009,0.2885284249484539,0,0
25,2087,11.364064605529194,12,0.010000000000000009,0.13993552202979723,1,0
26,2145,10.341226450616368,58,0.010000000000000009,0.3485280757705713,1,0
27,2146,10.0,1,0.010000000000000009,0.03999561071395874,1,0
28,2171,10.64483125218806,25,0.010000000000000009,0.3404361470043659,1,0
29,2172,10.0,1,0.010000000000000009,0.04869513213634491,1,0
30,2272,3.6703707610720686,100,0.010000000000000009,0.43560881342738866,0,0
31,2338,10.310028761822311,66,0.010000000000000009,0.4623923444499572,1,0
32,2438,2.1246137209659306,100,0.010000000000000009,0.41491601143032314,0,0
33,2538,0.015170925471882368,100,0.010000000000000009,0.4361246914789081,0,0
34,2638,-7.502189908788146,100,0.010000000000000009,0.40917673263698817,0,0
35,2738,-4.16548379848971,100,0.010000000000000009,0.34474350210279225,0,0
36,2739,10.0,1,0.010000000000000009,0.3522224724292755,1,0
37,2828,-14.029738275946833,89,0.010000000000000009,0.4012390249984318,0,1
38,2851,14.212527904749198,23,0.010000000000000009,0.4656634884683982,1,0
39,2943,-10.619056490837364,92,0.010000000000000009,0.44017587480661663,0,1
40,3005,15.76328516995915,62,0.010000000000000009,0.45349706084497515,1,0
41,3105,-9.727118486204995,100,0.010000000000000009,0.4537722758203745,0,0
42,3187,-28.34061141296381,82,0.010000000000000009,0.40515501388325925,0,1
43,3287,-13.342257366430278,100,0.010000000000000009,0.39211736515164375,0,1
44,3288,10.0,1,0.010000000000000009,0.2849316895008087,1,0
45,3363,13.887909439905368,75,0.010000000000000009,0.5005120276908079,1,0
46,3458,-28.736819863332926,95,0.010000000000000009,0.4761235817482597,0,1
47,3490,16.467390537794024,32,0.010000000000000009,0.3485425579128787,1,0
48,3500,11.386752553962344,10,0.010000000000000009,0.5009222753345967,1,0
49,3588,-15.446995742996279,88,0.010000000000000009,0.5132973760112443,0,1
50,3673,-21.410092420978668,85,0.010000000000000009,0.5064262818764238,0,1
51,3773,-15.860576295101902,100,0.010000000000000009,0.5554642228782177,0,0
52,3779,10.42972522751468,6,0.010000000000000009,0.548778273165226,1,0
53,3860,-26.985418238693164,81,0.010000000000000009,0.46738513674081106,0,1
54,3959,-20.759897480762874,99,0.010000000000000009,0.5582646451739952,0,1
55,4059,-16.78921581459381,100,0.010000000000000009,0.5012602470070123,0,0
56,4134,-21.441656881878963,75,0.010000000000000009,0.5037191214164098,0,1
57,4234,-17.680607512024284,100,0.010000000000000009,0.44827896527945993,0,0
58,4328,-23.19465725729703,94,0.010000000000000009,0.47959242416347597,0,1
59,4427,-13.747056794902427,99,0.010000000000000009,0.47060878650106563,0,1
60,4527,-3.6073284058301716,100,0.010000000000000009,0.46775605246424673,0,0
61,4627,-4.54515596809891,100,0.010000000000000009,0.417553011290729,0,0
62,4727,-16.89936427291641,100,0.010000000000000009,0.359002948962152,0,0
63,4827,-13.552689923233588,100,0.010000000000000009,0.336605339795351,0,0
64,4895,13.372680694488174,68,0.010000000000000009,0.3953716760939535,1,0
65,4896,10.0,1,0.010000000000000009,0.2783587574958801,1,0
66,4996,-6.306374294109682,100,0.010000000000000009,0.38361606784164903,0,0
67,5055,15.235738589051024,59,0.010000000000000009,0.36477607078218865,1,0
68,5138,12.60344752120582,83,0.010000000000000009,0.3561278186648725,1,0
69,5238,2.7256675317728982,100,0.010000000000000009,0.3696679707989097,0,0
70,5286,11.67446993609116,48,0.010000000000000009,0.312856978426377,1,0
71,5290,10.215654660919736,4,0.010000000000000009,0.4327579326927662,1,0
72,5371,-17.637109423655254,81,0.010000000000000009,0.32907874045180685,0,1
73,5471,-11.079580099705131,100,0.010000000000000009,0.3574067026749253,0,0
74,5559,-18.643326492027988,88,0.010000000000000009,0.3254819444211369,0,1
75,5640,-16.295136628775012,81,0.010000000000000009,0.3363851605006206,0,1
76,5740,-2.5541833989677443,100,0.010000000000000009,0.32829114582389596,0,0
77,5837,-19.074431009938145,97,0.010000000000000009,0.3098672559657662,0,1
78,5937,-8.147944936064372,100,0.010000000000000009,0.33167412102222443,0,0
79,5953,12.87483659868174,16,0.010000000000000009,0.2671549879014492,1,0
80,5999,14.33686650529939,46,0.010000000000000009,0.3384836834409963,1,0
81,6000,10.0,1,0.010000000000000009,0.3446868658065796,1,0
82,6051,14.011689738372407,51,0.010000000000000009,0.2861216207783596,1,0
83,6137,-12.314526380165123,86,0.010000000000000009,0.27721918707843435,0,1
84,6223,-8.62658489043092,86,0.010000000000000009,0.30395902390050333,0,1
85,6323,-2.049740234327679,100,0.010000000000000009,0.31365684390068055,0,0
86,6423,-3.6541274645049513,100,0.010000000000000009,0.2915263324603438,0,0
87,6454,15.397384843442374,31,0.010000000000000009,0.3543255752132785,1,0
88,6531,-10.550020668178718,77,0.010000000000000009,0.29060762143367297,0,1
89,6631,-1.272714549894509,100,0.010000000000000009,0.2560855610668659,0,0
90,6731,-4.618958587406995,100,0.010000000000000009,0.2521187974140048,0,0
91,6753,12.9723772124389,22,0.010000000000000009,0.29390584474260156,1,0
92,6797,17.593263113186605,44,0.010000000000000009,0.24875546449964697,1,0
93,6835,11.984975251069478,38,0.010000000000000009,0.22806058059397497,1,0
94,6935,-2.352483169518705,100,0.010000000000000009,0.28472148537635805,0,0
95,7035,-6.640319953756166,100,0.010000000000000009,0.2653864933550358,0,0
96,7075,13.29265174808748,40,0.010000000000000009,0.2465686084702611,1,0
97,7076,10.0,1,0.010000000000000009,0.3443796932697296,1,0
98,7080,10.220328881424958,4,0.010000000000000009,0.23136703297495842,1,0
99,7130,15.75954876138341,50,0.010000000000000009,0.2981129702925682,1,0
100,7230,-2.924069580765629,100,0.010000000000000009,0.2749564019590616,0,0
101,7247,13.159295930820381,17,0.010000000000000009,0.2747464407892788,1,0
102,7290,14.041954539171202,43,0.010000000000000009,0.29313384187082914,1,0
103,7316,14.210556331005005,26,0.010000000000000009,0.3463429734110832,1,0
104,7373,16.050591006528705,57,0.010000000000000009,0.3239875241068372,1,0
105,7407,16.816929815712008,34,0.010000000000000009,0.2757714730413521,1,0
106,7445,12.625948670602892,38,0.010000000000000009,0.24149995257979945,1,0
107,7545,-3.1428943793582946,100,0.010000000000000009,0.2695431614667177,0,0
108,7600,16.226401336164066,55,0.010000000000000009,0.2802243855866519,1,0
109,7636,15.657595889073633,36,0.010000000000000009,0.25379888692663777,1,0
110,7670,13.346904124696911,34,0.010000000000000009,0.2892426664338392,1,0
111,7671,10.0,1,0.010000000000000009,0.08457054197788239,1,0
112,7675,10.180834806913028,4,0.010000000000000009,0.27359167858958244,1,0
113,7707,11.105268805079895,32,0.010000000000000009,0.33068371447734535,1,0
114,7741,15.794739264218535,34,0.010000000000000009,0.29755475547383814,1,0
115,7770,14.202848856680188,29,0.010000000000000009,0.29472874850034714,1,0
116,7826,16.944954689370725,56,0.010000000000000009,0.30313780664333273,1,0
117,7926,2.445206404904311,100,0.010000000000000009,0.3126842732727528,0,0
118,7942,10.036569378131452,16,0.010000000000000009,0.2882039025425911,1,0
119,7977,12.043776974390827,35,0.010000000000000009,0.3043023032801492,1,0
120,8077,-0.6249345432335157,100,0.010000000000000009,0.30592715963721273,0,0
121,8115,16.4434971132895,38,0.010000000000000009,0.279343804050433,1,0
122,8157,15.961453431143273,42,0.010000000000000009,0.262142718902656,1,0
123,8209,17.632147214266467,52,0.010000000000000009,0.3088052153873902,1,0
124,8247,14.747298820665069,38,0.010000000000000009,0.2799448608175704,1,0
