Episode,Total_Steps,Reward,Ep_Steps,Epsilon,Avg_Loss,Success,Collision,Consistency
1,26,-4.973492222171234,26,0.0,0.0,0,1,0.0
2,53,-4.474536261716981,27,0.0,0.0,0,1,0.0
3,91,17.38624675337736,38,0.0,0.0,1,0,0.0
4,120,-4.4323662467220055,29,0.0,0.0,0,1,0.0
5,161,-3.432240584204843,41,0.0,0.0,0,1,0.0
6,197,-4.742431378495524,36,0.0,0.0,0,1,0.0
7,223,-5.3355841543073055,26,0.0,0.0,0,1,0.0
8,263,18.595367791098052,40,0.0,0.0,1,0,0.0
9,297,-6.704329393036845,34,0.0,0.0,0,1,0.0
10,322,-4.860638132086091,25,0.0,0.0,0,1,0.0
11,360,-4.97848982011367,38,0.0,0.0,0,1,0.0
12,418,21.014862581063305,58,0.0,0.0,1,0,0.0
13,441,-5.762311754630458,23,0.0,0.0,0,1,0.0
14,479,-4.196277185317198,38,0.0,0.0,0,1,0.0
15,519,-4.36239152869208,40,0.0,0.0,0,1,0.0
16,574,17.118049024802502,55,0.0,0.0,1,0,0.0
17,609,-2.8013086896299075,35,0.0,0.0,0,1,0.0
18,654,19.366757541034296,45,0.0,0.0,1,0,0.0
19,688,-6.164045165628562,34,0.0,0.0,0,1,0.0
20,724,-5.024030072701917,36,0.0,0.0,0,1,0.0
21,777,20.12867575249107,53,0.0,0.0,1,0,0.0
22,813,-3.5771665837123185,36,0.0,0.0,0,1,0.0
23,835,-5.5993780516231535,22,0.0,0.0,0,1,0.0
24,858,-5.4417640733448405,23,0.0,0.0,0,1,0.0
25,879,-5.46070888745569,21,0.0,0.0,0,1,0.0
26,915,-2.3174252270310394,36,0.0,0.0,0,1,0.0
27,942,-5.157566007572312,27,0.0,0.0,0,1,0.0
28,973,-3.3482296592340273,31,0.0,0.0,0,1,0.0
29,1010,-4.77387416381546,37,0.0,0.0,0,1,0.0
30,1044,-2.9746928977832843,34,0.0,0.0,0,1,0.0
31,1081,-5.86031352198645,37,0.0,0.0,0,1,0.0
32,1106,-5.583197296408996,25,0.0,0.0,0,1,0.0
33,1129,-5.353235938144309,23,0.0,0.0,0,1,0.0
34,1197,22.939760941171343,68,0.0,0.0,1,0,0.0
35,1238,-3.0137075683515357,41,0.0,0.0,0,1,0.0
36,1272,-5.209588235094267,34,0.0,0.0,0,1,0.0
37,1299,-4.418166563787128,27,0.0,0.0,0,1,0.0
38,1334,-2.5388240128796715,35,0.0,0.0,0,1,0.0
39,1368,-5.1527814515501,34,0.0,0.0,0,1,0.0
40,1394,-4.767049533181824,26,0.0,0.0,0,1,0.0
41,1439,-2.940341034941529,45,0.0,0.0,0,1,0.0
42,1475,-5.688163533438014,36,0.0,0.0,0,1,0.0
43,1507,-3.7039083328792035,32,0.0,2.3077889340264455,0,1,0.0
44,1540,-4.267367140963403,33,0.0,2.111947740569259,0,1,0.0
45,1561,-4.766532714458064,21,0.0,1.7615661535944258,0,1,0.0
46,1608,20.876578944379418,47,0.0,1.4337889336525125,1,0,0.0
47,1643,17.87569939381203,35,0.0,1.2847161275999888,1,0,0.0
48,1701,21.6136654267148,58,0.0,1.154953807592392,1,0,0.0
49,1722,-4.780650615709449,21,0.0,1.03346591762134,0,1,0.0
50,1744,-5.380831288758342,22,0.0,7.916213954036886,0,1,0.0
51,1762,-5.290965279120872,18,1.0,5.42383885383606,0,1,0.0
52,1792,17.106296654579594,30,0.98515,5.580118253827095,1,0,0.0
53,1809,-5.6491792068071005,17,0.976735,5.424977029071135,0,1,0.0
54,1838,-5.170298543101689,29,0.96238,4.756990180961017,0,1,1.0
55,1857,-5.187564350768993,19,0.952975,4.822861370287444,0,1,0.0
56,1893,19.649591831906633,36,0.935155,5.065057521892919,1,0,0.6666666666666666
57,1910,-5.572908709975645,17,0.92674,5.273010459016351,0,1,0.0
58,1934,-6.2834384315985865,24,0.91486,4.638108400007089,0,1,0.0
