Episode,Total_Steps,Reward,Ep_Steps,Epsilon,Avg_Loss,Success,Collision,Consistency
1,23,-5.418007176608787,23,0.0,0.0,0,1,0.0
2,63,-0.808522109067221,40,0.0,0.0,0,1,0.0
3,102,17.731342714093024,39,0.0,0.0,1,0,0.0
4,129,-4.818489280718189,27,0.0,0.0,0,1,0.0
5,171,-3.1771201407300644,42,0.0,0.0,0,1,0.0
6,208,-4.348331892465374,37,0.0,0.0,0,1,0.0
7,231,-5.871290428634403,23,0.0,0.0,0,1,0.0
8,255,-5.300400902118274,24,0.0,0.0,0,1,0.0
9,291,-6.139304777124335,36,0.0,0.0,0,1,0.0
10,335,18.912878439509015,44,0.0,0.0,1,0,0.0
11,373,-4.276616233214426,38,0.0,0.0,0,1,0.0
12,429,20.94610361345106,56,0.0,0.0,1,0,0.0
13,454,-5.104024446242957,25,0.0,0.0,0,1,0.0
14,490,-4.994066873459078,36,0.0,0.0,0,1,0.0
15,528,-4.759178340633881,38,0.0,0.0,0,1,0.0
16,582,16.877139958061314,54,0.0,0.0,1,0,0.0
17,608,-5.004130149934557,26,0.0,0.0,0,1,0.0
18,656,19.712902750565217,48,0.0,0.0,1,0,0.0
19,689,-6.705130962156474,33,0.0,0.0,0,1,0.0
20,728,-4.081344576348331,39,0.0,0.0,0,1,0.0
21,786,20.607152243923583,58,0.0,0.0,1,0,0.0
22,828,-2.8950513263850643,42,0.0,0.0,0,1,0.0
23,853,-4.89861974327875,25,0.0,0.0,0,1,0.0
24,891,-2.676004400381851,38,0.0,0.0,0,1,0.0
25,927,-6.453176014562651,36,0.0,0.0,0,1,0.0
26,957,-4.301647641671465,30,0.0,0.0,0,1,0.0
27,980,-5.968545075559203,23,0.0,0.0,0,1,0.0
28,1005,-4.9604221235303605,25,0.0,0.0,0,1,0.0
29,1050,-3.3128215092380042,45,0.0,0.0,0,1,0.0
30,1082,-3.182091605894869,32,0.0,0.0,0,1,0.0
31,1124,-1.8728736856782469,42,0.0,0.0,0,1,0.0
32,1146,-5.69612419760535,22,0.0,0.0,0,1,0.0
33,1169,-5.3719227985949285,23,0.0,0.0,0,1,0.0
34,1236,23.21459196316915,67,0.0,0.0,1,0,0.0
35,1312,23.76251752972703,76,0.0,0.0,1,0,0.0
36,1351,-5.336365756742355,39,0.0,0.0,0,1,0.0
37,1377,-4.88175875987185,26,0.0,0.0,0,1,0.0
38,1406,-3.9995850091007394,29,0.0,0.0,0,1,0.0
39,1446,-4.142634727900571,40,0.0,0.0,0,1,0.0
40,1469,-5.61587602732633,23,0.0,0.0,0,1,0.0
41,1503,-4.1375758070386865,34,0.0,2.2802170515060425,0,1,0.0
42,1533,-5.006253169863935,30,0.0,2.05750496784846,0,1,0.0
43,1579,20.48024406331276,46,0.0,1.5453007946843687,1,0,0.0
44,1609,-4.308779597292755,30,0.0,1.2337194363276163,0,1,0.0
45,1629,-4.722916940382476,20,0.0,1.1217848315835,0,1,0.0
46,1660,-4.138435420190899,31,0.0,1.0312436069211652,0,1,0.0
47,1695,-4.277945245781846,35,0.0,0.9097677545888083,0,1,0.0
48,1715,-5.557324671196605,20,0.0,0.7932631343603134,0,1,0.0
49,1737,-4.679251876606193,22,0.0,0.7092261449857191,0,1,0.0
50,1760,-4.458858112725302,23,0.0,4.788448342810506,0,1,0.0
51,1780,-5.154666857456786,20,1.0,4.759758257120848,0,1,0.0
52,1810,17.329085879888886,30,0.98515,4.762183831135432,1,0,0.0
53,1827,-5.89088091946481,17,0.976735,4.827633845455506,0,1,0.0
54,1855,-5.462182747438748,28,0.962875,4.532312347420624,0,1,1.0
55,1877,-4.084515962362355,22,0.951985,4.234802311116999,0,1,0.0
56,1895,-5.644870091826368,18,0.943075,4.078998006052441,0,1,1.0
57,1913,-5.016065243885489,18,0.934165,3.99096051355203,0,1,0.5
58,1935,-4.537961589243782,22,0.923275,4.245814407413656,0,1,1.0
59,1964,-4.820036610312667,29,0.90892,4.627660979998523,0,1,1.0
60,1993,-4.934225341613062,29,0.894565,4.482213058862193,0,1,1.0
61,2011,-5.360278173236032,18,0.885655,4.677535509897603,0,1,1.0
62,2057,18.155712150959616,46,0.862885,4.485850062383258,1,0,0.75
63,2085,-5.476872110254032,28,0.849025,3.949477863098894,0,1,1.0
64,2103,-5.413171449052712,18,0.840115,4.266368663973278,0,1,0.6666666666666666
65,2129,-2.5800072076531837,26,0.827245,4.333181856916501,0,1,1.0
66,2150,-5.2778622942909195,21,0.81685,3.872135955662954,0,1,0.8
67,2179,-4.237087951414786,29,0.802495,4.039348346406016,0,1,1.0
68,2211,-2.9476953128093815,32,0.786655,4.377945395652205,0,1,1.0
69,2236,-3.7402548724271734,25,0.77428,3.751816287636757,0,1,0.6666666666666666
70,2263,-4.542627764750741,27,0.760915,3.9277455696353205,0,1,1.0
71,2280,-5.268572067380804,17,0.7525,4.186408237499349,0,1,1.0
72,2298,-5.329472963955819,18,0.74359,3.279581826594141,0,1,1.0
73,2330,17.33072688090887,32,0.72775,3.8286497588269413,1,0,0.7777777777777778
74,2379,18.79736956113719,49,0.703495,3.6743356243384127,1,0,0.8125
75,2405,-7.3153676787621915,26,0.690625,3.4481909853907733,0,1,1.0
76,2437,18.095680625594696,32,0.674785,3.5978671645279974,1,0,1.0
77,2457,-4.427363444023252,20,0.664885,3.6041776932775975,0,1,0.875
78,2491,19.377243018630047,34,0.648055,3.4456351395038998,1,0,0.9166666666666666
79,2522,-2.7123621172494605,31,0.63271,3.646072528054637,0,1,0.9166666666666666
80,2557,18.41187202978393,35,0.6153850000000001,3.147696357752596,1,0,0.9375
81,2591,-3.3811641295707684,34,0.598555,3.3827712597215878,0,1,0.8888888888888888
82,2626,17.656370061409813,35,0.58123,3.0493251264095305,1,0,0.7857142857142857
83,2644,-5.842440969129292,18,0.5723199999999999,3.0439873610933623,0,1,1.0
84,2670,-5.493131278243819,26,0.55945,2.932786441193177,0,1,0.9230769230769231
85,2689,-5.3617144532998235,19,0.550045,3.1251002785406614,0,1,0.8888888888888888
86,2710,-5.279708364879351,21,0.53965,2.873611807823181,0,1,1.0
87,2806,25.03346123696684,96,0.49212999999999996,3.0359788911106684,1,0,0.94
88,2833,-4.0453005431118285,27,0.478765,3.168055883160344,0,1,0.9
89,2862,-4.616610246961476,29,0.46441,2.8471052903553535,0,1,0.8333333333333334
90,2891,18.045349053738537,29,0.450055,3.0449306183847886,1,0,1.0
91,2945,20.066443749562247,54,0.42332499999999995,2.7452789133897535,1,0,1.0
92,2965,-5.065171693780982,20,0.41342499999999993,2.9439784683287145,0,1,0.9166666666666666
93,3027,-1.5130747178703583,62,0.38273499999999994,2.8651930370157763,0,1,1.0
94,3052,-3.5326617024889657,25,0.37036,2.788897639513016,0,1,0.7692307692307693
95,3082,-10.395010712622108,30,0.35551,2.697504116098086,0,1,0.8947368421052632
96,3108,-3.5067455441152156,26,0.34263999999999994,2.7747045159339905,0,1,0.8666666666666667
97,3198,22.893465399994255,90,0.2980900000000001,2.6787986083163156,1,0,0.9464285714285714
98,3214,-5.712907797385012,16,0.29017000000000004,2.9169148532673717,0,1,0.7692307692307693
99,3244,-4.639025817911313,30,0.27532,2.7365323598186175,0,1,1.0
100,3316,-3.87971964241623,72,0.23968,2.7585834664189153,0,1,0.9107142857142857
101,3366,-2.0186247814530756,50,0.21492999999999995,2.6269354116916657,0,1,1.0
102,3392,-5.674242035998002,26,0.2020599999999999,2.519564751249093,0,1,0.7272727272727273
103,3427,-3.435634950297983,35,0.18473499999999998,2.6975513828652247,0,1,0.96
104,3449,-4.946139094859822,22,0.17384500000000003,2.7126655971462075,0,1,0.9523809523809523
105,3497,-1.004485289719101,48,0.1500849999999999,2.616542050614953,0,1,0.9743589743589743
106,3539,-4.619055617280125,42,0.12929500000000005,2.8095266826096035,0,1,1.0
107,3560,-11.9669968794991,21,0.1189,2.875582245134172,0,1,1.0
108,3660,-1.837222065132091,100,0.06940000000000002,2.794664751291275,0,0,0.9565217391304348
109,3760,-4.091253554536158,100,0.01990000000000003,2.560664615929127,0,0,0.9587628865979382
110,3782,-15.775238104850127,22,0.010000000000000009,2.6120441975918682,0,1,1.0
111,3882,-1.7324853632183954,100,0.010000000000000009,2.7010453560948373,0,0,1.0
112,3982,-3.6529156448537683,100,0.010000000000000009,2.5704974123835562,0,0,1.0
113,4082,-3.2733242756218006,100,0.010000000000000009,2.555564408004284,0,0,0.9693877551020408
114,4182,-1.0751812709904658,100,0.010000000000000009,2.571380030810833,0,0,0.9393939393939394
115,4282,3.1569625488701103,100,0.010000000000000009,2.5709983262419702,0,0,0.98
116,4382,-2.102391173954385,100,0.010000000000000009,2.608287942111492,0,0,0.9896907216494846
117,4482,3.86361263951672,100,0.010000000000000009,2.3776190888881685,0,0,0.9693877551020408
118,4582,-1.9913962183752334,100,0.010000000000000009,2.3588241282105447,0,0,0.98
119,4682,0.6961387566680266,100,0.010000000000000009,2.2531662747263907,0,0,0.98989898989899
120,4782,-1.1106448345079694,100,0.010000000000000009,2.3260897862911225,0,0,1.0
121,4881,-6.998133333649987,99,0.010000000000000009,2.338587950877469,0,1,0.9285714285714286
122,4908,-7.693401102922239,27,0.010000000000000009,2.356188185788967,0,1,0.8888888888888888
123,5008,-0.14732484195018644,100,0.010000000000000009,2.258538711965084,0,0,0.99
124,5047,-5.278830702130308,39,0.010000000000000009,2.314715787386283,0,1,1.0
125,5112,-5.406625150151987,65,0.010000000000000009,2.3774651820843036,0,1,0.9846153846153847
126,5184,-6.819643275587912,72,0.010000000000000009,2.327410692969958,0,1,0.971830985915493
127,5284,3.455180469619419,100,0.010000000000000009,2.423422714173794,0,0,0.9375
128,5384,-1.9902947543785077,100,0.010000000000000009,2.284360899925232,0,0,0.98
129,5484,4.159560672703272,100,0.010000000000000009,2.249549800157547,0,0,0.9897959183673469
130,5559,-7.811465799070795,75,0.010000000000000009,2.288236474196116,0,1,0.9594594594594594
131,5659,1.7604311472804468,100,0.010000000000000009,2.2839692276716232,0,0,0.97
132,5759,-2.3618111445534673,100,0.010000000000000009,2.237121833562851,0,0,0.9696969696969697
133,5816,-8.607598401763507,57,0.010000000000000009,2.3486879154255518,0,1,0.9824561403508771
134,5844,-5.017822252546258,28,0.010000000000000009,2.188362783619336,0,1,0.9642857142857143
135,5944,1.1843349622388741,100,0.010000000000000009,2.5183481806516648,0,0,1.0
136,6010,-6.151064247612476,66,0.010000000000000009,2.276779962308479,0,1,0.9393939393939394
137,6110,2.252245443147617,100,0.010000000000000009,2.381583341360092,0,0,0.96
138,6210,0.29333784380654593,100,0.010000000000000009,2.253597265481949,0,0,0.97
139,6286,-7.7626045990395705,76,0.010000000000000009,2.3565335540395034,0,1,0.9736842105263158
140,6386,-2.0823992570466623,100,0.010000000000000009,2.366896461248398,0,0,1.0
141,6450,-10.122972738459643,64,0.010000000000000009,2.4029395608231425,0,1,0.9523809523809523
142,6525,-6.112919465739177,75,0.010000000000000009,2.217131791114807,0,1,0.9733333333333334
143,6592,-6.501031157876048,67,0.010000000000000009,2.3266132153681855,0,1,0.9848484848484849
144,6692,-2.2404100126385784,100,0.010000000000000009,2.320038765668869,0,0,0.98989898989899
145,6788,-3.1483440086649663,96,0.010000000000000009,2.2501319168756404,0,1,0.9468085106382979
146,6888,6.319346713575125,100,0.010000000000000009,2.230413180589676,0,0,0.97
147,6988,1.5648241606784477,100,0.010000000000000009,2.2058990454673766,0,0,0.9696969696969697
148,7015,-4.8483090776938145,27,0.010000000000000009,2.3276229898134866,0,1,0.9230769230769231
149,7046,-8.359646828221877,31,0.010000000000000009,2.344104330385885,0,1,0.967741935483871
150,7146,-0.005288019068276861,100,0.010000000000000009,2.34828087747097,0,0,0.979381443298969
151,7200,-5.0666839323945485,54,0.010000000000000009,2.3532052216706454,0,1,0.9433962264150944
152,7276,-12.748619016947426,76,0.010000000000000009,2.3453478405350134,0,1,0.9733333333333334
153,7359,-8.039991165625853,83,0.010000000000000009,2.214729474969657,0,1,0.9397590361445783
154,7459,1.423397557398527,100,0.010000000000000009,2.2724801760911943,0,0,0.97
155,7553,-6.833170685045122,94,0.010000000000000009,2.295957772021598,0,1,0.946236559139785
156,7626,-2.9240290827871576,73,0.010000000000000009,2.3133279909826303,0,1,0.9166666666666666
157,7725,19.617280981687202,99,0.010000000000000009,2.38558709079569,1,0,0.9587628865979382
158,7787,-8.667992279541568,62,0.010000000000000009,2.3185575460233996,0,1,0.9672131147540983
159,7824,-1.444233253651248,37,0.010000000000000009,2.2192677646069914,0,1,0.8611111111111112
160,7924,3.4363491745647097,100,0.010000000000000009,2.3405758261680605,0,0,0.9696969696969697
161,7962,18.713767371830777,38,0.010000000000000009,2.3345563396027216,1,0,0.918918918918919
162,8030,-2.8597716842928396,68,0.010000000000000009,2.2592885178678177,0,1,0.9411764705882353
163,8070,-10.052773857529612,40,0.010000000000000009,2.353652235865593,0,1,0.975
164,8135,-6.426511697787751,65,0.010000000000000009,2.4618034628721386,0,1,0.984375
165,8235,-1.2404289474779575,100,0.010000000000000009,2.3579354161024093,0,0,0.9494949494949495
166,8292,-2.6047123054326207,57,0.010000000000000009,2.307903826236725,0,1,0.8947368421052632
167,8353,-5.408320941951917,61,0.010000000000000009,2.235262292330382,0,1,0.9672131147540983
168,8413,-13.039710411589095,60,0.010000000000000009,2.2638838231563567,0,1,0.8793103448275862
169,8494,-15.544585826759441,81,0.010000000000000009,2.2835016750995023,0,1,0.8125
170,8539,-12.219663028834544,45,0.010000000000000009,2.642055402861701,0,1,0.9111111111111111
171,8590,-4.868630776703111,51,0.010000000000000009,2.4301108519236245,0,1,0.7959183673469388
172,8628,-9.412616823213888,38,0.010000000000000009,2.5641792557741465,0,1,0.9459459459459459
173,8686,-8.816009604529816,58,0.010000000000000009,2.4550377449084975,0,1,0.8421052631578947
174,8776,-9.527146653601585,90,0.010000000000000009,2.4554962158203124,0,1,0.8888888888888888
175,8826,-8.634356745414518,50,0.010000000000000009,2.528667676448822,0,1,0.9
176,8879,-9.789781792922279,53,0.010000000000000009,2.574625851973048,0,1,0.9607843137254902
177,8928,-9.55963147220535,49,0.010000000000000009,2.515974670040364,0,1,0.8367346938775511
178,8988,20.680671613939783,60,0.010000000000000009,2.598760239283244,1,0,0.8
179,9044,20.63385711473525,56,0.010000000000000009,2.5712083599397113,1,0,0.9464285714285714
