Episode,Total_Steps,Reward,Ep_Steps,Epsilon,Avg_Loss,Success,Collision,Consistency
1,26,-5.554079740096761,26,0.0,0.0,0,1,0.0
2,55,-4.073098767510124,29,0.0,0.0,0,1,0.0
3,96,17.935975013244633,41,0.0,0.0,1,0,0.0
4,124,-4.2193529042670805,28,0.0,0.0,0,1,0.0
5,165,-3.650467059341649,41,0.0,0.0,0,1,0.0
6,199,-4.681246017556825,34,0.0,0.0,0,1,0.0
7,224,-4.9227166090514505,25,0.0,0.0,0,1,0.0
8,268,19.102197891777784,44,0.0,0.0,1,0,0.0
9,307,-5.270287385559945,39,0.0,0.0,0,1,0.0
10,354,19.155165629204596,47,0.0,0.0,1,0,0.0
11,392,-5.133909002320298,38,0.0,0.0,0,1,0.0
12,420,-5.030122768312984,28,0.0,0.0,0,1,0.0
13,466,-4.324029361952497,46,0.0,0.0,0,1,0.0
14,506,-4.594902464678575,40,0.0,0.0,0,1,0.0
15,542,-4.97839171114696,36,0.0,0.0,0,1,0.0
16,581,-7.173465421732683,39,0.0,0.0,0,1,0.0
17,606,-5.026956806316715,25,0.0,0.0,0,1,0.0
18,658,19.642893518076722,52,0.0,0.0,1,0,0.0
19,695,-5.944213549412821,37,0.0,0.0,0,1,0.0
20,732,-5.039757219307877,37,0.0,0.0,0,1,0.0
21,789,20.306684785113674,57,0.0,0.0,1,0,0.0
22,833,-2.7126952894543592,44,0.0,0.0,0,1,0.0
23,855,-5.637803978245894,22,0.0,0.0,0,1,0.0
24,894,-1.8533647171742267,39,0.0,0.0,0,1,0.0
25,922,-5.103203461151664,28,0.0,0.0,0,1,0.0
26,956,-3.418510655063466,34,0.0,0.0,0,1,0.0
27,981,-5.914708629983947,25,0.0,0.0,0,1,0.0
28,1017,-2.4478935150932557,36,0.0,0.0,0,1,0.0
29,1065,-2.6607357083799146,48,0.0,0.0,0,1,0.0
30,1095,-3.5859068418472546,30,0.0,0.0,0,1,0.0
31,1128,-3.585706889134091,33,0.0,0.0,0,1,0.0
32,1164,-6.355902669861817,36,0.0,0.0,0,1,0.0
33,1191,-5.039112122454891,27,0.0,0.0,0,1,0.0
34,1260,23.19425121523556,69,0.0,0.0,1,0,0.0
35,1336,23.778203636826554,76,0.0,0.0,1,0,0.0
36,1376,-5.306331408857918,40,0.0,0.0,0,1,0.0
37,1401,-5.916981584593435,25,0.0,0.0,0,1,0.0
38,1457,20.419588977990593,56,0.0,0.0,1,0,0.0
39,1490,-5.671857616966355,33,0.0,0.0,0,1,0.0
40,1517,-3.5958372042911027,27,0.0,2.1782342896741977,0,1,0.0
41,1546,-4.689591369936531,29,0.0,1.873694789820704,0,1,0.0
42,1576,-4.906741527407773,30,0.0,1.467843077580134,0,1,0.0
43,1595,-5.699519709738549,19,0.0,1.2639536606638055,0,1,0.0
44,1628,-4.77592044276944,33,0.0,1.1554716870640263,0,1,0.0
45,1657,-5.580262848739929,29,0.0,1.0565153689220035,0,1,0.0
46,1691,-1.8223969882204578,34,0.0,0.9313164975713281,0,1,0.0
47,1724,17.467725199643567,33,0.0,0.7860836630517786,1,0,0.0
48,1754,-4.678144873792772,30,0.0,0.6571400344371796,0,1,0.0
49,1781,-3.6829931827691142,27,0.0,0.588477979655619,0,1,0.0
50,1796,-5.068375233951245,15,0.0,5.045635404189428,0,1,0.0
51,1813,-5.562543718127775,17,1.0,4.649152938057394,0,1,0.0
52,1833,-5.335252095969658,20,0.9901,4.3685638681054115,0,1,0.0
53,1849,-6.1738844107635344,16,0.98218,4.683807869441807,0,1,0.0
54,1892,20.269321367371624,43,0.960895,4.813501700065856,1,0,1.0
55,1913,-4.909775419964598,21,0.9505,4.883615532801265,0,1,0.0
56,1935,-5.195009975275839,22,0.9396100000000001,4.334034369750456,0,1,1.0
57,1953,-5.057549200568392,18,0.9307,4.7372276741597386,0,1,0.5
58,1974,-4.747593316858771,21,0.920305,4.7587649588074,0,1,1.0
59,2001,-6.062577338860331,27,0.90694,4.927080404427317,0,1,0.6666666666666666
60,2033,-2.8988148240180545,32,0.8911,4.8935862188227475,0,1,1.0
61,2055,-4.770924918700585,22,0.88021,4.08827880634503,0,1,1.0
62,2101,17.931116710801664,46,0.85744,4.647015582284202,1,0,1.0
63,2129,-5.251513414776488,28,0.84358,4.70598782066788,0,1,0.8
64,2147,-5.594713348818236,18,0.83467,4.679412567781077,0,1,1.0
65,2184,19.72661480373017,37,0.8163549999999999,4.452371872760154,1,0,1.0
66,2201,-5.7918974964075876,17,0.80794,4.123744516688235,0,1,1.0
67,2232,-3.74674206182051,31,0.792595,4.400487603199098,0,1,0.8
68,2262,-3.4454504034879117,30,0.777745,4.171807199219862,0,1,0.875
69,2280,-5.340537775103753,18,0.7688349999999999,3.671507930590047,0,1,0.5
70,2304,-3.0708221159345666,24,0.756955,4.09643814402322,0,1,1.0
71,2322,-5.728621783402376,18,0.7480450000000001,3.997125109864606,0,1,0.6666666666666666
72,2341,-5.053136548089913,19,0.73864,3.813622146844864,0,1,1.0
73,2368,-4.660850960211457,27,0.725275,3.5348972749930843,0,1,0.8571428571428571
74,2404,-4.578828799172289,36,0.707455,3.9846730186707444,0,1,0.8181818181818182
75,2440,-3.632767017261574,36,0.689635,3.4011412072512837,0,1,0.9333333333333333
76,2472,18.0689953836696,32,0.6737949999999999,3.46082826401107,1,0,0.7692307692307693
77,2490,-5.520946446696116,18,0.664885,3.3971717862619295,0,1,0.7142857142857143
78,2523,19.017209306440158,33,0.64855,3.2426808589335643,1,0,0.9166666666666666
79,2550,-4.435529049415166,27,0.635185,3.651971076649648,0,1,0.9
80,2569,-5.574553799752016,19,0.62578,3.6094972216769268,0,1,0.5555555555555556
81,2611,20.74211527093536,42,0.6049899999999999,3.46634802523823,1,0,0.9090909090909091
82,2644,18.068361631705216,33,0.588655,3.2919156153996787,1,0,0.5833333333333334
83,2664,-4.861269100981786,20,0.578755,3.192307412624359,0,1,0.75
84,2691,-6.533077008167555,27,0.5653900000000001,3.3703215972140983,0,1,0.7692307692307693
85,2708,-5.73922503534052,17,0.556975,3.5031976734890655,0,1,0.8888888888888888
86,2746,-3.1909283115799605,38,0.538165,3.4817021985195185,0,1,0.7727272727272727
87,2763,-6.013557593028848,17,0.5297499999999999,3.333671159165747,0,1,0.8
88,2780,-5.807382814317341,17,0.521335,2.9299335760228775,0,1,1.0
89,2798,-4.964516846775042,18,0.512425,3.1783672674662538,0,1,0.875
90,2830,18.39119460308582,32,0.49658500000000005,3.145561287878081,1,0,0.7777777777777778
91,2855,-6.25402511795353,25,0.48421000000000003,3.326195525228977,0,1,0.7142857142857143
92,2873,-5.852471613190389,18,0.47529999999999994,3.1682488889329963,0,1,0.8
93,2901,-5.647480258205391,28,0.46143999999999996,3.0438821041690454,0,1,0.6875
94,2921,-4.966559085517488,20,0.45153999999999994,3.191984099149704,0,1,0.8888888888888888
95,2942,-4.114349240406905,21,0.441145,3.1447398712237677,0,1,0.8181818181818182
96,2964,-3.942777008749049,22,0.43025499999999994,3.0836249254643917,0,1,0.8
97,2984,-4.810700906124559,20,0.42035500000000003,3.043904894962907,0,1,0.8181818181818182
98,3039,24.59208532880321,55,0.39313,3.1221116080880167,1,0,0.8571428571428571
99,3064,-5.798153950405641,25,0.38075500000000007,3.190987229347229,0,1,0.9090909090909091
100,3091,-5.907866556906298,27,0.36739,2.8757926780316563,0,1,0.7222222222222222
101,3116,-6.346761023029066,25,0.3550150000000001,3.086505885720253,0,1,0.6875
102,3153,19.096362168059798,37,0.3367,3.148854322932862,1,0,0.5909090909090909
103,3172,-4.793819027257135,19,0.327295,2.938579166798215,0,1,0.9230769230769231
104,3190,-5.525967811075073,18,0.31838500000000003,2.904043458402157,0,1,0.8461538461538461
105,3209,-5.269887880147717,19,0.30898000000000003,2.9500115870645174,0,1,0.7333333333333333
106,3239,-3.2696895382421918,30,0.29413,2.9652661949396135,0,1,0.9
107,3256,-5.363887719458599,17,0.28571499999999994,3.0181535206296863,0,1,0.7272727272727273
108,3274,-5.776092263673078,18,0.27680499999999997,2.9185335213939347,0,1,0.7142857142857143
109,3292,-5.484910628942448,18,0.267895,3.2709989406996303,0,1,0.8666666666666667
110,3321,-4.934511523336543,29,0.25354,2.9210401272465445,0,1,0.6363636363636364
111,3364,18.85111280162309,43,0.232255,2.91954522164062,1,0,0.8064516129032258
112,3392,-4.851228205320931,28,0.218395,2.8762202111205886,0,1,0.8095238095238095
113,3412,-5.906793475576975,20,0.20849499999999999,2.979949627071619,0,1,0.8571428571428571
114,3445,-2.8154694302325183,33,0.1921600000000001,2.9230660064653917,0,1,0.896551724137931
115,3513,-3.45504916706329,68,0.15849999999999997,2.883800074677257,0,1,0.9230769230769231
116,3538,-5.75667763121811,25,0.14612499999999995,3.0784299206733703,0,1,0.8095238095238095
117,3557,-5.297095599219737,19,0.13672000000000006,2.836661333316251,0,1,0.6153846153846154
118,3576,-4.673533546255334,19,0.12731500000000007,2.8328619426802586,0,1,0.8888888888888888
119,3616,-2.268228625155622,40,0.10751500000000003,2.7881514254957436,0,1,0.7741935483870968
120,3647,-5.180707432243318,31,0.09216999999999997,2.5996829843328846,0,1,0.8888888888888888
121,3678,-3.7786927648711073,31,0.07682500000000003,2.7783518303786554,0,1,0.75
122,3705,-2.6113842253994557,27,0.06346000000000007,2.78108781962483,0,1,0.6296296296296297
123,3770,-4.593543352011304,65,0.03128500000000001,2.749161806358741,0,1,0.8571428571428571
124,3802,-3.496891655385099,32,0.015444999999999931,2.8145868708379567,0,1,0.8125
125,3837,-2.4622958424430106,35,0.010000000000000009,2.565332338639668,0,1,0.7428571428571429
126,3889,18.2372523535719,52,0.010000000000000009,2.6192260860250545,1,0,0.6862745098039216
127,3919,-3.69089658367961,30,0.010000000000000009,2.5524469231565794,0,1,0.7857142857142857
128,3942,-4.293596308464522,23,0.010000000000000009,2.834915205836296,0,1,0.6956521739130435
129,3970,-5.106186190686261,28,0.010000000000000009,2.543173580297402,0,1,0.75
130,3993,-4.051806554955993,23,0.010000000000000009,2.9390167360720425,0,1,0.6086956521739131
131,4035,17.99582574793046,42,0.010000000000000009,2.607050803090845,1,0,0.8095238095238095
132,4056,-5.042989016420708,21,0.010000000000000009,2.6570571263631186,0,1,0.7619047619047619
133,4097,-1.6699813432249488,41,0.010000000000000009,2.4704384523920897,0,1,0.7560975609756098
134,4123,-6.243012983912612,26,0.010000000000000009,2.58936186421376,0,1,0.8846153846153846
135,4164,17.584856121027034,41,0.010000000000000009,2.7217221434523418,1,0,0.8717948717948718
136,4184,-5.215048914275289,20,0.010000000000000009,2.6870138183236123,0,1,0.7
137,4204,-5.567338162625714,20,0.010000000000000009,2.8744518518447877,0,1,0.75
138,4231,-3.697174832761296,27,0.010000000000000009,2.6923480293265096,0,1,0.8148148148148148
139,4267,-3.8998247525576897,36,0.010000000000000009,2.615285190029277,0,1,0.8611111111111112
140,4305,-4.619369776428698,38,0.010000000000000009,2.698547477392774,0,1,0.7105263157894737
141,4337,17.458496331398667,32,0.010000000000000009,2.801259020343423,1,0,0.8064516129032258
142,4358,-4.586736991547002,21,0.010000000000000009,2.7474192416384104,0,1,0.6190476190476191
143,4390,-1.9355003246528657,32,0.010000000000000009,2.837787864729762,0,1,0.7741935483870968
144,4419,-4.817666946857594,29,0.010000000000000009,2.7914766525400094,0,1,0.8620689655172413
145,4447,-6.3203061601637565,28,0.010000000000000009,2.635769992002419,0,1,0.7142857142857143
146,4476,-6.432169366641045,29,0.010000000000000009,2.866765053107821,0,1,0.8275862068965517
147,4532,22.850037489457314,56,0.010000000000000009,3.066492914355227,1,0,0.7454545454545455
148,4552,-4.874917140981124,20,0.010000000000000009,2.713183055073023,0,1,0.5789473684210527
149,4580,-6.1445064611218925,28,0.010000000000000009,2.834566332399845,0,1,0.7857142857142857
150,4638,-5.65083982637199,58,0.010000000000000009,2.843779514575827,0,1,0.9473684210526315
151,4670,-3.533542993086118,32,0.010000000000000009,2.8111095782369375,0,1,0.875
152,4726,-10.087914231391846,56,0.010000000000000009,2.7263393891709193,0,1,0.9107142857142857
153,4826,2.8094757300649387,100,0.010000000000000009,2.8421006959676745,0,0,0.9
154,4850,-5.263178921698603,24,0.010000000000000009,2.971510891492168,0,1,0.8333333333333334
155,4950,-1.8746955271378885,100,0.010000000000000009,2.83838937535882,0,0,0.9696969696969697
156,5030,-6.842670135209907,80,0.010000000000000009,2.931570485047996,0,1,0.9367088607594937
157,5077,-3.8802729762205397,47,0.010000000000000009,2.8689928333810033,0,1,0.8936170212765957
158,5168,16.812902221750473,91,0.010000000000000009,2.7366800137928555,1,0,0.9438202247191011
159,5201,-6.993631913714646,33,0.010000000000000009,2.610671507589745,0,1,0.96875
160,5282,-3.6774570852549395,81,0.010000000000000009,2.671280421960501,0,1,0.925
161,5312,-2.6986645107548703,30,0.010000000000000009,2.75208359559377,0,1,0.8275862068965517
162,5339,-4.725654098715145,27,0.010000000000000009,2.853387298407378,0,1,0.9629629629629629
163,5392,-4.101267486826849,53,0.010000000000000009,2.895089331100572,0,1,0.9056603773584906
164,5426,-3.6318757144646465,34,0.010000000000000009,2.8773668951847973,0,1,0.9411764705882353
165,5477,18.948909092012638,51,0.010000000000000009,2.89639144726828,1,0,0.86
