Episode,Total_Steps,Reward,Ep_Steps,Epsilon,Avg_Loss,Success,Collision,Consistency
1,81,-9.956329830335534,81,0.9604,0.0,0,1,0.0
2,165,-2.3443779326260716,84,0.91882,0.0,0,1,0.0
3,265,-6.35704854872342,100,0.86932,0.0,0,0,0.0
4,365,-4.6981245408146215,100,0.81982,0.0,0,0,0.0
5,465,4.015272482641604,100,0.77032,0.0,0,0,0.0
6,565,-8.655588367300888,100,0.72082,0.0,0,0,0.0
7,603,-3.006007922371114,38,0.70201,0.0,0,1,0.0
8,703,-4.262310163247986,100,0.65251,0.0,0,0,0.0
9,803,-6.537523311712916,100,0.60301,0.0,0,0,0.0
10,903,-6.027226456507702,100,0.55351,0.0,0,1,0.0
11,1003,-3.955190747931273,100,0.5040100000000001,0.0,0,0,0.0
12,1043,-2.908452927395467,40,0.48421000000000003,0.0,0,1,0.0
13,1119,-10.936844261245469,76,0.44658999999999993,0.0,0,1,0.0
14,1147,-6.4346804053666595,28,0.43273000000000006,0.0,0,1,0.0
15,1180,-6.214190815470044,33,0.41639499999999996,0.0,0,1,0.0
16,1256,-2.8265202769886213,76,0.3787750000000001,0.0,0,1,0.0
17,1293,-5.991721666098635,37,0.36046,0.0,0,1,0.0
18,1365,-4.578017266735406,72,0.32482,0.0,0,1,0.0
19,1451,-11.91847691777605,86,0.28225,0.0,0,1,0.0
20,1500,-8.061013204801345,49,0.257995,0.0,0,1,0.0
21,1528,-4.4147996378671595,28,0.2441350000000001,0.24219349382578262,0,1,0.0
22,1580,-7.790224484672981,52,0.218395,0.24273487678370798,0,1,0.0
23,1609,-6.0382743437421915,29,0.20404,0.22166388645639706,0,1,0.0
24,1640,-2.8846648058489794,31,0.18869499999999995,0.22809258824394596,0,1,0.0
25,1668,-7.955368428403192,28,0.17483499999999996,0.22798587155661412,0,1,0.0
26,1694,-2.8889079533814,26,0.16196500000000003,0.2268356579140975,0,1,0.0
27,1729,-8.496403225709471,35,0.14464,0.2665797369820731,0,1,0.0
28,1757,-6.145586807639342,28,0.13078,0.3026658134268863,0,1,0.0
29,1785,-7.469327958667979,28,0.11692000000000002,0.24946750327944756,0,1,0.0
30,1871,-14.500474318381302,86,0.07434999999999992,0.2724835898640544,0,1,0.0
