Episode,Total_Steps,Reward,Ep_Steps,Epsilon,Avg_Loss,Success,Collision,Consistency
1,60,-19.858294260460916,60,0.970795,0.0,0,1,0.0
2,160,7.79730554587601,100,0.921295,0.0,0,0,0.0
3,260,-9.325048508376046,100,0.871795,0.0,0,0,0.0
4,360,-9.088629721079117,100,0.822295,0.0,0,0,0.0
5,460,9.763963461576935,100,0.772795,0.0,0,0,0.0
6,556,-22.727299343774945,96,0.725275,0.0,0,1,0.0
7,656,5.069201445943781,100,0.675775,0.0,0,0,0.0
8,756,-8.865793246694063,100,0.626275,0.0,0,0,0.0
9,808,-13.984727146979834,52,0.600535,0.0,0,1,0.0
10,908,3.4816454952286917,100,0.5510349999999999,0.0,0,0,0.0
11,1008,-7.3659325370128625,100,0.5015350000000001,0.0,0,0,0.0
12,1108,3.8595395824354752,100,0.45203499999999996,0.0,0,0,0.0
13,1197,-21.417454824201016,89,0.40798,0.0,0,1,0.0
14,1233,-12.788192964535293,36,0.39016000000000006,0.0,0,1,0.0
15,1284,-14.435554526740193,51,0.3649150000000001,0.0,0,1,0.0
16,1384,-1.3261879594384494,100,0.315415,0.0,0,0,0.0
17,1471,-20.255105481432167,87,0.27235,0.0,0,1,0.0
18,1560,-11.649738939660944,89,0.22829500000000003,0.45039493354658283,0,1,0.0
19,1634,-15.624568321855492,74,0.19166499999999997,0.5309164038028669,0,1,0.0
20,1671,-13.459191342650008,37,0.17335,0.5088852444613302,0,1,0.0
21,1712,-9.007887425212166,41,0.15305499999999994,0.6382572180250796,0,1,0.0
22,1754,18.316649920160856,42,0.13226500000000008,0.6369995266376507,1,0,0.0
23,1804,-12.384040710749641,50,0.10751500000000003,0.49482975237071514,0,1,0.0
24,1904,-0.6251074621413595,100,0.05801500000000004,0.6817783005535603,0,0,0.0
25,2004,1.1036930793237736,100,0.010000000000000009,0.6127127450332046,0,0,0.0
26,2069,-1.3923757041805853,65,0.010000000000000009,0.45318335329110804,0,1,0.0
27,2169,6.866909663400346,100,0.010000000000000009,0.41642195761203765,0,0,0.0
28,2199,-11.389111588540247,30,0.010000000000000009,0.36470765471458433,0,1,0.0
29,2299,-3.750717161586856,100,0.010000000000000009,0.3539703361690044,0,0,0.0
30,2362,-1.3921666388733573,63,0.010000000000000009,0.37009378025929135,0,1,0.0
31,2462,-3.130850312078925,100,0.010000000000000009,0.37821416310966016,0,0,0.0
32,2492,-12.911341488592784,30,0.010000000000000009,0.3280253420273463,0,1,0.0
33,2558,-0.03386206099254352,66,0.010000000000000009,0.35098435402368056,0,1,0.0
34,2658,-9.203865860833533,100,0.010000000000000009,0.3443969048559666,0,0,0.0
35,2758,-2.141595572514304,100,0.010000000000000009,0.3172102199494839,0,0,0.0
36,2845,-6.4799262573709555,87,0.010000000000000009,0.34971415277185114,0,1,0.0
37,2894,-12.394917156198996,49,0.010000000000000009,0.34110839223983336,0,1,0.0
38,2960,-13.990854598565388,66,0.010000000000000009,0.3623833777100751,0,1,0.0
39,3041,-27.80656346327237,81,0.010000000000000009,0.33337687020316537,0,1,0.0
40,3141,-11.540929532317517,100,0.010000000000000009,0.38028649240732193,0,0,0.0
41,3241,-11.245884295412043,100,0.010000000000000009,0.34948022834956644,0,0,0.0
42,3341,-11.514200477380008,100,0.010000000000000009,0.3131551759690046,0,0,0.0
43,3377,-12.002571600502964,36,0.010000000000000009,0.25726842217975193,0,1,0.0
44,3477,-14.717417999362223,100,0.010000000000000009,0.27130869463086127,0,0,0.0
45,3539,-2.988256629129891,62,0.010000000000000009,0.29624389724866035,0,1,0.0
