Episode,Total_Steps,Reward,Ep_Steps,Epsilon,Avg_Loss,Success,Collision,Consistency
1,27,-3.2037449474111863,27,0.0,0.0,0,1,0.0
2,54,-3.6280147813388854,27,0.0,0.0,0,1,0.0
3,83,-6.028100539961381,29,0.0,0.0,0,1,0.0
4,105,-4.555226537234379,22,0.0,0.0,0,1,0.0
5,123,14.371059489411486,18,0.0,0.0,1,0,0.0
6,146,-4.847675702064284,23,0.0,0.0,0,1,0.0
7,165,-5.388393587825138,19,0.0,0.0,0,1,0.0
8,206,18.70862298298973,41,0.0,0.0,1,0,0.0
9,236,-2.574668776988217,30,0.0,0.0,0,1,0.0
10,266,-4.618464251180713,30,0.0,0.0,0,1,0.0
11,286,-5.169900044376596,20,0.0,0.0,0,1,0.0
12,333,21.353280689834637,47,0.0,0.0,1,0,0.0
13,358,-3.994365570766176,25,0.0,0.0,0,1,0.0
14,391,-3.258482601329587,33,0.0,0.0,0,1,0.0
15,411,-4.929073811536495,20,0.0,0.0,0,1,0.0
16,453,20.095657132251393,42,0.0,0.0,1,0,0.0
17,475,-4.750961450715893,22,0.0,0.0,0,1,0.0
18,523,18.289160417481547,48,0.0,0.0,1,0,0.0
19,553,-4.892845007353852,30,0.0,0.0,0,1,0.0
20,576,-4.620473815801124,23,0.0,0.0,0,1,0.0
21,604,-6.041849875975838,28,0.0,0.0,0,1,0.0
22,639,-3.488573746132494,35,0.0,0.0,0,1,0.0
23,697,24.01346390125454,58,0.0,0.0,1,0,0.0
24,720,13.73404217396082,23,0.0,0.0,1,0,0.0
25,750,-5.778022002114469,30,0.0,0.0,0,1,0.0
26,790,19.318928205991977,40,0.0,0.0,1,0,0.0
27,813,-4.477716214304932,23,0.0,0.0,0,1,0.0
28,830,-5.338445632481168,17,0.0,0.0,0,1,0.0
29,887,22.99602921725867,57,0.0,0.0,1,0,0.0
30,940,23.78166489361277,53,0.0,0.0,1,0,0.0
31,968,-4.751310432308056,28,0.0,0.0,0,1,0.0
32,986,-5.674235807505882,18,0.0,0.0,0,1,0.0
33,1034,20.610584816886636,48,0.0,0.0,1,0,0.0
34,1055,-4.824168143202952,21,0.0,0.0,0,1,0.0
35,1084,-6.248244633981958,29,0.0,0.0,0,1,0.0
36,1114,-3.9000469741337014,30,0.0,0.0,0,1,0.0
37,1143,-6.09716130631056,29,0.0,0.0,0,1,0.0
38,1166,15.663556346467434,23,0.0,0.0,1,0,0.0
39,1208,21.220779544079154,42,0.0,0.0,1,0,0.0
40,1239,-4.803578549976609,31,0.0,0.0,0,1,0.0
41,1268,16.339218035328482,29,0.0,0.0,1,0,0.0
42,1295,-5.747406133448996,27,0.0,0.0,0,1,0.0
43,1324,-5.408038751638104,29,0.0,0.0,0,1,0.0
44,1358,-3.320227854553057,34,0.0,0.0,0,1,0.0
45,1373,13.495590968980515,15,0.0,0.0,1,0,0.0
46,1392,-5.068365716285165,19,0.0,0.0,0,1,0.0
47,1428,14.761247137589496,36,0.0,0.0,1,0,0.0
48,1469,18.823083416702406,41,0.0,0.0,1,0,0.0
49,1511,17.47982947737021,42,0.0,2.198840954086997,1,0,0.0
50,1529,-5.44470216353143,18,0.0,4.435811953412162,0,1,0.0
51,1554,-7.547664125830844,25,0.01,4.153160190582275,0,1,0.28
52,1571,-5.688842369870744,17,0.01,4.143465852036195,0,1,0.35294117647058826
53,1609,-8.95163574298422,38,0.01,4.0177179214201475,0,1,0.3684210526315789
54,1709,4.939903933731436,100,0.01,4.049692668318748,0,0,0.45
55,1725,-4.972469756324303,16,0.01,3.620902966707945,0,1,0.375
56,1751,-4.149888728976724,26,0.01,4.131146226937954,0,1,0.8461538461538461
57,1767,-5.120633770998129,16,0.01,3.5153429098427296,0,1,0.625
58,1783,-4.929215678151143,16,0.01,3.765950869768858,0,1,0.625
59,1800,-5.35367477190848,17,0.01,3.4943039487389957,0,1,0.058823529411764705
60,1819,-4.515997726732441,19,0.01,3.530716381574932,0,1,0.47368421052631576
61,1848,17.173805479107678,29,0.01,3.472110468765785,1,0,0.3103448275862069
62,1872,-4.80548973082091,24,0.01,3.9041919658581414,0,1,0.4166666666666667
63,1887,-5.456925084708876,15,0.01,3.825357111295064,0,1,0.13333333333333333
64,1913,-4.252176500003146,26,0.01,3.527376617376621,0,1,0.4230769230769231
65,1930,-5.070768583052115,17,0.01,3.7293106387643253,0,1,0.058823529411764705
66,1947,-4.745056892207364,17,0.01,3.3522404256988976,0,1,0.5294117647058824
67,1986,19.918144382488137,39,0.01,3.3504748222155447,1,0,0.42105263157894735
68,2012,-3.0480642733113417,26,0.01,3.2341653956816745,0,1,0.4
69,2035,-3.044236130417344,23,0.01,3.1420353858367256,0,1,0.4782608695652174
70,2060,-4.235308903764673,25,0.01,3.1584760403633116,0,1,0.2916666666666667
71,2089,17.384568780908815,29,0.01,2.866685789206932,1,0,0.6666666666666666
72,2113,-6.690980632798558,24,0.01,2.675294227898121,0,1,0.375
73,2134,-3.2916057228076845,21,0.01,2.933297883896601,0,1,0.14285714285714285
74,2154,-3.856732554432691,20,0.01,3.038595050573349,0,1,0.5789473684210527
75,2173,-4.014448729555253,19,0.01,3.067927426413486,0,1,0.42105263157894735
76,2221,23.56417099236642,48,0.01,2.8887010514736176,1,0,0.44680851063829785
77,2265,21.95513093328261,44,0.01,2.806327247484164,1,0,0.627906976744186
78,2293,17.394068365528526,28,0.01,2.800806146647249,1,0,0.5555555555555556
79,2307,-5.646962848053274,14,0.01,2.7613207953316823,0,1,0.21428571428571427
80,2331,16.3774172928783,24,0.01,2.974679714689652,1,0,0.4583333333333333
81,2348,-5.0398195090797415,17,0.01,2.507620054132798,0,1,0.4117647058823529
82,2364,14.889023072242388,16,0.01,2.7835046090185642,1,0,0.5625
83,2380,-5.137915639782847,16,0.01,2.772752743214369,0,1,0.375
84,2401,-3.46817332679882,21,0.01,2.7304238293852126,0,1,0.3333333333333333
85,2428,-3.337087813946577,27,0.01,2.745356750709039,0,1,0.2962962962962963
86,2443,-5.660887155871864,15,0.01,2.66334973971049,0,1,0.4666666666666667
87,2466,-5.946551420505535,23,0.01,2.620763943247173,0,1,0.36363636363636365
88,2489,-5.894390443432867,23,0.01,2.535859069098597,0,1,0.391304347826087
89,2539,24.67061548013501,50,0.01,2.6300013202428816,1,0,0.48
90,2590,25.19137442036655,51,0.01,2.781123230270311,1,0,0.48
91,2612,-5.961148879288939,22,0.01,2.8062381608919664,0,1,0.4090909090909091
92,2634,-6.955056828671097,22,0.01,2.8805274922739375,0,1,0.6363636363636364
93,2649,-5.461556049468945,15,0.01,2.5901067992051443,0,1,0.4
94,2665,-4.84456752656277,16,0.01,2.639071626588702,0,1,0.5
95,2688,-5.186974445986689,23,0.01,2.7204910361248515,0,1,0.5217391304347826
96,2714,-4.03187521670303,26,0.01,2.7621696992562366,0,1,0.34615384615384615
97,2743,-2.4226142688589185,29,0.01,2.891336659932959,0,1,0.3103448275862069
98,2767,-4.98935550933781,24,0.01,2.68723069007198,0,1,0.5
99,2814,20.969168831308714,47,0.01,2.5522138628553837,1,0,0.46808510638297873
100,2831,-4.891263030216712,17,0.01,2.854624239837422,0,1,0.23529411764705882
101,2848,-4.95658240037042,17,0.01,2.64498867708094,0,1,0.29411764705882354
102,2884,21.45334498329772,36,0.01,2.628980866736836,1,0,0.5
103,2914,14.43732505496837,30,0.01,2.601443290710449,1,0,0.4666666666666667
104,2932,13.490055983627975,18,0.01,2.8211783882644443,1,0,0.5555555555555556
105,2971,21.07232032758023,39,0.01,2.701703034914457,1,0,0.5
106,2994,-5.728002580541331,23,0.01,2.3767816696477975,0,1,0.5454545454545454
107,3010,-5.718705668225179,16,0.01,2.6034582387655973,0,1,0.375
108,3040,18.94072474551224,30,0.01,2.5434261937936147,1,0,0.5666666666666667
109,3061,-4.213463948620581,21,0.01,2.4120503593058813,0,1,0.6666666666666666
110,3085,-6.010098314660139,24,0.01,2.815541971474886,0,1,0.375
111,3110,-4.383073555917784,25,0.01,2.677186298370361,0,1,0.6
112,3149,21.3278826944048,39,0.01,2.68384310679558,1,0,0.6923076923076923
113,3178,-3.360974281163765,29,0.01,2.6781670204524337,0,1,0.41379310344827586
114,3202,-5.77571543984077,24,0.01,2.629396407554547,0,1,0.6666666666666666
115,3219,-5.334469187853102,17,0.01,2.728053901125403,0,1,0.5882352941176471
116,3245,-3.9793098593469542,26,0.01,2.5627708457983456,0,1,0.5384615384615384
117,3263,-4.058886815237637,18,0.01,2.565127940641509,0,1,0.5
118,3294,-2.05774134802516,31,0.01,2.70303294351024,0,1,0.5806451612903226
119,3317,14.834037907070837,23,0.01,2.4828579581302144,1,0,0.391304347826087
120,3333,-5.673304747509597,16,0.01,2.800556706264615,0,1,0.5
121,3368,21.208505794382596,35,0.01,2.683739077193396,1,0,0.7352941176470589
122,3384,-5.415643325935575,16,0.01,2.6946279760450125,0,1,0.4375
123,3412,-3.4172134473195266,28,0.01,2.6065108233264516,0,1,0.6071428571428571
124,3439,-3.6730426416956172,27,0.01,2.5233842311082064,0,1,0.48148148148148145
125,3479,22.901642331739005,40,0.01,2.882333264499903,1,0,0.5128205128205128
126,3503,-4.483902710638729,24,0.01,2.672979940970739,0,1,0.5833333333333334
127,3520,-5.162731686357571,17,0.01,2.4963615747059094,0,1,0.29411764705882354
128,3535,-5.576751023583418,15,0.01,2.869170308113098,0,1,0.4666666666666667
129,3562,17.756499890975544,27,0.01,2.6607607592035225,1,0,0.6666666666666666
130,3608,19.95808207136053,46,0.01,2.7117917608955633,1,0,0.6304347826086957
131,3647,18.562534653497515,39,0.01,2.7776057674334598,1,0,0.6052631578947368
132,3679,19.60116070367789,32,0.01,2.763227772898972,1,0,0.75
133,3697,-4.3812786913567,18,0.01,2.718385789129469,0,1,0.3333333333333333
134,3731,20.552107452001337,34,0.01,2.6661068902296177,1,0,0.5882352941176471
135,3787,25.84452944180009,56,0.01,2.7324383205601146,1,0,0.7090909090909091
136,3826,18.741148308182467,39,0.01,2.6732071225459757,1,0,0.5128205128205128
