Episode,Total_Steps,Reward,Ep_Steps,Epsilon,Avg_Loss,Success,Collision,Consistency
1,76,-24.21930873532663,76,0.962875,0.0,0,1,0.0
2,163,-9.785562752692023,87,0.91981,0.0,0,1,0.0
3,208,-7.0984303366996535,45,0.897535,0.0,0,1,0.0
4,274,-6.577705419273873,66,0.864865,0.0,0,1,0.0
5,305,-9.140928911804744,31,0.84952,0.0,0,1,0.0
6,372,-20.9924163930525,67,0.8163549999999999,0.0,0,1,0.0
7,412,-18.440884046409685,40,0.796555,0.0,0,1,0.0
8,508,0.001499588472361424,96,0.749035,0.0,0,1,0.0
9,575,18.803007629999705,67,0.71587,0.0,1,0,0.0
10,664,-31.069429271615583,89,0.671815,0.0,0,1,0.0
11,692,-9.015128204912255,28,0.6579550000000001,0.0,0,1,0.0
12,791,-24.333947833441414,99,0.60895,0.0,0,1,0.0
13,866,-20.3565061790301,75,0.571825,0.0,0,1,0.0
14,943,-1.1688504340775783,77,0.53371,0.0,0,1,0.0
15,1006,-21.8031750534346,63,0.5025250000000001,0.0,0,1,0.0
16,1071,-22.813138205225442,65,0.47034999999999993,0.0,0,1,0.0
17,1109,-17.88960680784156,38,0.45153999999999994,0.0,0,1,0.0
18,1174,-0.024962755872998343,65,0.419365,0.0,0,1,0.0
19,1238,-3.431626056197641,64,0.38768499999999995,0.0,0,1,0.0
20,1300,-24.571998371519392,62,0.35699500000000006,0.0,0,1,0.0
21,1386,-30.91542189336624,86,0.31442499999999995,0.0,0,1,0.0
22,1416,-16.071873902869854,30,0.29957500000000004,0.0,0,1,0.0
23,1496,-27.653538816826234,80,0.25997499999999996,0.0,0,1,0.0
24,1523,-3.691585416055158,27,0.24661,1.5011571218138156,0,1,0.0
25,1623,-7.9628062763123495,100,0.19711,1.5790216502547265,0,0,0.0
26,1651,-17.678751930330478,28,0.18325000000000002,1.416625436927591,0,1,0.0
27,1699,1.3812599658121911,48,0.15949000000000002,1.4773209802806377,0,1,0.0
28,1799,-15.76187260672666,100,0.10999000000000003,1.455557186305523,0,0,0.0
29,1899,1.385243037414548,100,0.060490000000000044,1.2879017940163613,0,0,0.0
30,1941,-5.318210282602883,42,0.03970000000000007,1.1664742830963362,0,1,0.0
31,1964,-3.5793631295520285,23,0.02831499999999998,1.3912297487258911,0,1,0.0
32,1996,-4.067905868212849,32,0.012474999999999903,1.3599508628249168,0,1,0.0
33,2096,-13.248106058348288,100,0.010000000000000009,1.0296895951032639,0,0,0.0
34,2118,-4.757122436197507,22,0.010000000000000009,0.9515648545189337,0,1,0.0
35,2147,-4.793333756830001,29,0.010000000000000009,1.0273849676395286,0,1,0.0
36,2214,-18.967295107063386,67,0.010000000000000009,0.9529982120243471,0,1,0.0
37,2260,-22.856589391952,46,0.010000000000000009,1.0242974537870158,0,1,0.0
38,2281,-5.202825904252041,21,0.010000000000000009,0.988630235904739,0,1,0.0
39,2305,-7.197323795219759,24,0.010000000000000009,1.09203063386182,0,1,0.0
40,2323,-11.848238455866229,18,0.010000000000000009,1.1363372868961759,0,1,0.0
41,2343,-9.528788358796822,20,0.010000000000000009,1.1426849663257599,0,1,0.0
42,2362,-15.08328721721743,19,0.010000000000000009,0.9964064469462947,0,1,0.0
43,2381,-15.481327792066613,19,0.010000000000000009,1.0123037711570138,0,1,0.0
44,2456,-16.384214260257707,75,0.010000000000000009,1.12390664656957,0,1,0.0
45,2529,-16.28373937511872,73,0.010000000000000009,1.0391170819328255,0,1,0.0
46,2590,1.6402911261070674,61,0.010000000000000009,0.8855880288804163,0,1,0.0
47,2609,-8.704508794983184,19,0.010000000000000009,0.881833951724203,0,1,0.0
48,2642,-6.386267714906106,33,0.010000000000000009,0.9288232552282738,0,1,0.0
49,2718,-6.05454129791085,76,0.010000000000000009,0.8365161444403624,0,1,0.0
50,2742,-9.001569909561928,24,0.010000000000000009,0.8900779224932194,0,1,0.0
51,2781,-19.062425123922907,39,0.010000000000000009,0.750193328429491,0,1,0.0
52,2810,-5.642714970682282,29,0.010000000000000009,0.803759614969122,0,1,0.0
53,2838,-15.244521154092231,28,0.010000000000000009,0.889184618634837,0,1,0.0
54,2868,-5.2846276969520565,30,0.010000000000000009,0.8839245746533076,0,1,0.0
55,2925,-12.529661458443101,57,0.010000000000000009,0.8790447936769117,0,1,0.0
56,2951,-10.035277819101758,26,0.010000000000000009,0.8469197154045105,0,1,0.0
57,2982,-7.348498194806395,31,0.010000000000000009,0.8985315330566899,0,1,0.0
58,3006,-4.1853070256033735,24,0.010000000000000009,0.8924449489762386,0,1,0.0
59,3032,-13.905694573146963,26,0.010000000000000009,1.0002687802681556,0,1,0.0
60,3054,-11.380193271350773,22,0.010000000000000009,0.872585264119235,0,1,0.0
61,3080,-15.899715567511507,26,0.010000000000000009,0.7010450443396201,0,1,0.0
62,3107,-2.927691078778082,27,0.010000000000000009,0.8417532730985571,0,1,0.0
63,3199,-4.368428215216027,92,0.010000000000000009,0.8919207230210304,0,1,0.0
64,3251,-16.067879768416667,52,0.010000000000000009,0.9022263580789933,0,1,0.0
65,3278,-16.51266222916338,27,0.010000000000000009,0.8411394644666601,0,1,0.0
66,3332,-4.224243147891988,54,0.010000000000000009,0.8793036937713623,0,1,0.0
67,3399,-28.919883816638148,67,0.010000000000000009,0.8027362256352581,0,1,0.0
68,3481,-21.2825256656767,82,0.010000000000000009,0.8778120217526831,0,1,0.0
69,3516,-16.157306662784713,35,0.010000000000000009,0.7175423051629748,0,1,0.0
70,3563,-2.287601330028849,47,0.010000000000000009,0.8270457659630065,0,1,0.0
71,3584,-10.466620330677332,21,0.010000000000000009,0.8637202978134155,0,1,0.0
72,3608,-4.643772595465717,24,0.010000000000000009,0.6855301608641943,0,1,0.0
73,3675,-5.238457471567905,67,0.010000000000000009,0.7362879141053157,0,1,0.0
74,3724,-20.115035402102507,49,0.010000000000000009,0.8342403708672037,0,1,0.0
75,3748,-12.109565712912858,24,0.010000000000000009,0.8766778955856959,0,1,0.0
76,3787,-18.089896058935253,39,0.010000000000000009,0.7003681713189834,0,1,0.0
77,3883,-30.956288782715227,96,0.010000000000000009,0.7058673966675997,0,1,0.0
78,3901,-6.090878778448353,18,0.010000000000000009,0.8617879417207506,0,1,0.0
79,3921,-9.229522007271648,20,0.010000000000000009,0.7235442757606506,0,1,0.0
80,3945,-11.501530386843967,24,0.010000000000000009,0.7643512909611067,0,1,0.0
81,3977,-2.763246742926147,32,0.010000000000000009,0.6757645104080439,0,1,0.0
82,4053,-13.527168505054012,76,0.010000000000000009,0.833765326754043,0,1,0.0
83,4153,-17.532102952368664,100,0.010000000000000009,0.7628883647918702,0,0,0.0
84,4185,-4.950234224717152,32,0.010000000000000009,0.7052322961390018,0,1,0.0
85,4208,-11.448272749427238,23,0.010000000000000009,0.6601189452668895,0,1,0.0
86,4243,-11.102995771371821,35,0.010000000000000009,0.7665755919047764,0,1,0.0
87,4297,-14.746079297357047,54,0.010000000000000009,0.7759176856941647,0,1,0.0
88,4378,-0.8223536217125211,81,0.010000000000000009,0.757432003080109,0,1,0.0
89,4460,-12.932783154684683,82,0.010000000000000009,0.7861158924131859,0,1,0.0
90,4481,-4.87143401090414,21,0.010000000000000009,0.6050129703113011,0,1,0.0
91,4535,-19.39209094864389,54,0.010000000000000009,0.6883936082875287,0,1,0.0
92,4635,-1.5306733212182788,100,0.010000000000000009,0.7514226096868515,0,0,0.0
93,4669,-12.702930115815063,34,0.010000000000000009,0.7163728011005065,0,1,0.0
94,4705,-13.113060849771824,36,0.010000000000000009,0.7489343053764768,0,1,0.0
95,4727,-8.071301298708766,22,0.010000000000000009,0.7001019756902348,0,1,0.0
96,4827,-0.3792576127625469,100,0.010000000000000009,0.7065452742576599,0,0,0.0
97,4848,-9.380741896153173,21,0.010000000000000009,0.69661593295279,0,1,0.0
98,4946,-7.338794011986494,98,0.010000000000000009,0.6466511779901932,0,1,0.0
99,4968,-11.43441351488889,22,0.010000000000000009,0.6640830175443129,0,1,0.0
100,5029,-15.326606757106834,61,0.010000000000000009,0.640384886108461,0,1,0.0
101,5087,-19.3197283718956,58,0.010000000000000009,0.8083338614167839,0,1,0.0
102,5126,-12.306518244392139,39,0.010000000000000009,0.7226359706658584,0,1,0.0
103,5226,-15.464069923880981,100,0.010000000000000009,0.7052924597263336,0,0,0.0
104,5320,-5.452610677711702,94,0.010000000000000009,0.7008149706302805,0,1,0.0
105,5420,5.427676572001739,100,0.010000000000000009,0.6473693484067917,0,0,0.0
106,5440,-5.3745331080703584,20,0.010000000000000009,0.6833102196455002,0,1,0.0
107,5540,6.807520274290116,100,0.010000000000000009,0.6329999232292175,0,0,0.0
108,5640,7.446920863378149,100,0.010000000000000009,0.6262477710843086,0,0,0.0
109,5740,2.140029805987959,100,0.010000000000000009,0.6282204365730286,0,0,0.0
110,5792,-11.201416450227832,52,0.010000000000000009,0.6060918386165912,0,1,0.0
111,5840,-13.346634526944209,48,0.010000000000000009,0.6196097433567047,0,1,0.0
112,5940,-0.27039960714481337,100,0.010000000000000009,0.6144541019201278,0,0,0.0
