Episode,Total_Steps,Reward,Ep_Steps,Epsilon,Avg_Loss,Success,Collision,Consistency
1,29,-8.746570567554565,29,0.98614,0.0,0,1,0.0
2,50,-6.5678760664944935,21,0.975745,0.0,0,1,0.0
3,150,-2.6046087411620404,100,0.926245,0.0,0,0,0.0
4,217,-6.054887214908145,67,0.89308,0.0,0,1,0.0
5,253,-17.63313097848402,36,0.87526,0.0,0,1,0.0
6,353,-15.178446696741798,100,0.82576,0.0,0,0,0.0
7,433,21.871211934992232,80,0.78616,0.0,1,0,0.0
8,482,18.629214603378344,49,0.761905,0.0,1,0,0.0
9,543,-24.642160934591686,61,0.73171,0.0,0,1,0.0
10,573,-8.746468421543081,30,0.71686,0.0,0,1,0.0
11,635,-22.06429916366922,62,0.68617,0.0,0,1,0.0
12,704,-19.39728255275029,69,0.652015,0.0,0,1,0.0
13,767,-3.342500658930579,63,0.62083,0.0,0,1,0.0
14,831,-4.122655131227143,64,0.5891500000000001,0.0,0,1,0.0
15,908,-23.9283594521851,77,0.5510349999999999,0.0,0,1,0.0
16,981,-27.708837625582973,73,0.5149,0.0,0,1,0.0
17,1018,-10.04478694351507,37,0.49658500000000005,0.0,0,1,0.0
18,1049,-4.092447645215138,31,0.48124,0.0,0,1,0.0
19,1127,-29.44150545592929,78,0.4426300000000001,0.0,0,1,0.0
20,1190,-21.594923741797455,63,0.41144499999999995,0.0,0,1,0.0
21,1218,-15.34565411534852,28,0.39758499999999997,0.0,0,1,0.0
22,1277,-21.415614089998805,59,0.36838000000000004,0.0,0,1,0.0
23,1354,-11.841158320703638,77,0.33026500000000003,0.0,0,1,0.0
24,1441,1.0902263232470464,87,0.2872,0.0,0,1,0.0
25,1501,-24.408019478632312,60,0.25750000000000006,1.6834567785263062,0,1,0.0
26,1524,-5.348486865228349,23,0.24611500000000008,1.7933147756949714,0,1,0.0
27,1624,-21.8281550126837,100,0.19661499999999998,1.5575626673549414,0,0,0.0
28,1674,-3.268021788706113,50,0.17186499999999993,1.3681959089636804,0,1,0.0
29,1724,-23.11650461340787,50,0.147115,1.3450576156377791,0,1,0.0
30,1782,-27.038967964776994,58,0.1184050000000001,1.4527110221057102,0,1,0.0
31,1804,-5.491714193391232,22,0.10751500000000003,1.3820605718276717,0,1,0.0
32,1829,-15.584361684939477,25,0.09514,1.6357883834838867,0,1,0.0
33,1883,-15.510499226022041,54,0.06841000000000008,1.2985452579127417,0,1,0.0
34,1906,-10.698262838190537,23,0.05702499999999999,1.3380257642787436,0,1,0.0
35,1931,-16.477749192106216,25,0.04465000000000008,1.523896050453186,0,1,0.0
36,1950,-14.962172178200738,19,0.03524499999999997,1.4770553362996954,0,1,0.0
37,1969,-15.063206386393658,19,0.025839999999999974,1.5061548697321039,0,1,0.0
38,1999,-15.401343838616405,30,0.010990000000000055,1.4621118903160095,0,1,0.0
39,2023,-16.651370972714695,24,0.010000000000000009,1.2710950300097466,0,1,0.0
40,2042,-10.418467977028058,19,0.010000000000000009,1.284876595986517,0,1,0.0
41,2071,-12.70967162940092,29,0.010000000000000009,1.1240660748605071,0,1,0.0
42,2091,-12.620322013817631,20,0.010000000000000009,1.2388055264949798,0,1,0.0
43,2112,-15.735343190815472,21,0.010000000000000009,1.4994498150689262,0,1,0.0
44,2134,-15.517799334700847,22,0.010000000000000009,1.4658180102705956,0,1,0.0
45,2157,-8.59711604839281,23,0.010000000000000009,1.299275157244309,0,1,0.0
46,2238,-6.509332429390657,81,0.010000000000000009,1.279084305336446,0,1,0.0
47,2259,-7.4601457742570325,21,0.010000000000000009,1.245308245931353,0,1,0.0
48,2297,-3.018559108232684,38,0.010000000000000009,1.2116872150647013,0,1,0.0
49,2349,-3.400543917908995,52,0.010000000000000009,1.2436107706565123,0,1,0.0
50,2419,-11.692201315109063,70,0.010000000000000009,1.2880683396543775,0,1,0.0
51,2442,-9.713535279858533,23,0.010000000000000009,1.2505881021852079,0,1,0.0
52,2504,-24.913344158499445,62,0.010000000000000009,1.1932640171820117,0,1,0.0
53,2556,-24.05294271514513,52,0.010000000000000009,0.9758802933188585,0,1,0.0
