Episode,Total_Steps,Reward,Ep_Steps,Epsilon,Avg_Loss,Success,Collision,Consistency
1,82,-6.272951513972039,82,0.959905,0.0,0,1,0.0
2,117,-19.240246782446064,35,0.94258,0.0,0,1,0.0
3,217,-12.259899856023402,100,0.89308,0.0,0,0,0.0
4,256,-12.853032612689786,39,0.873775,0.0,0,1,0.0
5,356,-9.134949647827424,100,0.824275,0.0,0,0,0.0
6,382,-16.630214944911298,26,0.8114049999999999,0.0,0,1,0.0
7,414,-22.810861161180515,32,0.7955650000000001,0.0,0,1,0.0
8,448,-18.958539684481693,34,0.778735,0.0,0,1,0.0
9,478,-16.279025383414037,30,0.763885,0.0,0,1,0.0
10,505,-14.096110907117174,27,0.75052,0.0,0,1,0.0
11,605,-12.657162340304394,100,0.70102,0.0,0,0,0.0
12,635,-9.91616037273033,30,0.68617,0.0,0,1,0.0
13,680,-8.493095804436738,45,0.6638949999999999,0.0,0,1,0.0
14,768,-21.693259738350932,88,0.620335,0.0,0,1,0.0
15,793,-15.144023822949345,25,0.6079600000000001,0.0,0,1,0.0
16,824,-22.637270503507597,31,0.592615,0.0,0,1,0.0
17,875,-21.081087302111026,51,0.5673699999999999,0.0,0,1,0.0
18,903,-21.072900362514776,28,0.55351,0.0,0,1,0.0
19,927,-15.32867618414545,24,0.5416300000000001,0.0,0,1,0.0
20,957,-10.85053937484675,30,0.52678,0.0,0,1,0.0
21,1001,-12.88704031385861,44,0.505,0.0,0,1,0.0
22,1101,-6.086434148484996,100,0.4555,0.0,0,0,0.0
23,1201,-2.8486193169392235,100,0.406,0.0,0,0,0.0
24,1225,-15.62771941697051,24,0.39412,0.0,0,1,0.0
25,1325,-3.995389243424608,100,0.3446199999999999,0.0,0,0,0.0
26,1425,-10.124341329961442,100,0.29512000000000005,0.0,0,0,0.0
27,1525,-5.502828377678486,100,0.24561999999999995,2.6879600837826727,0,0,0.0
28,1625,-5.206847626764693,100,0.19611999999999996,2.880302182212472,0,0,0.0
29,1650,-11.43271752584426,25,0.18374500000000005,2.2913453698158266,0,1,0.0
30,1691,-7.632412048217432,41,0.16344999999999998,2.6509896687618117,0,1,0.0
31,1722,-23.996535576166877,31,0.14810499999999993,2.593385677183828,0,1,0.0
32,1777,-9.680632660148667,55,0.12087999999999999,2.574331232092597,0,1,0.0
33,1805,-21.57829836356874,28,0.10702,2.641662069729396,0,1,0.0
34,1838,-15.402199542821998,33,0.09068500000000002,2.735516438881556,0,1,0.0
35,1860,-10.368338804853877,22,0.07979500000000006,2.4716630916703832,0,1,0.0
36,1951,-14.899249214640411,91,0.03475000000000006,2.936214805959345,0,1,0.0
37,1997,-22.840312282813358,46,0.01197999999999999,2.7369398520044657,0,1,0.0
38,2097,-8.63511229450109,100,0.010000000000000009,2.076168412268162,0,0,0.0
39,2137,-14.155094469121257,40,0.010000000000000009,2.4431624241173266,0,1,0.0
40,2164,-13.227134134831552,27,0.010000000000000009,1.7968616137901943,0,1,0.0
