Episode,Total_Steps,Reward,Ep_Steps,Epsilon,Avg_Loss,Success,Collision
1,51,13.000477935030585,51,0.0,0.0,1,0
2,74,9.825230088628695,23,0.0,0.0,1,0
3,112,13.019080787674334,38,0.0,0.0,1,0
4,154,16.264578190711582,42,0.0,0.0,1,0
5,171,11.704451569511583,17,0.0,0.0,1,0
6,223,18.098965848368298,52,0.0,0.0,1,0
7,246,12.356079700158041,23,0.0,0.0,1,0
8,277,13.07566506536316,31,0.0,0.0,1,0
9,302,10.511004608057096,25,0.0,0.0,1,0
10,344,13.295423819129695,42,0.0,0.0,1,0
11,345,10.0,1,0.0,0.0,1,0
12,387,15.71317074284571,42,0.0,0.0,1,0
13,412,10.017144963119051,25,0.0,0.0,1,0
14,461,12.932375892598458,49,0.0,0.0,1,0
15,485,11.081058582121912,24,0.0,0.0,1,0
16,540,15.387056760466665,55,0.0,0.0,1,0
17,561,12.587184616917988,21,0.0,0.0,1,0
18,610,15.496243619328226,49,0.0,0.0,1,0
19,611,10.0,1,0.0,0.0,1,0
20,647,15.017222612822733,36,0.0,0.0,1,0
21,665,11.910794702588964,18,0.0,0.0,1,0
22,707,12.382748155901664,42,0.0,0.0,1,0
23,756,11.665414044545335,49,0.0,0.0,1,0
24,784,13.110928999836327,28,0.0,0.0,1,0
25,799,11.451792011479625,15,0.0,0.0,1,0
26,809,10.683197122625266,10,0.0,0.0,1,0
27,810,10.0,1,0.0,0.0,1,0
28,835,10.764050377903777,25,0.0,0.0,1,0
29,836,10.0,1,0.0,0.0,1,0
30,905,16.974860858791793,69,0.0,0.0,1,0
31,923,10.74250021054491,18,0.0,0.0,1,0
32,959,14.073650702633302,36,0.0,0.0,1,0
33,1013,18.096646694555695,54,0.0,0.0,1,0
34,1075,14.835241379323296,62,0.0,0.0,1,0
35,1096,12.639250389998743,21,0.0,0.0,1,0
36,1097,10.0,1,0.0,0.0,1,0
37,1142,16.20156794383497,45,0.0,0.0,1,0
38,1174,14.271729532791252,32,0.0,0.0,1,0
39,1233,16.606497497586197,59,0.0,0.0,1,0
40,1292,15.674828428133754,59,0.0,0.0,1,0
41,1328,11.767233298717132,36,0.0,0.0,1,0
42,1362,14.071263601361895,34,0.0,0.0,1,0
43,1428,15.666740258149364,66,0.0,0.0,1,0
44,1429,10.0,1,0.0,0.0,1,0
45,1464,13.9730705766735,35,0.0,0.0,1,0
46,1502,15.481725168168948,38,0.0,2.2740018367767334,1,0
47,1532,16.269477184787064,30,0.0,2.214850684007009,1,0
48,1542,11.16839770191935,10,0.0,2.1624589443206785,1,0
49,1570,14.708952704556793,28,0.0,2.125645773751395,1,0
50,1597,12.530277041427047,27,0.0,3.8622468599566706,1,0
51,1622,15.447484127914933,25,0.0,3.961198172569275,1,0
52,1627,10.149581574214604,5,0.0,3.421661913394928,1,0
53,1655,15.986103485336855,28,0.0,3.8721216512577876,1,0
54,1676,13.574697807081577,21,0.0,3.6315646370251975,1,0
55,1686,11.395706849063705,10,0.0,3.682155418395996,1,0
56,1696,11.300645520149052,10,0.0,3.864061963558197,1,0
57,1717,14.20140320320754,21,0.0,4.0659672901743935,1,0
58,1751,16.106267740343892,34,0.0,3.857056051492691,1,0
59,1790,14.234301281460567,39,0.0,3.6739099575923038,1,0
60,1822,11.799179130486664,32,0.0,3.5290093440562487,1,0
61,1845,14.31501238306223,23,0.0,3.534232971460923,1,0
62,1866,11.261331165366261,21,0.0,3.4877159765788486,1,0
63,1896,14.83902408549051,30,0.0,3.602008589108785,1,0
64,1917,13.863155165827559,21,0.0,3.8076156065577553,1,0
65,1918,10.0,1,0.0,3.855595350265503,1,0
66,1944,15.88486163809412,26,0.0,3.517718033148692,1,0
67,1969,15.073551673298663,25,0.0,4.097625150680542,1,0
68,2001,13.016103373130598,32,0.0,3.8257114067673683,1,0
69,2022,14.18951588468194,21,0.0,3.624466305687314,1,0
70,2045,11.747442088543876,23,0.0,3.7264865792315938,1,0
71,2048,9.97999975947575,3,0.0,4.091529289881389,1,0
72,2084,14.575558126556297,36,0.0,3.778095457288954,1,0
73,2113,16.797309260495677,29,0.0,3.79472967468459,1,0
74,2150,14.175686381440121,37,0.0,3.4725897030250445,1,0
75,2187,14.962224376174534,37,0.0,3.5555636375337034,1,0
76,2210,15.209336849751253,23,0.0,3.4196798101715418,1,0
77,2225,12.510818716990261,15,0.0,3.6120858907699587,1,0
78,2248,14.640507324392454,23,0.0,3.8001708168050516,1,0
79,2263,12.833759734360509,15,0.0,3.5328443785508474,1,0
80,2297,14.577663144174608,34,0.0,3.2992838375708637,1,0
81,2298,10.0,1,0.0,5.297974407672882,1,0
