Episode,Total_Steps,Reward,Ep_Steps,Epsilon,Avg_Loss,Success,Collision
1,6,-55.722108077357134,6,0.999505,0.0,0,1
2,49,193.50982611318443,43,0.995248,0.0,1,0
3,64,-66.85528645585407,15,0.993763,0.0,0,1
4,108,-67.89648654463083,44,0.989407,0.0,0,1
5,129,-38.77919099577092,21,0.987328,0.0,0,1
6,163,-103.23827823253808,34,0.983962,0.0,0,1
7,194,-69.34256229547887,31,0.980893,0.0,0,1
8,200,-47.18488894927345,6,0.980299,0.0,0,1
9,221,142.27415082720987,21,0.97822,0.0,1,0
10,235,-46.62797981207511,14,0.976834,0.0,0,1
11,238,-50.52120166071048,3,0.976537,0.0,0,1
12,262,-73.95817388512651,24,0.974161,0.0,0,1
13,276,-37.387492968336616,14,0.972775,0.0,0,1
14,283,-49.333611485276975,7,0.972082,0.0,0,1
15,336,-23.858481118829246,53,0.966835,0.0,0,1
16,368,-123.75442063259068,32,0.963667,0.0,0,1
17,375,-42.4990186250775,7,0.962974,0.0,0,1
18,379,-52.82423801745158,4,0.962578,0.0,0,1
19,414,-51.728152036690034,35,0.959113,0.0,0,1
20,424,115.17464136947393,10,0.9581230000000001,0.0,1,0
21,467,-114.47996875778911,43,0.953866,0.0,0,1
22,475,-43.871444927447875,8,0.953074,0.0,0,1
23,482,-41.29546228446872,7,0.952381,0.0,0,1
24,498,-26.29615472612599,16,0.950797,0.0,0,1
25,503,-58.37646614467865,5,0.950302,0.0,0,1
26,510,-53.46605018246593,7,0.949609,0.0,0,1
27,515,-52.88761433916016,5,0.949114,0.0,0,1
28,544,12.12284197827794,29,0.946243,0.0,0,1
29,559,-28.73302300521458,15,0.944758,0.0,0,1
30,566,-39.40685524885126,7,0.944065,0.0,0,1
31,622,-99.91674986184032,56,0.938521,0.0,0,1
32,638,-49.57187032809815,16,0.936937,0.0,0,1
33,651,-43.91659899230723,13,0.93565,0.0,0,1
34,659,-45.26594124239651,8,0.934858,0.0,0,1
35,672,-41.10488447839141,13,0.933571,0.0,0,1
36,700,-29.525065465052716,28,0.930799,0.0,0,1
37,731,-64.47249554714226,31,0.9277299999999999,0.0,0,1
38,744,-71.48112029872364,13,0.926443,0.0,0,1
39,748,-48.15835468288039,4,0.926047,0.0,0,1
40,769,-53.18046475563776,21,0.923968,0.0,0,1
41,810,-61.77905496699636,41,0.919909,0.0,0,1
42,863,-71.7275725077423,53,0.914662,0.0,0,1
43,894,-5.5538271510347315,31,0.911593,0.0,0,1
44,912,-90.33649945406907,18,0.909811,0.0,0,1
45,925,-64.0468364744929,13,0.908524,0.0,0,1
46,932,-63.302624481865486,7,0.907831,0.0,0,1
47,936,-49.46810434435924,4,0.907435,0.0,0,1
48,943,-41.19531893345392,7,0.9067419999999999,0.0,0,1
49,956,-82.52087763249196,13,0.905455,0.0,0,1
50,994,-46.51476408227314,38,0.901693,0.0,0,1
51,1026,-86.18046726141324,32,0.898525,0.0,0,1
52,1034,-64.17301323419136,8,0.897733,0.0,0,1
53,1049,-33.686131178994486,15,0.896248,0.0,0,1
54,1055,-56.69928896901119,6,0.895654,0.0,0,1
55,1061,-56.806893194932314,6,0.89506,0.0,0,1
