Episode,Total_Steps,Reward,Ep_Steps,Epsilon,Avg_Loss,Success,Collision,Consistency
1,20,-1.7064293038167002,20,0.990595,0.0,0,1,0.0
2,41,-6.946524714865506,21,0.9802,0.0,0,1,0.0
3,67,-11.06011968976817,26,0.96733,0.0,0,1,0.0
4,95,-0.6238283310970978,28,0.95347,0.0,0,1,0.0
5,110,-9.750855047105448,15,0.946045,0.0,0,1,0.0
6,125,0.9503367322921665,15,0.93862,0.0,0,1,0.0
7,167,3.5099977066677432,42,0.91783,0.0,0,1,0.0
8,195,3.9481524316791727,28,0.9039699999999999,0.0,0,1,0.0
9,214,-12.647572882076151,19,0.894565,0.0,0,1,0.0
10,234,-8.49233936857868,20,0.884665,0.0,0,1,0.0
11,277,-3.2843155965217723,43,0.86338,0.0,0,1,0.0
12,290,-2.363656906026781,13,0.8569450000000001,0.0,0,1,0.0
13,313,-3.8796735667224125,23,0.84556,0.0,0,1,0.0
14,327,14.796327452873308,14,0.83863,0.0,1,0,0.0
15,403,-26.271147552278798,76,0.80101,0.0,0,1,0.0
16,416,-6.12361467905342,13,0.794575,0.0,0,1,0.0
17,440,1.5839670769586505,24,0.782695,0.0,0,1,0.0
18,456,-3.4882625147115154,16,0.774775,0.0,0,1,0.0
19,489,13.565682846258486,33,0.75844,0.0,1,0,0.0
20,522,-11.86221417549132,33,0.742105,0.0,0,1,0.0
21,538,-4.539403836705146,16,0.734185,0.0,0,1,0.0
22,552,-5.735822199212555,14,0.727255,0.0,0,1,0.0
23,601,-26.913336653253047,49,0.7030000000000001,0.0,0,1,0.0
24,612,-0.5024057691224808,11,0.697555,0.0,0,1,0.0
25,625,-10.496180246167134,13,0.69112,0.0,0,1,0.0
26,639,-1.7627712802746265,14,0.6841900000000001,0.0,0,1,0.0
27,726,-5.02390949939349,87,0.641125,0.0,0,1,0.0
28,755,-3.1858622656624,29,0.62677,0.0,0,1,0.0
29,783,-4.3210264930941715,28,0.6129100000000001,0.0,0,1,0.0
30,837,-9.671958817087182,54,0.58618,0.0,0,1,0.0
31,851,-0.37336741464105216,14,0.57925,0.0,0,1,0.0
32,867,-4.221824876360092,16,0.57133,0.0,0,1,0.0
33,885,-9.334874184468728,18,0.5624199999999999,0.0,0,1,0.0
34,898,-1.0598145060738773,13,0.555985,0.0,0,1,0.0
35,912,-9.393516049155771,14,0.5490550000000001,0.0,0,1,0.0
36,923,-1.6909870394463669,11,0.5436099999999999,0.0,0,1,0.0
37,984,-9.8896614280835,61,0.513415,0.0,0,1,0.0
38,1033,-16.150657373661076,49,0.48916000000000004,0.0,0,1,0.0
39,1044,-6.629191252608129,11,0.483715,0.0,0,1,0.0
40,1076,1.5482763331238756,32,0.46787500000000004,0.0,0,1,0.0
41,1110,-13.066268484152298,34,0.45104500000000003,0.0,0,1,0.0
42,1132,-6.003272453885547,22,0.44015499999999996,0.0,0,1,0.0
43,1144,-9.402038024224549,12,0.434215,0.0,0,1,0.0
44,1184,-6.265639669062806,40,0.414415,0.0,0,1,0.0
45,1200,-11.780782109086996,16,0.40649499999999994,0.0,0,1,0.0
46,1247,-1.3291768864726472,47,0.38322999999999996,0.0,0,1,0.0
47,1289,-11.282819443399879,42,0.36244,0.0,0,1,0.0
48,1360,-11.286620837981904,71,0.327295,0.0,0,1,0.0
49,1395,-9.620909535686348,35,0.3099700000000001,0.0,0,1,0.0
50,1428,-0.22060494489456328,33,0.293635,0.0,0,1,0.0
51,1528,-3.0075318180855564,100,0.2441350000000001,1.2675106418984277,0,0,0.0
52,1628,-0.7678820076674464,100,0.194635,1.153992423415184,0,0,0.0
53,1693,-5.957229583121745,65,0.16246000000000005,1.004174911058866,0,1,0.0
54,1760,-4.922134058157515,67,0.12929500000000005,0.9403115662176218,0,1,0.0
