Episode,Total_Steps,Reward,Ep_Steps,Epsilon,Avg_Loss,Success,Collision
1,20,-36.57738378079603,20,0.998119,0.0,0,1
2,25,-52.2745072856176,5,0.997624,0.0,0,1
3,109,-103.7562935123489,84,0.989308,0.0,0,1
4,118,-38.02566373093232,9,0.988417,0.0,0,1
5,129,-58.8643632169498,11,0.987328,0.0,0,1
6,141,-62.65989468847346,12,0.98614,0.0,0,1
7,155,-25.083405950648228,14,0.984754,0.0,0,1
8,162,-37.686569493050754,7,0.984061,0.0,0,1
9,180,-62.468103956972364,18,0.982279,0.0,0,1
10,195,-81.37193227520171,15,0.9807939999999999,0.0,0,1
11,215,-48.06723091280702,20,0.978814,0.0,0,1
12,235,-91.66875881683094,20,0.976834,0.0,0,1
13,262,-35.652744438739475,27,0.974161,0.0,0,1
14,266,-48.0659713663601,4,0.973765,0.0,0,1
15,278,-28.364641000437867,12,0.972577,0.0,0,1
16,293,-67.4664799848027,15,0.971092,0.0,0,1
17,303,-31.82863074951054,10,0.970102,0.0,0,1
18,307,-55.073938170383805,4,0.969706,0.0,0,1
19,324,-19.31982756303235,17,0.968023,0.0,0,1
20,341,-67.50976297491766,17,0.96634,0.0,0,1
21,345,-52.295479303074075,4,0.965944,0.0,0,1
22,352,-42.688755026810774,7,0.965251,0.0,0,1
23,398,-25.146797056845386,46,0.960697,0.0,0,1
24,414,-24.64956637367311,16,0.959113,0.0,0,1
25,418,-53.988084276459155,4,0.958717,0.0,0,1
26,430,121.32507219574515,12,0.957529,0.0,1,0
27,435,-53.79678152971016,5,0.957034,0.0,0,1
28,445,-59.70558858204447,10,0.956044,0.0,0,1
29,488,-12.930118954466217,43,0.951787,0.0,0,1
30,495,-39.51437451248527,7,0.951094,0.0,0,1
31,511,-53.94335656633075,16,0.94951,0.0,0,1
32,519,-44.07479884194388,8,0.948718,0.0,0,1
33,537,-83.68807148298771,18,0.946936,0.0,0,1
34,546,-47.33345711146224,9,0.946045,0.0,0,1
35,565,-30.422013548074837,19,0.944164,0.0,0,1
36,576,-72.15287321247692,11,0.943075,0.0,0,1
37,630,-114.20910952409302,54,0.937729,0.0,0,1
38,644,-28.288763702367213,14,0.936343,0.0,0,1
39,670,-54.71768464766945,26,0.933769,0.0,0,1
40,677,-41.73080239915856,7,0.933076,0.0,0,1
41,687,-64.85023944702905,10,0.932086,0.0,0,1
42,719,-103.0837989947576,32,0.928918,0.0,0,1
43,743,-17.547076626407666,24,0.926542,0.0,0,1
44,753,-71.70529504892322,10,0.925552,0.0,0,1
45,763,-55.317375441042,10,0.924562,0.0,0,1
46,768,-54.270605800706015,5,0.924067,0.0,0,1
47,772,-49.72769517677194,4,0.923671,0.0,0,1
48,796,-63.97023320762284,24,0.921295,0.0,0,1
49,854,-9.4313047230535,58,0.9155530000000001,0.0,0,1
50,858,-52.65660166544377,4,0.915157,0.0,0,1
51,887,11.16071991866454,29,0.912286,0.0,0,1
52,919,-2.1273518092122643,32,0.909118,0.0,0,1
53,942,-18.51681248756678,23,0.906841,0.0,0,1
54,948,-56.67917894476522,6,0.906247,0.0,0,1
55,978,-99.30192121142736,30,0.903277,0.0,0,1
56,991,-76.77251223374653,13,0.90199,0.0,0,1
57,997,-49.2258892143369,6,0.901396,0.0,0,1
58,1004,-50.48860172876377,7,0.900703,0.0,0,1
59,1013,-40.86597557669992,9,0.8998120000000001,0.0,0,1
60,1019,-43.11320139517933,6,0.899218,0.0,0,1
61,1058,-50.63775086436199,39,0.895357,0.0,0,1
62,1081,-37.479744315196925,23,0.89308,0.0,0,1
63,1086,-57.943630112378266,5,0.892585,0.0,0,1
64,1089,-51.1800336391281,3,0.892288,0.0,0,1
65,1095,-44.667733137487225,6,0.891694,0.0,0,1
66,1116,-73.64019372400853,21,0.889615,0.0,0,1
67,1123,-53.70568288930092,7,0.888922,0.0,0,1
68,1144,-80.37852445165933,21,0.886843,0.0,0,1
69,1156,-61.21304877142893,12,0.885655,0.0,0,1
70,1172,-78.88772705358639,16,0.884071,0.0,0,1
71,1178,-54.451611287371634,6,0.883477,0.0,0,1
72,1208,-82.61215547929913,30,0.880507,0.0,0,1
73,1220,-74.28300975722242,12,0.879319,0.0,0,1
74,1241,-15.894535488731925,21,0.87724,0.0,0,1
75,1258,-53.51000587943605,17,0.875557,0.0,0,1
76,1265,-47.6800315812856,7,0.874864,0.0,0,1
77,1268,-51.717735249826276,3,0.874567,0.0,0,1
78,1280,-49.66396648875487,12,0.873379,0.0,0,1
79,1308,-66.51929034726606,28,0.870607,0.0,0,1
80,1322,-82.81183317070541,14,0.869221,0.0,0,1
81,1343,-79.78545823957963,21,0.867142,0.0,0,1
82,1353,-32.34642416254623,10,0.866152,0.0,0,1
83,1357,-51.77355786160799,4,0.865756,0.0,0,1
84,1364,-44.80630503966944,7,0.865063,0.0,0,1
85,1370,-38.65743947370109,6,0.864469,0.0,0,1
86,1378,-63.940597160540435,8,0.863677,0.0,0,1
87,1379,-50.0,1,0.863578,0.0,0,1
88,1404,-46.64319141277023,25,0.861103,0.0,0,1
89,1411,-43.26310508297508,7,0.86041,0.0,0,1
90,1416,-57.85495521670087,5,0.859915,0.0,0,1
91,1432,130.76334150259157,16,0.858331,0.0,1,0
92,1457,-50.6567394410208,25,0.855856,0.0,0,1
93,1465,-31.443502244125597,8,0.855064,0.0,0,1
94,1476,-35.87757458499703,11,0.853975,0.0,0,1
95,1492,-16.67218480472205,16,0.852391,0.0,0,1
96,1502,-52.059796581266596,10,0.851401,212.4349594116211,0,1
97,1508,-47.64049423220731,6,0.850807,179.93246205647787,0,1
98,1520,-63.89422996126552,12,0.849619,195.53245290120444,0,1
99,1539,-63.03761904092241,19,0.847738,175.6646728515625,0,1
100,1542,-47.53347301277737,3,0.847441,223.25005086263022,0,1
101,1556,-83.00545598896589,14,0.846055,170.52405657087053,0,1
102,1560,-58.91549531370508,4,0.8456589999999999,171.98080825805664,0,1
103,1571,-48.936868129734265,11,0.84457,181.28791462291372,0,1
104,1595,-22.560936378450283,24,0.842194,187.01212310791016,0,1
105,1608,-37.585386711270935,13,0.840907,175.98707169752853,0,1
106,1622,-9.994180889647936,14,0.839521,174.66044398716517,0,1
107,1627,-54.69066548549212,5,0.839026,162.21235046386718,0,1
108,1668,-20.490224695178362,41,0.834967,165.80105181438168,0,1
109,1676,-31.829586957947164,8,0.834175,154.66234683990479,0,1
110,1684,-64.15250933175112,8,0.833383,160.50378608703613,0,1
111,1689,-56.15203252437912,5,0.832888,151.0490753173828,0,1
112,1693,-52.108432765079506,4,0.832492,137.55417251586914,0,1
113,1699,-58.02805903882299,6,0.831898,164.60493850708008,0,1
114,1718,-65.1021298323005,19,0.830017,161.7845001220703,0,1
115,1725,-39.724707253696096,7,0.829324,133.97496686662947,0,1
116,1734,-67.16153713391358,9,0.828433,149.65055508083768,0,1
117,1744,-78.57665994465349,10,0.8274429999999999,159.07203063964843,0,1
118,1749,-42.9326509712682,5,0.826948,166.41213684082032,0,1
119,1760,-54.90339167236633,11,0.825859,171.8300212513317,0,1
120,1766,-51.59874986845242,6,0.825265,160.3815434773763,0,1
121,1774,-67.93136898525829,8,0.824473,147.71964073181152,0,1
122,1783,-66.69743949658564,9,0.823582,166.41765679253473,0,1
123,1794,-59.46476184278684,11,0.822493,145.38168889825994,0,1
124,1803,-44.0169854057336,9,0.8216019999999999,147.33351135253906,0,1
125,1817,-73.55227921393859,14,0.8202160000000001,142.2128083365304,0,1
126,1819,-47.47796261250987,2,0.820018,141.09686660766602,0,1
127,1822,-50.432070239964034,3,0.8197209999999999,150.57312520345053,0,1
128,1823,-50.0,1,0.819622,119.82525634765625,0,1
129,1835,-53.552673773077665,12,0.818434,150.5235163370768,0,1
130,1839,-49.404383161744335,4,0.818038,142.2047176361084,0,1
131,1849,-26.14568087755015,10,0.817048,163.47870864868165,0,1
132,1858,-72.33003543262632,9,0.816157,183.04659695095486,0,1
133,1893,-103.69734467277861,35,0.812692,139.49297267368863,0,1
134,1911,-97.24804555640158,18,0.81091,149.70338228013782,0,1
135,1946,-71.76482650909792,35,0.807445,151.18773258754186,0,1
136,1959,-77.9666990474872,13,0.806158,146.4695340670072,0,1
137,1976,-55.74979485024958,17,0.804475,147.1767676858341,0,1
138,1998,-21.893212244728172,22,0.802297,140.57160290804777,0,1
139,2004,-59.08877058344068,6,0.801703,141.25664647420248,0,1
140,2009,-65.92403448563638,5,0.801208,114.55684204101563,0,1
141,2012,-54.65499207981674,3,0.800911,115.56575266520183,0,1
142,2017,-48.88015661176131,5,0.800416,123.06392669677734,0,1
143,2026,-60.68169975242823,9,0.799525,102.0644293891059,0,1
144,2039,-84.71155408589546,13,0.798238,107.69659981360802,0,1
145,2042,-50.40016392813907,3,0.797941,131.2521540323893,0,1
146,2045,-50.70193786309274,3,0.797644,79.22992451985677,0,1
147,2050,-49.36018621552266,5,0.797149,112.64501190185547,0,1
148,2056,-39.62819914320546,6,0.796555,116.15309143066406,0,1
149,2066,-44.00167300506151,10,0.7955650000000001,121.7654914855957,0,1
150,2071,-61.35731787303307,5,0.7950699999999999,123.83799896240234,0,1
151,2085,-61.9018575994461,14,0.7936840000000001,121.63600867135185,0,1
152,2148,11.107342744586205,63,0.787447,113.07789224291605,0,1
153,2155,-62.8788195129444,7,0.786754,92.48351287841797,0,1
154,2161,-42.8542577690252,6,0.78616,96.45087560017903,0,1
155,2177,-88.61248500273368,16,0.784576,109.06355857849121,0,1
156,2183,-48.608341510039054,6,0.783982,94.58712259928386,0,1
157,2186,-52.83134473543561,3,0.783685,101.56479136149089,0,1
158,2200,-58.21355117518141,14,0.782299,111.08434568132672,0,1
159,2212,-42.21424004879797,12,0.781111,109.16823705037434,0,1
160,2221,-45.42580366518987,9,0.78022,113.6896260579427,0,1
161,2227,-59.04225329322243,6,0.779626,103.38537979125977,0,1
162,2240,-42.660592551344024,13,0.778339,119.98943504920372,0,1
163,2246,-58.438292479705275,6,0.777745,113.79392751057942,0,1
164,2252,-63.997458865069,6,0.777151,112.05765279134114,0,1
165,2285,-109.8409586679278,33,0.773884,106.27619702888258,0,1
166,2295,-74.55224016166585,10,0.772894,117.91451492309571,0,1
167,2307,-26.643128020733172,12,0.771706,101.43520991007487,0,1
168,2314,-62.050923041202566,7,0.771013,91.4447991507394,0,1
169,2336,-91.74335490609714,22,0.7688349999999999,111.72470925071023,0,1
170,2352,-62.80954418264051,16,0.767251,113.68572759628296,0,1
171,2370,-55.45817300929199,18,0.765469,105.55178218417697,0,1
172,2379,-74.90090274465788,9,0.764578,98.71056281195746,0,1
173,2391,-56.825036555759446,12,0.76339,113.38276354471843,0,1
174,2394,-49.12487994479592,3,0.763093,105.16110229492188,0,1
175,2401,-73.42602697936802,7,0.7624,106.87957218715123,0,1
176,2415,-89.44161121624134,14,0.761014,105.22850472586495,0,1
177,2450,-3.2407558305010085,35,0.757549,103.17194344656808,0,1
178,2476,115.4299050417214,26,0.754975,102.64211830726036,1,0
179,2515,2.387929199664164,39,0.7511140000000001,95.13894927196013,0,1
180,2522,-38.78941173584105,7,0.750421,89.35251072474888,0,1
181,2532,-31.268758296598584,10,0.749431,94.21790733337403,0,1
182,2535,-47.96872797589042,3,0.749134,97.55666097005208,0,1
183,2542,-48.90600445708214,7,0.748441,85.89350291660854,0,1
184,2548,-62.287257122485194,6,0.747847,87.17783737182617,0,1
185,2562,-41.510496734007305,14,0.746461,95.19381931849888,0,1
186,2566,-45.41141321709827,4,0.746065,64.41689395904541,0,1
187,2574,-37.85877067703682,8,0.7452730000000001,85.27457237243652,0,1
