Episode,Total_Steps,Reward,Ep_Steps,Epsilon,Avg_Loss,Success,Collision,Consistency
1,35,-62.93918636355958,35,0.98317,0.0,0,1,0.0
2,57,-86.77674856332823,22,0.97228,0.0,0,1,0.0
3,74,-38.40544913592669,17,0.963865,0.0,0,1,0.0
4,116,-39.990737365416166,42,0.943075,0.0,0,1,0.0
5,176,-118.90158542223051,60,0.913375,0.0,0,1,0.0
6,200,-20.372291883143482,24,0.9014949999999999,0.0,0,1,0.0
7,269,-106.62942965885912,69,0.86734,0.0,0,1,0.0
8,290,-23.436640278865294,21,0.8569450000000001,0.0,0,1,0.0
9,308,-62.11711264473934,18,0.848035,0.0,0,1,0.0
10,327,-71.97798250157454,19,0.83863,0.0,0,1,0.0
11,355,-87.27718354859309,28,0.82477,0.0,0,1,0.0
12,406,-60.20236961139367,51,0.799525,0.0,0,1,0.0
13,431,-11.437112135590453,25,0.78715,0.0,0,1,0.0
14,471,-126.64068441674675,40,0.76735,0.0,0,1,0.0
15,511,-53.67239055470681,40,0.7475499999999999,0.0,0,1,0.0
16,530,-68.29050887111296,19,0.738145,0.0,0,1,0.0
17,587,-151.14123407387518,57,0.70993,0.0,0,1,0.0
18,610,-91.61799676477801,23,0.698545,0.0,0,1,0.0
19,649,-101.45583352724097,39,0.6792400000000001,0.0,0,1,0.0
20,675,-78.04502863831443,26,0.6663699999999999,0.0,0,1,0.0
21,696,-42.77472597764056,21,0.655975,0.0,0,1,0.0
22,727,-90.67581616533113,31,0.64063,0.0,0,1,0.0
23,744,-53.90948176593878,17,0.632215,0.0,0,1,0.0
24,761,-60.16188394056646,17,0.6238,0.0,0,1,0.0
25,778,-78.02446470758383,17,0.6153850000000001,0.0,0,1,0.0
26,836,-65.55927851196114,58,0.5866750000000001,0.0,0,1,0.0
27,856,-90.35356528632485,20,0.576775,0.0,0,1,0.0
28,881,-71.85425676483817,25,0.5644,0.0,0,1,0.0
29,932,-120.7495317973787,51,0.539155,0.0,0,1,0.0
30,980,-38.82469479503477,48,0.515395,0.0,0,1,0.0
31,1017,-121.84110150150579,37,0.49707999999999997,0.0,0,1,0.0
32,1088,-139.4830508003331,71,0.461935,0.0,0,1,0.0
33,1106,-62.22858534264576,18,0.453025,0.0,0,1,0.0
34,1123,-47.06242400378765,17,0.44460999999999995,0.0,0,1,0.0
35,1163,13.133582217389694,40,0.42481,0.0,0,1,0.0
36,1179,-74.895751857924,16,0.41689,0.0,0,1,0.0
37,1216,-43.98045829041531,37,0.398575,0.0,0,1,0.0
38,1239,-91.21338936285737,23,0.38719000000000003,0.0,0,1,0.0
39,1286,-130.1874073127122,47,0.36392500000000005,0.0,0,1,0.0
40,1338,-99.67168306513736,52,0.33818500000000007,0.0,0,1,0.0
41,1356,-22.852309469944938,18,0.329275,0.0,0,1,0.0
42,1395,-131.58982205060298,39,0.3099700000000001,0.0,0,1,0.0
43,1432,-121.9072615173319,37,0.291655,0.0,0,1,0.0
44,1468,-103.63494031794522,36,0.27383499999999994,0.0,0,1,0.0
45,1486,128.7402430881068,18,0.26492499999999997,0.0,1,0,0.0
46,1517,-83.19084213146303,31,0.24958000000000002,79.66458825504078,0,1,0.0
47,1554,2.3403761732438824,37,0.23126500000000005,87.12180158254263,0,1,0.0
48,1654,-15.021228041119578,100,0.18176499999999995,75.05883171081543,0,0,0.0
49,1754,-14.52150190170346,100,0.13226500000000008,74.37142278671264,0,0,0.0
50,1834,-76.81531811211497,80,0.092665,57.532836413383485,0,1,0.0
51,1851,-57.605442412977204,17,0.08424999999999994,74.97538734884823,0,1,0.0
52,1879,-101.04891925677481,28,0.07039000000000006,62.74484361921038,0,1,0.0
53,1939,-66.31516142277731,60,0.040690000000000004,60.37571703592936,0,1,0.0
54,1952,-26.39647256133945,13,0.034254999999999924,51.02420924260066,0,1,0.0
55,1971,-91.52201615795022,19,0.02485000000000004,60.16578212537264,0,1,0.0
56,1994,-32.99895801793878,23,0.01346499999999995,57.64250415304433,0,1,0.0
57,2023,-81.75751273088524,29,0.010000000000000009,49.107687719937026,0,1,0.0
58,2039,-55.96239584056768,16,0.010000000000000009,44.65342724323273,0,1,0.0
59,2054,-61.251089892812416,15,0.010000000000000009,58.90319671630859,0,1,0.0
60,2068,-68.22907452776862,14,0.010000000000000009,48.53561183384487,0,1,0.0
61,2135,-147.64995824753922,67,0.010000000000000009,49.47783961224912,0,1,0.0
62,2167,-96.26666357590544,32,0.010000000000000009,50.92317491769791,0,1,0.0
63,2181,-75.69971927492381,14,0.010000000000000009,44.16951676777431,0,1,0.0
64,2255,-153.01746913853475,74,0.010000000000000009,43.22761100047344,0,1,0.0
65,2289,-33.922748612545746,34,0.010000000000000009,44.13860545438879,0,1,0.0
66,2307,-77.79652124686868,18,0.010000000000000009,47.52601718902588,0,1,0.0
67,2347,-128.30530292031727,40,0.010000000000000009,40.90791630744934,0,1,0.0
68,2365,-69.79666782944126,18,0.010000000000000009,43.985589769151474,0,1,0.0
69,2379,-79.67281054393871,14,0.010000000000000009,54.743311745779856,0,1,0.0
70,2468,-72.57872094647396,89,0.010000000000000009,43.77941840954041,0,1,0.0
71,2481,-73.24658508679066,13,0.010000000000000009,43.40023480928861,0,1,0.0
72,2566,-91.3662998340132,85,0.010000000000000009,36.88108704510857,0,1,0.0
73,2595,-87.5492633706765,29,0.010000000000000009,30.18245950238458,0,1,0.0
74,2678,-98.70638669155275,83,0.010000000000000009,34.32102878984198,0,1,0.0
75,2692,-78.08616121238656,14,0.010000000000000009,33.71404082434518,0,1,0.0
76,2728,-100.96918897376388,36,0.010000000000000009,32.4133870071835,0,1,0.0
77,2765,-101.72146878106108,37,0.010000000000000009,32.68401924339501,0,1,0.0
78,2781,-30.624832945240385,16,0.010000000000000009,31.339531362056732,0,1,0.0
79,2848,-117.74006374335218,67,0.010000000000000009,31.972314322172707,0,1,0.0
80,2876,-44.83903733362533,28,0.010000000000000009,30.199235234941757,0,1,0.0
81,2892,-83.89700436032643,16,0.010000000000000009,30.24271309375763,0,1,0.0
82,2908,-33.11437040074066,16,0.010000000000000009,26.88895183801651,0,1,0.0
83,2938,-94.59523493856013,30,0.010000000000000009,30.44783115386963,0,1,0.0
84,2965,-52.82039227259616,27,0.010000000000000009,30.660443164684153,0,1,0.0
85,2980,-65.77265090760669,15,0.010000000000000009,26.259444681803384,0,1,0.0
86,2996,-45.10603958186435,16,0.010000000000000009,32.30103349685669,0,1,0.0
87,3043,-37.48913336035828,47,0.010000000000000009,31.686524533210918,0,1,0.0
88,3060,-78.85826940306008,17,0.010000000000000009,29.838128931382123,0,1,0.0
89,3077,-28.375337313859184,17,0.010000000000000009,23.414788021760828,0,1,0.0
90,3099,-50.03502736183036,22,0.010000000000000009,28.099720434709027,0,1,0.0
91,3126,-27.625148103536585,27,0.010000000000000009,30.830635353370948,0,1,0.0
92,3141,-38.49558464324164,15,0.010000000000000009,28.930537287394205,0,1,0.0
93,3157,-79.46294950247687,16,0.010000000000000009,25.98823916912079,0,1,0.0
94,3181,-77.72992188784225,24,0.010000000000000009,30.187058846155804,0,1,0.0
95,3203,-33.39180385568778,22,0.010000000000000009,27.965210134332832,0,1,0.0
96,3227,-42.80478385334407,24,0.010000000000000009,27.649968067804974,0,1,0.0
97,3327,-22.71442448808382,100,0.010000000000000009,26.227647466659548,0,0,0.0
98,3356,-29.812160035708317,29,0.010000000000000009,26.69987310212234,0,1,0.0
99,3456,-12.803838040458924,100,0.010000000000000009,25.4995193195343,0,0,0.0
100,3477,-54.70972966182559,21,0.010000000000000009,18.22860418047224,0,1,0.0
101,3517,-34.49298313922739,40,0.010000000000000009,29.128938055038454,0,1,0.0
102,3551,-18.350236232602338,34,0.010000000000000009,28.92371890124153,0,1,0.0
103,3570,-33.81146917605365,19,0.010000000000000009,23.961717756170977,0,1,0.0
104,3580,116.9354773767155,10,0.010000000000000009,27.17288455963135,1,0,0.0
105,3611,-21.230764928832954,31,0.010000000000000009,23.05148220062256,0,1,0.0
106,3630,-77.91501471265761,19,0.010000000000000009,33.07807500738846,0,1,0.0
107,3671,-19.78062969697401,41,0.010000000000000009,27.60119691709193,0,1,0.0
108,3704,-77.16102486980984,33,0.010000000000000009,26.86300737207586,0,1,0.0
109,3734,-75.3531015319484,30,0.010000000000000009,26.621251010894774,0,1,0.0
110,3803,-77.77322756194039,69,0.010000000000000009,29.432717945264734,0,1,0.0
111,3820,-55.393401212557656,17,0.010000000000000009,25.400139864753275,0,1,0.0
112,3883,184.27339220332343,63,0.010000000000000009,23.375080123780265,1,0,0.0
113,3910,-87.96815628606946,27,0.010000000000000009,28.884063508775498,0,1,0.0
114,3935,-42.400606703259356,25,0.010000000000000009,28.225769424438475,0,1,0.0
115,3997,166.30695152720133,62,0.010000000000000009,24.257035716887444,1,0,0.0
116,4091,-25.70508533663051,94,0.010000000000000009,29.82648893112832,0,1,0.0
117,4128,158.13110856915117,37,0.010000000000000009,30.592634690774453,1,0,0.0
118,4228,11.338411959457533,100,0.010000000000000009,26.0817972946167,0,0,0.0
119,4286,175.2777618407066,58,0.010000000000000009,26.457666134012157,1,0,0.0
120,4308,-49.18494431962621,22,0.010000000000000009,32.87687912854281,0,1,0.0
121,4332,-32.90928212006544,24,0.010000000000000009,27.31960638364156,0,1,0.0
122,4405,-27.816693883109693,73,0.010000000000000009,28.35763868567062,0,1,0.0
123,4468,143.0359861112889,63,0.010000000000000009,23.127721090165394,1,0,0.0
124,4490,-31.23165386071816,22,0.010000000000000009,30.90147239511663,0,1,0.0
125,4590,53.716912314392275,100,0.010000000000000009,32.17952585220337,0,0,0.0
126,4690,31.8705442058487,100,0.010000000000000009,33.907522897720334,0,0,0.0
127,4709,-18.652427125814604,19,0.010000000000000009,25.275436150400264,0,1,0.0
128,4753,158.07709935617063,44,0.010000000000000009,29.74667729030956,1,0,0.0
129,4811,175.0655721889798,58,0.010000000000000009,32.8037937098536,1,0,0.0
130,4863,154.6735867204349,52,0.010000000000000009,32.97489993388836,1,0,0.0
131,4913,166.43731335800626,50,0.010000000000000009,38.291890392303465,1,0,0.0
132,4967,171.33172325686647,54,0.010000000000000009,34.25067006217109,1,0,0.0
133,4986,129.9898042862849,19,0.010000000000000009,34.885441629510176,1,0,0.0
134,5086,10.421385481264027,100,0.010000000000000009,42.57710701942444,0,0,0.0
135,5139,181.9696497231173,53,0.010000000000000009,37.59703600181724,1,0,0.0
136,5159,-23.397534775363486,20,0.010000000000000009,39.09052324295044,0,1,0.0
137,5196,173.20718157018376,37,0.010000000000000009,38.81389922064704,1,0,0.0
138,5218,-13.916565590603291,22,0.010000000000000009,36.218007044358686,0,1,0.0
139,5297,124.61983772610532,79,0.010000000000000009,45.08811844451518,1,0,0.0
140,5345,143.7779959609041,48,0.010000000000000009,37.06139310201009,1,0,0.0
141,5387,173.10118254190652,42,0.010000000000000009,42.895550500778924,1,0,0.0
142,5424,160.20320635446538,37,0.010000000000000009,49.49585502212112,1,0,0.0
143,5444,-31.988664319977058,20,0.010000000000000009,46.12735805511475,0,1,0.0
144,5466,137.05334898228637,22,0.010000000000000009,42.008390166542746,1,0,0.0
145,5495,144.93256012922075,29,0.010000000000000009,42.514270354961525,1,0,0.0
146,5529,-11.642339852981799,34,0.010000000000000009,69.49129845114315,0,1,0.0
147,5568,166.323711456117,39,0.010000000000000009,46.90784219595102,1,0,0.0
148,5591,-7.9824931555201815,23,0.010000000000000009,50.35541302224864,0,1,0.0
149,5632,156.6053756175314,41,0.010000000000000009,54.46247831205042,1,0,0.0
150,5661,-20.357661407412568,29,0.010000000000000009,49.06710920662716,0,1,0.0
151,5703,160.43647066637243,42,0.010000000000000009,48.56890882764544,1,0,0.0
152,5746,164.248924447347,43,0.010000000000000009,54.104938950649526,1,0,0.0
