Episode,Total_Steps,Reward,Ep_Steps,Epsilon,Avg_Loss,Success,Collision
1,42,-62.095722512758414,42,0.979705,0.0,0,1
2,58,-75.37118845079361,16,0.971785,0.0,0,1
3,78,-34.08235026520026,20,0.961885,0.0,0,1
4,105,-33.94750811583327,27,0.94852,0.0,0,1
5,123,-74.13437264047964,18,0.9396100000000001,0.0,0,1
6,141,-55.205838414579574,18,0.9307,0.0,0,1
7,159,-44.88900728828463,18,0.92179,0.0,0,1
8,178,-52.53401640858168,19,0.912385,0.0,0,1
9,199,-86.55206931402337,21,0.90199,0.0,0,1
10,216,-78.78229463241239,17,0.893575,0.0,0,1
11,235,-74.04799077033245,19,0.88417,0.0,0,1
12,281,-108.60774634467066,46,0.8613999999999999,0.0,0,1
13,300,-58.9379782904176,19,0.8519950000000001,0.0,0,1
14,317,-36.198886650098636,17,0.84358,0.0,0,1
15,356,-41.82693905894048,39,0.824275,0.0,0,1
16,397,-70.65828054252705,41,0.80398,0.0,0,1
17,414,-72.65013484298761,17,0.7955650000000001,0.0,0,1
18,434,-76.98646190359719,20,0.7856650000000001,0.0,0,1
19,462,-90.59603707785284,28,0.771805,0.0,0,1
20,478,-75.58171361280587,16,0.763885,0.0,0,1
21,494,-28.334735128902814,16,0.755965,0.0,0,1
22,517,-95.27723019376688,23,0.74458,0.0,0,1
23,556,151.92138358524795,39,0.725275,0.0,1,0
24,604,-84.23682347766928,48,0.701515,0.0,0,1
25,621,-70.2041515111184,17,0.6931,0.0,0,1
26,643,-22.545224714351917,22,0.68221,0.0,0,1
27,677,-85.98630345475469,34,0.66538,0.0,0,1
28,695,-78.45130709307537,18,0.6564700000000001,0.0,0,1
29,727,-102.38612677041459,32,0.64063,0.0,0,1
30,744,-41.817919028145184,17,0.632215,0.0,0,1
31,761,-31.864132328761915,17,0.6238,0.0,0,1
32,811,-148.35760646321597,50,0.59905,0.0,0,1
33,851,-82.18971430295157,40,0.57925,0.0,0,1
34,868,-47.34124963418804,17,0.570835,0.0,0,1
35,905,-18.91407467297472,37,0.55252,0.0,0,1
36,959,-153.51846941693543,54,0.52579,0.0,0,1
37,997,-27.632728475183466,38,0.50698,0.0,0,1
38,1087,-118.78522541305257,90,0.46243,0.0,0,1
39,1102,-61.070605708496274,15,0.455005,0.0,0,1
40,1119,-53.696336230426795,17,0.44658999999999993,0.0,0,1
41,1163,-143.91825499489835,44,0.42481,0.0,0,1
42,1178,-70.93630279548032,15,0.417385,0.0,0,1
43,1214,-47.86660777497709,36,0.39956499999999995,0.0,0,1
44,1252,-26.44603710441626,38,0.38075500000000007,0.0,0,1
45,1271,126.14978518251883,19,0.37134999999999996,0.0,1,0
46,1292,-43.96439605438024,21,0.360955,0.0,0,1
47,1337,-18.057336666802534,45,0.33868,0.0,0,1
48,1352,-51.32850560120722,15,0.33125499999999997,0.0,0,1
49,1395,-135.7470358614525,43,0.3099700000000001,0.0,0,1
50,1430,-8.958381799032587,35,0.29264499999999993,0.0,0,1
51,1466,-26.02431601376535,36,0.274825,0.0,0,1
52,1501,-9.136657089333916,35,0.25750000000000006,111.88276672363281,0,1
53,1530,-115.78716796775592,29,0.24314500000000006,98.15233730447703,0,1
54,1571,-62.57470125607719,41,0.22285,94.73656472927186,0,1
55,1595,-33.030892469071865,24,0.21097,95.72806580861409,0,1
56,1623,-4.255260080123307,28,0.19711,97.22299548557827,0,1
57,1639,-72.08115710133629,16,0.18919000000000008,101.10527634620667,0,1
58,1681,-99.03694509566091,42,0.1684,100.29078122547695,0,1
59,1710,-32.162648617439984,29,0.154045,88.90655977972622,0,1
60,1755,-36.92100815618246,45,0.13177000000000005,83.35017064412435,0,1
61,1783,-123.00144375810002,28,0.11790999999999996,81.01641150883266,0,1
62,1812,-7.947568533171925,29,0.10355500000000006,77.3854804203428,0,1
