Episode,Total_Steps,Reward,Ep_Steps,Epsilon,Avg_Loss,Success,Collision,Consistency
1,68,-23.435862745642083,68,0.966835,0.0,0,1,0.0
2,124,-83.38641233855404,56,0.939115,0.0,0,1,0.0
3,153,-78.96603439969707,29,0.92476,0.0,0,1,0.0
4,169,-44.227889406726376,16,0.91684,0.0,0,1,0.0
5,226,-118.46151616333786,57,0.888625,0.0,0,1,0.0
6,292,-73.88397581791341,66,0.855955,0.0,0,1,0.0
7,316,129.63779820669572,24,0.844075,0.0,1,0,0.0
8,359,-20.977796788802454,43,0.82279,0.0,0,1,0.0
9,402,-110.06493216925759,43,0.801505,0.0,0,1,0.0
10,418,-62.052500913740154,16,0.793585,0.0,0,1,0.0
11,460,-95.56369284444918,42,0.772795,0.0,0,1,0.0
12,475,-72.09144078896439,15,0.76537,0.0,0,1,0.0
13,495,-85.76776041222872,20,0.75547,0.0,0,1,0.0
14,565,-29.87234187419584,70,0.72082,0.0,0,1,0.0
15,608,-18.474408085978432,43,0.699535,0.0,0,1,0.0
16,630,-42.19293082479169,22,0.688645,0.0,0,1,0.0
17,730,-42.72160016994503,100,0.6391450000000001,0.0,0,0,0.0
18,746,-79.7357341125002,16,0.6312249999999999,0.0,0,1,0.0
19,787,-101.53346547972967,41,0.61093,0.0,0,1,0.0
20,829,-128.18488662012885,42,0.59014,0.0,0,1,0.0
21,887,-147.7799655839842,58,0.56143,0.0,0,1,0.0
22,966,-165.01289567569597,79,0.522325,0.0,0,1,0.0
23,989,-93.25476820547468,23,0.51094,0.0,0,1,0.0
24,1026,-41.18481787957289,37,0.4926250000000001,0.0,0,1,0.0
25,1042,-78.2092664780087,16,0.48470500000000005,0.0,0,1,0.0
26,1099,-101.8576614489369,57,0.45648999999999995,0.0,0,1,0.0
27,1126,-100.23627294656416,27,0.443125,0.0,0,1,0.0
28,1164,-106.63836497409378,38,0.424315,0.0,0,1,0.0
29,1183,-83.3784769805986,19,0.41491,0.0,0,1,0.0
30,1221,-81.6551975372025,38,0.3961,0.0,0,1,0.0
31,1237,-65.77264739947462,16,0.38817999999999997,0.0,0,1,0.0
32,1288,-148.0742174778212,51,0.362935,0.0,0,1,0.0
33,1335,-57.152009364596715,47,0.3396699999999999,0.0,0,1,0.0
34,1352,-48.81217276449798,17,0.33125499999999997,0.0,0,1,0.0
35,1369,-24.370766773491763,17,0.3228399999999999,0.0,0,1,0.0
36,1406,-126.25176397681192,37,0.30452500000000005,0.0,0,1,0.0
37,1452,-75.37551280100539,46,0.281755,0.0,0,1,0.0
38,1498,-146.4101378123583,46,0.2589849999999999,0.0,0,1,0.0
39,1514,-123.02272743912835,16,0.2510650000000001,65.08891201019287,0,1,0.0
40,1541,-61.095126544237644,27,0.23770000000000002,76.37637632864492,0,1,0.0
41,1571,-70.77149257072132,30,0.22285,79.1086327234904,0,1,0.0
42,1671,-31.6652381645056,100,0.17335,67.04111148834228,0,0,0.0
43,1771,-22.154894250151727,100,0.12385000000000002,61.42563163757324,0,0,0.0
44,1803,-78.13629304247648,32,0.10800999999999994,52.67472440004349,0,1,0.0
45,1821,-25.3005410151713,18,0.09909999999999997,46.78041919072469,0,1,0.0
46,1835,-67.75229599237775,14,0.09216999999999997,52.82112298692976,0,1,0.0
47,1856,-49.445025210193144,21,0.08177500000000004,49.13296853928339,0,1,0.0
48,1872,-76.36859206412767,16,0.073855,62.08423590660095,0,1,0.0
49,1922,-34.7564052312739,50,0.049104999999999954,55.89255657196045,0,1,0.0
50,1966,-79.8534225764277,44,0.027324999999999933,54.95377746495333,0,1,0.0
51,2015,-92.05244237814621,49,0.010000000000000009,52.30946863914023,0,1,0.0
52,2084,-73.61420816521313,69,0.010000000000000009,51.439594241156094,0,1,0.0
53,2096,-74.36994135440034,12,0.010000000000000009,43.48881483078003,0,1,0.0
54,2119,-51.122827434702806,23,0.010000000000000009,52.1418982796047,0,1,0.0
55,2137,-45.58688119652,18,0.010000000000000009,53.24590555826823,0,1,0.0
56,2237,-18.883310146325076,100,0.010000000000000009,46.74321537017822,0,0,0.0
57,2337,-20.222611573548726,100,0.010000000000000009,46.45275641441345,0,0,0.0
58,2402,-85.47445457322809,65,0.010000000000000009,42.70008895580585,0,1,0.0
59,2502,-62.482111063904064,100,0.010000000000000009,40.09513237953186,0,0,0.0
60,2537,-19.809870759113828,35,0.010000000000000009,33.97374518258231,0,1,0.0
61,2591,-57.409910419884966,54,0.010000000000000009,36.51473197230586,0,1,0.0
62,2691,-14.342860273049258,100,0.010000000000000009,31.710701847076415,0,0,0.0
63,2736,-41.172995231598165,45,0.010000000000000009,34.77842962476942,0,1,0.0
64,2755,-64.71672129432757,19,0.010000000000000009,29.428143953022204,0,1,0.0
65,2790,-83.87421974493598,35,0.010000000000000009,30.71644605909075,0,1,0.0
66,2812,-54.7231873304152,22,0.010000000000000009,38.95636636560614,0,1,0.0
67,2830,-63.15935370915159,18,0.010000000000000009,31.904156578911675,0,1,0.0
68,2845,-79.72411030073933,15,0.010000000000000009,34.96495196024577,0,1,0.0
69,2863,-89.11176279100445,18,0.010000000000000009,27.73839086956448,0,1,0.0
70,2907,-81.66728087603653,44,0.010000000000000009,30.696128541773017,0,1,0.0
71,3005,-57.62552906836266,98,0.010000000000000009,28.347131359333893,0,1,0.0
72,3027,-86.47533197665149,22,0.010000000000000009,24.50254739414562,0,1,0.0
73,3089,-148.65905776401064,62,0.010000000000000009,25.27305341535999,0,1,0.0
74,3108,-76.43102967578352,19,0.010000000000000009,28.574287665517705,0,1,0.0
75,3123,-74.25407913213687,15,0.010000000000000009,29.581805674235024,0,1,0.0
76,3145,-14.965297258562117,22,0.010000000000000009,28.439795884219084,0,1,0.0
77,3165,-91.57584372309222,20,0.010000000000000009,30.190390586853027,0,1,0.0
78,3187,-69.79248934978928,22,0.010000000000000009,34.41680752147328,0,1,0.0
79,3202,-47.71403649064044,15,0.010000000000000009,27.030800565083823,0,1,0.0
80,3238,-125.61677541018355,36,0.010000000000000009,30.0002630021837,0,1,0.0
81,3255,-83.36762560123893,17,0.010000000000000009,23.45820914997774,0,1,0.0
82,3311,-95.89956062909471,56,0.010000000000000009,25.40580815928323,0,1,0.0
83,3369,-128.32510982994984,58,0.010000000000000009,23.906629545935267,0,1,0.0
