Episode,Total_Steps,Reward,Ep_Steps,Epsilon,Avg_Loss,Success,Collision,Consistency
1,31,173.08359985766143,31,0.0,0.0,1,0,0.0
2,53,-8.303779724534223,22,0.0,0.0,0,1,0.0
3,82,207.846194095081,29,0.0,0.0,1,0,0.0
4,106,188.19606743906917,24,0.0,0.0,1,0,0.0
5,136,194.98594090142507,30,0.0,0.0,1,0,0.0
6,151,-1.4168468094418216,15,0.0,0.0,0,1,0.0
7,169,165.9553811770042,18,0.0,0.0,1,0,0.0
8,184,-1.8263723046735123,15,0.0,0.0,0,1,0.0
9,210,21.24997525107173,26,0.0,0.0,0,1,0.0
10,231,-3.092679280579425,21,0.0,0.0,0,1,0.0
11,255,-3.8563068971536794,24,0.0,0.0,0,1,0.0
12,279,139.1836118209165,24,0.0,0.0,1,0,0.0
13,301,3.64924308165363,22,0.0,0.0,0,1,0.0
14,330,206.4572601053498,29,0.0,0.0,1,0,0.0
15,345,-4.328477867735806,15,0.0,0.0,0,1,0.0
16,371,190.63000769521312,26,0.0,0.0,1,0,0.0
17,403,205.28290090825732,32,0.0,0.0,1,0,0.0
18,424,-7.259906173072125,21,0.0,0.0,0,1,0.0
19,453,198.50656156156458,29,0.0,0.0,1,0,0.0
20,475,-6.455333263352074,22,0.0,0.0,0,1,0.0
21,498,164.53575009825744,23,0.0,0.0,1,0,0.0
22,525,19.014507225007506,27,0.0,0.0,0,1,0.0
23,563,198.26361665446197,38,0.0,0.0,1,0,0.0
24,585,4.603387658779177,22,0.0,0.0,0,1,0.0
25,604,157.45180144728363,19,0.0,0.0,1,0,0.0
26,620,-1.2586760549262195,16,0.0,0.0,0,1,0.0
27,665,237.68798804150651,45,0.0,0.0,1,0,0.0
28,708,251.76721721519507,43,0.0,0.0,1,0,0.0
29,730,6.400585603454196,22,0.0,0.0,0,1,0.0
30,744,-3.6004592448268653,14,0.0,0.0,0,1,0.0
31,765,-5.194455057448849,21,0.0,0.0,0,1,0.0
32,796,181.53949523969726,31,0.0,0.0,1,0,0.0
33,817,23.228584386923814,21,0.0,0.0,0,1,0.0
34,860,247.3267769668738,43,0.0,0.0,1,0,0.0
35,875,0.22025245966955254,15,0.0,0.0,0,1,0.0
36,912,197.2727586202709,37,0.0,0.0,1,0,0.0
37,927,-1.9899376685918355,15,0.0,0.0,0,1,0.0
38,966,205.24055122548774,39,0.0,0.0,1,0,0.0
39,987,-2.702600939443954,21,0.0,0.0,0,1,0.0
40,1003,-0.5713520531543779,16,0.0,0.0,0,1,0.0
41,1036,187.41708344439198,33,0.0,0.0,1,0,0.0
42,1071,196.4894656329139,35,0.0,0.0,1,0,0.0
43,1087,3.110922346502626,16,0.0,0.0,0,1,0.0
44,1111,188.35286991612338,24,0.0,0.0,1,0,0.0
45,1128,163.85474727305802,17,0.0,0.0,1,0,0.0
46,1156,200.06480930233323,28,0.0,0.0,1,0,0.0
47,1170,-3.508269314860833,14,0.0,0.0,0,1,0.0
48,1205,214.53197389346835,35,0.0,0.0,1,0,0.0
49,1229,13.795852215049607,24,0.0,0.0,0,1,0.0
50,1262,229.8962562526744,33,0.0,0.0,1,0,0.0
51,1278,-0.33650918136960684,16,0.01,0.0,0,1,0.0625
52,1303,7.407648554260561,25,0.01,0.0,0,1,0.24
53,1322,152.10814941718638,19,0.01,0.0,1,0,0.5789473684210527
54,1337,0.8563593203533557,15,0.01,0.0,0,1,0.0
55,1378,224.3342526835458,41,0.01,0.0,1,0,0.5365853658536586
56,1416,247.35560037081373,38,0.01,0.0,1,0,0.7631578947368421
57,1440,5.737169890156757,24,0.01,0.0,0,1,0.041666666666666664
58,1456,1.6657098397876169,16,0.01,0.0,0,1,0.06666666666666667
59,1485,202.57693939374866,29,0.01,0.0,1,0,0.6896551724137931
60,1502,5.506920681899331,17,0.01,220.29246175289154,0,1,0.5625
61,1525,208.9467795313336,23,0.01,246.27896143301675,1,0,0.8695652173913043
62,1548,219.07472028900327,23,0.01,250.0742087467857,1,0,0.9545454545454546
63,1565,-6.7964609333969435,17,0.01,254.37598959137412,0,1,0.1875
64,1577,-2.7527606078459783,12,0.01,252.72224923968315,0,1,0.8333333333333334
