Episode,Total_Steps,Reward,Ep_Steps,Epsilon,Avg_Loss,Success,Collision,Consistency
1,14,-0.5662965824478485,14,0.0,0.0,0,1,0.0
2,30,17.48803416237493,16,0.0,0.0,1,0,0.0
3,58,22.30105744680661,28,0.0,0.0,1,0,0.0
4,76,-0.8882686079477029,18,0.0,0.0,0,1,0.0
5,98,19.722891117421455,22,0.0,0.0,1,0,0.0
6,115,-1.1863663221286358,17,0.0,0.0,0,1,0.0
7,127,-0.2182803995638487,12,0.0,0.0,0,1,0.0
8,146,1.0260270034091805,19,0.0,0.0,0,1,0.0
9,176,7.19745826766462,30,0.0,0.0,0,1,0.0
10,190,1.0334315419227718,14,0.0,0.0,0,1,0.0
11,215,21.033337058032266,25,0.0,0.0,1,0,0.0
12,240,15.714870348345553,25,0.0,0.0,1,0,0.0
13,254,14.686235290235551,14,0.0,0.0,1,0,0.0
14,286,18.256347176537094,32,0.0,0.0,1,0,0.0
15,307,-0.32403635045144163,21,0.0,0.0,0,1,0.0
16,329,18.479434432953454,22,0.0,0.0,1,0,0.0
17,342,-0.8751094657776353,13,0.0,0.0,0,1,0.0
18,356,14.797639761906098,14,0.0,0.0,1,0,0.0
19,371,-0.3249547488020861,15,0.0,0.0,0,1,0.0
20,390,16.76817908987565,19,0.0,0.0,1,0,0.0
21,417,2.9583251224785094,27,0.0,0.0,0,1,0.0
22,439,2.061200065748854,22,0.0,0.0,0,1,0.0
23,453,-0.633310709961048,14,0.0,0.0,0,1,0.0
24,468,13.787494893499103,15,0.0,0.0,1,0,0.0
25,500,23.569875582799607,32,0.0,0.0,1,0,0.0
26,512,15.1278771595743,12,0.0,0.0,1,0,0.0
27,529,1.033593967605051,17,0.0,0.0,0,1,0.0
28,550,18.272686095849465,21,0.0,0.0,1,0,0.0
29,589,23.452302763952602,39,0.0,0.0,1,0,0.0
30,604,1.2136986023617578,15,0.0,0.0,0,1,0.0
31,615,12.80846101837999,11,0.0,0.0,1,0,0.0
32,630,0.9238542279696267,15,0.0,0.0,0,1,0.0
33,642,0.31687251681092476,12,0.0,0.0,0,1,0.0
34,665,16.88362296855056,23,0.0,0.0,1,0,0.0
35,687,19.29878680177817,22,0.0,0.0,1,0,0.0
36,706,0.45099947624834336,19,0.0,0.0,0,1,0.0
37,722,1.0888744683649856,16,0.0,0.0,0,1,0.0
38,740,-0.7761121106637354,18,0.0,0.0,0,1,0.0
39,752,0.28120338525976685,12,0.0,0.0,0,1,0.0
40,775,1.3458321840188292,23,0.0,0.0,0,1,0.0
41,790,-0.5787792335945205,15,0.0,0.0,0,1,0.0
42,821,19.804806986549046,31,0.0,0.0,1,0,0.0
43,841,0.21421260855591484,20,0.0,0.0,0,1,0.0
44,869,16.902731463769328,28,0.0,0.0,1,0,0.0
45,887,-0.30161011597306064,18,0.0,0.0,0,1,0.0
46,924,23.122561955469134,37,0.0,0.0,1,0,0.0
47,942,-0.8070199864242218,18,0.0,0.0,0,1,0.0
48,967,3.8664182716028535,25,0.0,0.0,0,1,0.0
49,997,7.9874864140424915,30,0.0,0.0,0,1,0.0
50,1011,12.715565933645422,14,0.0,0.0,1,0,0.0
51,1032,2.708528006590978,21,0.01,0.0,0,1,0.38095238095238093
52,1057,18.10438375049666,25,0.01,0.0,1,0,0.56
53,1075,0.902057213317728,18,0.01,0.0,0,1,0.3888888888888889
54,1088,-0.3024962413380434,13,0.01,0.0,0,1,0.6153846153846154
55,1114,22.2966974570787,26,0.01,0.0,1,0,0.23076923076923078
