Episode,Total_Steps,Reward,Ep_Steps,Epsilon,Avg_Loss,Success,Collision,Consistency
1,20,-5.082873288248295,20,0.990595,0.0,0,1,0.0
2,48,-12.754853198872821,28,0.976735,0.0,0,1,0.0
3,80,-18.34337196696317,32,0.960895,0.0,0,1,0.0
4,132,-3.0249406819138134,52,0.935155,0.0,0,1,0.0
5,161,-9.490525080796875,29,0.9208,0.0,0,1,0.0
6,261,-12.692396955626242,100,0.8713,0.0,0,0,0.0
7,343,-23.029945725246897,82,0.83071,0.0,0,1,0.0
8,406,-22.46598877629794,63,0.799525,0.0,0,1,0.0
9,430,-7.855514094810802,24,0.787645,0.0,0,1,0.0
10,495,-24.08208580080824,65,0.75547,0.0,0,1,0.0
11,516,-10.613715526252545,21,0.7450749999999999,0.0,0,1,0.0
12,547,-10.844309790552671,31,0.72973,0.0,0,1,0.0
13,571,-4.758119616468562,24,0.7178500000000001,0.0,0,1,0.0
14,624,-22.872044274113442,53,0.691615,0.0,0,1,0.0
15,652,-8.642118924336668,28,0.677755,0.0,0,1,0.0
16,671,-14.646561237022519,19,0.66835,0.0,0,1,0.0
17,765,-1.2649230863843197,94,0.62182,0.0,0,1,0.0
18,837,-29.63120840241147,72,0.58618,0.0,0,1,0.0
19,874,-16.49927073240833,37,0.5678650000000001,0.0,0,1,0.0
20,898,-4.7490400196219,24,0.555985,0.0,0,1,0.0
21,970,-31.506936580282417,72,0.5203450000000001,0.0,0,1,0.0
22,993,-12.121392824018018,23,0.5089600000000001,0.0,0,1,0.0
23,1022,-11.34342488750381,29,0.4946050000000001,0.0,0,1,0.0
24,1041,-15.505119858233755,19,0.48519999999999996,0.0,0,1,0.0
25,1070,-16.992036196276473,29,0.47084500000000007,0.0,0,1,0.0
26,1138,-24.980584411128284,68,0.43718500000000005,0.0,0,1,0.0
27,1187,-11.826033672071889,49,0.41293,0.0,0,1,0.0
28,1249,-0.001852268166864235,62,0.38224,0.0,0,1,0.0
29,1299,-19.67258544840078,50,0.35749,0.0,0,1,0.0
30,1393,-9.264463474086234,94,0.31096,0.0,0,1,0.0
31,1416,-12.39452582615801,23,0.29957500000000004,0.0,0,1,0.0
32,1467,-6.43499534027955,51,0.2743300000000001,0.0,0,1,0.0
33,1506,-18.416903224125583,39,0.25502500000000006,1.8616119623184204,0,1,0.0
34,1606,-3.28331204776247,100,0.20552500000000007,2.090458326339722,0,0,0.0
35,1672,-18.517343357701378,66,0.17285499999999998,1.9312636843233397,0,1,0.0
36,1701,-18.537142165212934,29,0.15849999999999997,1.7175012621386299,0,1,0.0
37,1796,-14.681078664405048,95,0.11147499999999999,1.711590143410783,0,1,0.0
38,1896,-4.164284757624204,100,0.061975,1.5212830412387848,0,0,0.0
39,1996,-3.3128556986383995,100,0.012474999999999903,1.5040565311908722,0,0,0.0
40,2063,-16.22314894271654,67,0.010000000000000009,1.1019493025630267,0,1,0.0
41,2104,-14.948641162922808,41,0.010000000000000009,1.066899811349264,0,1,0.0
42,2193,-13.146019010034436,89,0.010000000000000009,0.951193514834629,0,1,0.0
43,2235,-15.72897629313104,42,0.010000000000000009,0.9777660760141554,0,1,0.0
44,2257,-15.92696954408516,22,0.010000000000000009,1.0356091423468157,0,1,0.0
45,2276,-10.643187525005176,19,0.010000000000000009,1.0083851390763332,0,1,0.0
46,2353,-14.75504620524623,77,0.010000000000000009,0.9664730205164327,0,1,0.0
47,2375,-13.310336811310748,22,0.010000000000000009,0.949216368523511,0,1,0.0
48,2400,-16.54804732803736,25,0.010000000000000009,0.9631999981403351,0,1,0.0
49,2454,-15.266445693731278,54,0.010000000000000009,1.0876947012212541,0,1,0.0
50,2493,-16.925788796617322,39,0.010000000000000009,0.9667585484492474,0,1,0.0
51,2513,14.070346926289984,20,0.010000000000000009,0.9324829906225205,1,0,0.0
52,2558,-8.981654799050814,45,0.010000000000000009,0.761411644352807,0,1,0.0
53,2643,-11.727692297656073,85,0.010000000000000009,0.8164324406315299,0,1,0.0
54,2724,-6.486422870929335,81,0.010000000000000009,0.7673129448552191,0,1,0.0
55,2792,-15.285359426090885,68,0.010000000000000009,0.7295031391960733,0,1,0.0
56,2853,-10.68117541740696,61,0.010000000000000009,0.7476430916395344,0,1,0.0
57,2882,-15.542287899092672,29,0.010000000000000009,0.8652354468559397,0,1,0.0
58,2905,-7.639519903588548,23,0.010000000000000009,0.7048066984052244,0,1,0.0
59,2966,-18.047579987045545,61,0.010000000000000009,0.7822734498586811,0,1,0.0
60,2993,-11.542588979009416,27,0.010000000000000009,0.5921076856277607,0,1,0.0
61,3064,-15.098420774790744,71,0.010000000000000009,0.7139787648765135,0,1,0.0
62,3150,-15.625280793069983,86,0.010000000000000009,0.6886434889463491,0,1,0.0
63,3185,-15.71615319541193,35,0.010000000000000009,0.6365542083978653,0,1,0.0
64,3245,-19.424502068564493,60,0.010000000000000009,0.700067616502444,0,1,0.0
65,3290,-13.94545329080869,45,0.010000000000000009,0.6443928980165058,0,1,0.0
66,3372,-8.551155517262547,82,0.010000000000000009,0.6711844024134845,0,1,0.0
67,3400,-15.712048072005771,28,0.010000000000000009,0.6865130583090442,0,1,0.0
68,3478,-14.148970253204965,78,0.010000000000000009,0.6273264365318494,0,1,0.0
69,3578,-1.0787379924941591,100,0.010000000000000009,0.6228582334518432,0,0,0.0
70,3674,-17.000040266239054,96,0.010000000000000009,0.595062591911604,0,1,0.0
71,3760,-26.2863903018557,86,0.010000000000000009,0.5084771321609963,0,1,0.0
72,3819,-15.533016565922896,59,0.010000000000000009,0.5139920726671057,0,1,0.0
73,3848,-11.718277740416472,29,0.010000000000000009,0.520659519166782,0,1,0.0
74,3918,-11.566288232242014,70,0.010000000000000009,0.5041052196707044,0,1,0.0
75,3949,-16.80511722072878,31,0.010000000000000009,0.4908948060004942,0,1,0.0
76,4049,-10.469928634906278,100,0.010000000000000009,0.5633219397068023,0,0,0.0
77,4145,-5.479890302453937,96,0.010000000000000009,0.47628380296130973,0,1,0.0
78,4211,-15.83944648735016,66,0.010000000000000009,0.53459992485516,0,1,0.0
79,4284,-14.280608506307573,73,0.010000000000000009,0.5054276887684652,0,1,0.0
80,4352,15.4612464814674,68,0.010000000000000009,0.5055195351733881,1,0,0.0
81,4452,-0.7072374763176565,100,0.010000000000000009,0.4672320391237736,0,0,0.0
82,4473,-10.657810220015506,21,0.010000000000000009,0.48639136127063204,0,1,0.0
83,4513,-8.795774292683156,40,0.010000000000000009,0.4986735925078392,0,1,0.0
84,4613,-4.175020673500456,100,0.010000000000000009,0.5672455048561096,0,0,0.0
85,4658,-10.940128968406842,45,0.010000000000000009,0.5255584677060445,0,1,0.0
86,4758,-3.3415704111049926,100,0.010000000000000009,0.46719256415963173,0,0,0.0
87,4858,-4.8730803683681225,100,0.010000000000000009,0.47327740997076034,0,0,0.0
88,4945,-14.388148079696798,87,0.010000000000000009,0.44855821766387455,0,1,0.0
89,5045,1.5964320221538035,100,0.010000000000000009,0.5367464250326157,0,0,0.0
90,5100,-13.061197965097234,55,0.010000000000000009,0.5380941764874891,0,1,0.0
91,5200,1.3026036136443842,100,0.010000000000000009,0.5273653846979142,0,0,0.0
92,5293,15.187656719080032,93,0.010000000000000009,0.49199101777486903,1,0,0.0
93,5393,-1.752006507066568,100,0.010000000000000009,0.5006446108222008,0,0,0.0
94,5493,0.2662529274821459,100,0.010000000000000009,0.49439392864704135,0,0,0.0
95,5593,0.15317106632066535,100,0.010000000000000009,0.5291486161947251,0,0,0.0
96,5693,0.9931760955130171,100,0.010000000000000009,0.5026478427648544,0,0,0.0
97,5793,-0.8597163415532583,100,0.010000000000000009,0.5303380024433136,0,0,0.0
98,5824,-5.838442390450616,31,0.010000000000000009,0.5421207239550929,0,1,0.0
99,5924,-2.703611434065196,100,0.010000000000000009,0.5009215348958969,0,0,0.0
100,6024,-0.7198259705133424,100,0.010000000000000009,0.5020846788585186,0,0,0.0
101,6124,3.7855319882461074,100,0.010000000000000009,0.5405023738741874,0,0,0.0
102,6220,-0.30225173907231806,96,0.010000000000000009,0.492561929859221,0,1,0.0
103,6272,13.856823915360621,52,0.010000000000000009,0.5230965746136812,1,0,0.0
104,6372,1.6037161524758834,100,0.010000000000000009,0.5203897449374199,0,0,0.0
105,6447,20.47428679029902,75,0.010000000000000009,0.49728491524855295,1,0,0.0
106,6502,-3.321499088094826,55,0.010000000000000009,0.5951971834356135,0,1,0.0
