Episode,Total_Steps,Reward,Ep_Steps,Epsilon,Avg_Loss,Success,Collision,Consistency
1,19,-4.724126067402896,19,0.0,0.0,0,1,0.0
2,74,22.652513163743066,55,0.0,0.0,1,0,0.0
3,93,-5.379058054808287,19,0.0,0.0,0,1,0.0
4,116,-4.075877250984294,23,0.0,0.0,0,1,0.0
5,146,18.131871539099713,30,0.0,0.0,1,0,0.0
6,167,-5.192189886629034,21,0.0,0.0,0,1,0.0
7,203,-2.699372006536829,36,0.0,0.0,0,1,0.0
8,236,-4.097310422847845,33,0.0,0.0,0,1,0.0
9,254,-5.239320837225869,18,0.0,0.0,0,1,0.0
10,285,18.42856125386944,31,0.0,0.0,1,0,0.0
11,314,-6.574269424492565,29,0.0,0.0,0,1,0.0
12,347,19.073951991286435,33,0.0,0.0,1,0,0.0
13,382,-4.299439872751343,35,0.0,0.0,0,1,0.0
14,431,21.164521959771385,49,0.0,0.0,1,0,0.0
15,450,-5.603099932963845,19,0.0,0.0,0,1,0.0
16,483,-4.934035706730067,33,0.0,0.0,0,1,0.0
17,517,-4.47275532540854,34,0.0,0.0,0,1,0.0
18,551,-5.092559920026559,34,0.0,0.0,0,1,0.0
19,572,-4.073849966123023,21,0.0,0.0,0,1,0.0
20,605,19.893060567069014,33,0.0,0.0,1,0,0.0
21,640,-6.498234220204151,35,0.0,0.0,0,1,0.0
22,674,-4.797543024403317,34,0.0,0.0,0,1,0.0
23,719,19.96199609373378,45,0.0,0.0,1,0,0.0
24,771,21.468736841575762,52,0.0,0.0,1,0,0.0
25,792,-4.1361011630610935,21,0.0,0.0,0,1,0.0
26,810,-5.228397010135788,18,0.0,0.0,0,1,0.0
27,843,-6.41560801881491,33,0.0,0.0,0,1,0.0
28,892,23.40201370695461,49,0.0,0.0,1,0,0.0
29,909,-5.4334660288896846,17,0.0,0.0,0,1,0.0
30,943,18.615486814978624,34,0.0,0.0,1,0,0.0
31,978,-3.941646076201894,35,0.0,0.0,0,1,0.0
32,1015,-3.4081718471516043,37,0.0,0.0,0,1,0.0
33,1047,-6.250136695790037,32,0.0,0.0,0,1,0.0
34,1066,-5.27547601120107,19,0.0,0.0,0,1,0.0
35,1089,-3.5772363537556853,23,0.0,0.0,0,1,0.0
36,1146,23.810061996891406,57,0.0,0.0,1,0,0.0
37,1208,24.278729985218384,62,0.0,0.0,1,0,0.0
38,1240,-5.341786449301797,32,0.0,0.0,0,1,0.0
39,1259,-5.331831085348289,19,0.0,0.0,0,1,0.0
40,1279,-4.126727575069406,20,0.0,0.0,0,1,0.0
41,1310,-4.80548084041216,31,0.0,0.0,0,1,0.0
42,1331,-4.163792692223902,21,0.0,0.0,0,1,0.0
43,1367,18.56394724404082,36,0.0,0.0,1,0,0.0
44,1400,-5.641171626304305,33,0.0,0.0,0,1,0.0
45,1445,19.92819231129493,45,0.0,0.0,1,0,0.0
46,1480,-4.105839535423236,35,0.0,0.0,0,1,0.0
47,1502,-3.9632092486346444,22,0.0,2.1854761242866516,0,1,0.0
48,1525,-3.119208972000038,23,0.0,2.070946698603423,0,1,0.0
49,1552,17.83770874171302,27,0.0,1.8293204108874004,1,0,0.0
50,1591,22.488741674851973,39,0.0,4.003903609055739,1,0,0.0
51,1609,-3.4607597573168736,18,1.0,4.438351210620668,0,1,0.0
52,1631,-2.964132867603981,22,0.98911,3.993539783087644,0,1,0.0
53,1646,-5.466360636271783,15,0.981685,4.2346016526222225,0,1,1.0
54,1667,-3.911764001765846,21,0.97129,3.688626710857664,0,1,0.0
55,1682,-5.1889806930364415,15,0.963865,3.3337469617525737,0,1,0.0
56,1708,-5.8026075752334645,26,0.950995,4.105445285256092,0,1,1.0
57,1722,-5.514859509805851,14,0.944065,3.978047543338367,0,1,0.0
58,1739,-5.4541104717977085,17,0.93565,3.9079845968414757,0,1,0.0
59,1756,-4.607785718781283,17,0.927235,3.66527054940953,0,1,0.0
60,1778,-6.382998215205815,22,0.916345,3.845286106521433,0,1,1.0
61,1802,-3.9330550920244907,24,0.904465,4.093284425636132,0,1,0.6666666666666666
62,1853,25.176375760636674,51,0.87922,3.8619678458746742,1,0,0.6666666666666666
63,1873,-2.1856710818355296,20,0.86932,3.7259042844176293,0,1,0.0
64,1910,17.580051550058442,37,0.851005,3.7884094280165597,1,0,0.0
65,1935,-5.679142703554256,25,0.83863,3.1413291120529174,0,1,0.3333333333333333
66,1948,-5.207355238289642,13,0.832195,3.677938158695514,0,1,0.0
67,1976,20.13383093017933,28,0.818335,3.7262512796691487,1,0,0.8333333333333334
68,1990,-5.3453097585998375,14,0.8114049999999999,3.3296443777424947,0,1,0.6666666666666666
69,2019,-2.9734384543919177,29,0.79705,3.679972583877629,0,1,0.5
70,2043,-4.491205927092335,24,0.78517,3.7165872106949487,0,1,0.6
71,2058,-5.20237514425542,15,0.777745,3.924381281932195,0,1,0.0
72,2085,-3.4259490150938774,27,0.7643800000000001,3.947346512918119,0,1,0.3333333333333333
73,2099,-4.96628881848634,14,0.75745,3.9362701965229854,0,1,0.6666666666666666
74,2113,-5.212954198285353,14,0.75052,3.3276645988225937,0,1,0.4
75,2137,-3.8359667658836916,24,0.73864,3.708366827418407,0,1,0.0
76,2164,-7.823715945819567,27,0.725275,3.3845963290444128,0,1,0.625
77,2199,-4.347315843739431,35,0.7079500000000001,3.64708194902965,0,1,0.35714285714285715
78,2224,18.046106589592345,25,0.695575,3.6567106503248215,1,0,0.3333333333333333
79,2240,-4.203511682716187,16,0.687655,3.8334233425557613,0,1,0.8333333333333334
80,2261,-2.858912092220246,21,0.67726,3.9554812595957802,0,1,0.5714285714285714
81,2289,-2.6328405511933592,28,0.6634,3.6503013457570757,0,1,0.4444444444444444
82,2303,-5.352328095015881,14,0.6564700000000001,3.343263668673379,0,1,0.8571428571428571
83,2340,20.35810997860699,37,0.638155,3.5641619683922947,1,0,0.7142857142857143
84,2368,18.381437473367285,28,0.624295,3.5830071664282253,1,0,1.0
85,2381,-5.384195246010788,13,0.6178600000000001,3.7835982854549703,0,1,0.25
86,2398,-13.354562236829722,17,0.609445,3.5842312013401703,0,1,0.625
87,2414,-4.454772232281168,16,0.601525,3.522472543641925,0,1,0.7142857142857143
88,2430,-4.132922912467063,16,0.593605,3.890830662101507,0,1,0.6
89,2453,-5.694519933222048,23,0.58222,3.9706206710442253,0,1,0.7142857142857143
90,2471,-3.7966790664275827,18,0.57331,3.912844479084015,0,1,0.8571428571428571
91,2485,-5.250697505140092,14,0.56638,4.183674258845193,0,1,1.0
92,2508,18.63065942381894,23,0.554995,3.8201979282109635,1,0,1.0
93,2531,-5.921172423898353,23,0.5436099999999999,3.812061140070791,0,1,0.5454545454545454
94,2551,-3.0330965840095736,20,0.53371,3.8899836882948877,0,1,0.4444444444444444
95,2605,20.998608422793403,54,0.50698,3.657599801266635,1,0,0.5833333333333334
96,2619,-6.1819006074832465,14,0.50005,3.581167906522751,0,1,0.875
97,2637,-4.446595408934281,18,0.49114,3.465716245273749,0,1,0.7
98,2654,-4.557373417250404,17,0.48272500000000007,3.47787103582831,0,1,0.5
99,2692,-4.254021777913429,38,0.4639150000000001,3.524138469052942,0,1,0.8095238095238095
100,2707,-6.000891282049318,15,0.45648999999999995,3.285852146148682,0,1,0.36363636363636365
101,2736,-5.274842178880375,29,0.44213500000000006,3.62153446520197,0,1,0.6363636363636364
102,2778,20.863739409268142,42,0.42134499999999997,3.3757884183100293,1,0,0.64
103,2792,-11.945758332583996,14,0.414415,3.2700896156685695,0,1,0.625
104,2824,-1.9397592520168239,32,0.398575,3.5093370098620653,0,1,0.5555555555555556
105,2839,-5.266427206499408,15,0.39115,3.5739772717158,0,1,0.4444444444444444
106,2878,-0.5974229579646817,39,0.3718450000000001,3.173108594539838,0,1,0.6153846153846154
107,2930,-9.896352873951244,52,0.346105,3.37722026098233,0,1,0.8918918918918919
108,2968,-1.8468528830929323,38,0.327295,3.3999025358965524,0,1,0.6153846153846154
109,2981,-5.516383548528987,13,0.3208599999999999,3.4943134715923896,0,1,0.7142857142857143
110,3002,-3.772421411521905,21,0.310465,3.257632079578581,0,1,0.7058823529411765
111,3027,-3.3617923353496444,25,0.2980900000000001,3.4933023011684416,0,1,0.75
112,3045,-13.488790934143493,18,0.28918,3.3595309340291553,0,1,0.38461538461538464
113,3086,-5.640085291698611,41,0.26888499999999993,3.1640100573621144,0,1,0.7931034482758621
114,3115,-3.313086570766906,29,0.25453000000000003,3.205629641639775,0,1,0.7619047619047619
115,3198,-14.373300628706055,83,0.213445,3.2174977110811027,0,1,0.7457627118644068
116,3212,-11.58471358942398,14,0.206515,3.3763853034802844,0,1,0.6666666666666666
117,3232,-2.866558258219433,20,0.19661499999999998,3.539554977416992,0,1,0.8823529411764706
118,3245,-12.344534133478986,13,0.19018000000000002,3.3801203943215885,0,1,0.6666666666666666
119,3268,-5.865285283617103,23,0.17879500000000004,3.239897505096767,0,1,0.6153846153846154
120,3281,-5.594507769982671,13,0.17236000000000007,3.929448675650817,0,1,0.8333333333333334
121,3306,16.56149853820019,25,0.15998499999999993,3.5150500285625457,1,0,0.7777777777777778
122,3348,-17.59471496211851,42,0.13919499999999996,3.1984594641696837,0,1,0.8235294117647058
123,3362,-5.366917542733038,14,0.13226500000000008,3.4948002249002457,0,1,0.16666666666666666
124,3387,-7.4865398770938025,25,0.11988999999999994,3.192405071258545,0,1,0.6956521739130435
125,3430,-12.709688975711234,43,0.09860500000000005,3.1335390397282534,0,1,0.6585365853658537
126,3451,-5.711898630779936,21,0.08821000000000001,3.22004006590162,0,1,0.42105263157894735
127,3475,-4.916497681940241,24,0.07633000000000001,3.449926315496365,0,1,0.4782608695652174
128,3517,-4.12008425947226,42,0.055540000000000034,3.5154538488104228,0,1,0.6410256410256411
129,3541,-3.9705559400004615,24,0.04366000000000003,3.426692597568035,0,1,0.6190476190476191
130,3568,-6.2155484556293406,27,0.03029499999999996,3.242942778048692,0,1,0.7407407407407407
131,3592,-6.526005853966943,24,0.01841499999999996,3.4675600975751877,0,1,0.5416666666666666
132,3613,-12.94763679097941,21,0.010000000000000009,3.4767083823680878,0,1,0.8095238095238095
133,3642,18.293597369978734,29,0.010000000000000009,3.60401912701541,1,0,0.7586206896551724
134,3693,-4.4736148304359995,51,0.010000000000000009,3.4986428828800427,0,1,0.8235294117647058
