Episode,Total_Steps,Reward,Ep_Steps,Epsilon,Avg_Loss,Success,Collision,Consistency
1,40,-4.215962135902459,40,0.0,0.0,0,1,0.0
2,62,-5.618437655272967,22,0.0,0.0,0,1,0.0
3,92,-3.826722941423615,30,0.0,0.0,0,1,0.0
4,133,18.070131607754227,41,0.0,0.0,1,0,0.0
5,156,-5.592937390080129,23,0.0,0.0,0,1,0.0
6,195,-4.2998170249801495,39,0.0,0.0,0,1,0.0
7,236,-4.3123155978494,41,0.0,0.0,0,1,0.0
8,259,-5.703831301013664,23,0.0,0.0,0,1,0.0
9,304,18.944117450062205,45,0.0,0.0,1,0,0.0
10,339,-7.015732233763437,35,0.0,0.0,0,1,0.0
11,368,-3.6412737421752555,29,0.0,0.0,0,1,0.0
12,408,-4.6107161665443375,40,0.0,0.0,0,1,0.0
13,465,20.78299792010405,57,0.0,0.0,1,0,0.0
14,488,-5.06084937335782,23,0.0,0.0,0,1,0.0
15,530,-3.8548328268152714,42,0.0,0.0,0,1,0.0
16,568,-4.8791545821993525,38,0.0,0.0,0,1,0.0
17,623,16.48250483593018,55,0.0,0.0,1,0,0.0
18,658,-3.095680845141593,35,0.0,0.0,0,1,0.0
19,706,19.69249651889796,48,0.0,0.0,1,0,0.0
20,743,-5.959629792857802,37,0.0,0.0,0,1,0.0
21,781,-4.318410391840264,38,0.0,0.0,0,1,0.0
22,817,-5.946376470086743,36,0.0,0.0,0,1,0.0
23,857,-5.823995123037783,40,0.0,0.0,0,1,0.0
24,882,-4.975331527493175,25,0.0,0.0,0,1,0.0
25,909,-4.60248634171207,27,0.0,0.0,0,1,0.0
26,944,-6.277713163244039,35,0.0,0.0,0,1,0.0
27,975,-3.925809773192185,31,0.0,0.0,0,1,0.0
28,1000,-5.090333396988177,25,0.0,0.0,0,1,0.0
29,1035,-2.4051420668013765,35,0.0,0.0,0,1,0.0
30,1076,-4.082769707679622,41,0.0,0.0,0,1,0.0
31,1113,-2.3077258565859404,37,0.0,0.0,0,1,0.0
32,1149,-6.232388620770671,36,0.0,0.0,0,1,0.0
33,1188,-5.415067968491758,39,0.0,0.0,0,1,0.0
34,1217,-4.7329800678694935,29,0.0,0.0,0,1,0.0
35,1287,23.67051836451886,70,0.0,0.0,1,0,0.0
36,1326,-3.5501223909155915,39,0.0,0.0,0,1,0.0
37,1384,21.570674314878296,58,0.0,0.0,1,0,0.0
38,1409,-4.893826023696997,25,0.0,0.0,0,1,0.0
39,1443,-3.2700687754614215,34,0.0,0.0,0,1,0.0
40,1482,-4.6389819792238844,39,0.0,0.0,0,1,0.0
41,1502,-6.310075067594232,20,0.0,2.113675832748413,0,1,0.0
