Episode,Total_Steps,Reward,Ep_Steps,Epsilon,Avg_Loss,Success,Collision,Consistency
1,35,-5.350348756418976,35,0.0,0.0,0,1,0.0
2,59,-5.508562994862649,24,0.0,0.0,0,1,0.0
3,86,-4.887728686663553,27,0.0,0.0,0,1,0.0
4,125,17.40817888374994,39,0.0,0.0,1,0,0.0
5,156,-3.9303259488644446,31,0.0,0.0,0,1,0.0
6,197,-3.974715646618656,41,0.0,0.0,0,1,0.0
7,235,-2.954225867653194,38,0.0,0.0,0,1,0.0
8,261,-5.049995965415453,26,0.0,0.0,0,1,0.0
9,305,18.848341965981,44,0.0,0.0,1,0,0.0
10,341,-6.500261419855149,36,0.0,0.0,0,1,0.0
11,386,19.044538216103106,45,0.0,0.0,1,0,0.0
12,424,-5.572007204510203,38,0.0,0.0,0,1,0.0
13,450,-5.006137203610543,26,0.0,0.0,0,1,0.0
14,475,-4.993695068267723,25,0.0,0.0,0,1,0.0
15,515,-4.463725991814647,40,0.0,0.0,0,1,0.0
16,556,-4.309011006060261,41,0.0,0.0,0,1,0.0
17,594,-6.076051571609362,38,0.0,0.0,0,1,0.0
18,624,-4.191101055887117,30,0.0,0.0,0,1,0.0
19,659,-3.4522726467086153,35,0.0,0.0,0,1,0.0
20,698,-5.435931556081316,39,0.0,0.0,0,1,0.0
21,739,-4.053107767613676,41,0.0,0.0,0,1,0.0
22,796,20.513931262199588,57,0.0,0.0,1,0,0.0
23,846,-1.2738864347378644,50,0.0,0.0,0,1,0.0
24,872,-4.890032214291086,26,0.0,0.0,0,1,0.0
25,906,-3.4156349238858343,34,0.0,0.0,0,1,0.0
26,943,-5.888813244118705,37,0.0,0.0,0,1,0.0
27,984,-1.8179793004888811,41,0.0,0.0,0,1,0.0
28,1010,-5.057818190083037,26,0.0,0.0,0,1,0.0
29,1054,19.08212315480053,44,0.0,0.0,1,0,0.0
30,1100,-3.2820480146959543,46,0.0,0.0,0,1,0.0
31,1132,-3.58890671482723,32,0.0,0.0,0,1,0.0
32,1168,-6.709290475605476,36,0.0,0.0,0,1,0.0
33,1194,-5.859809459648856,26,0.0,0.0,0,1,0.0
34,1219,-5.425395308755277,25,0.0,0.0,0,1,0.0
35,1243,-5.384096968146032,24,0.0,0.0,0,1,0.0
36,1292,17.79821820753683,49,0.0,0.0,1,0,0.0
37,1331,-4.819698501506692,39,0.0,0.0,0,1,0.0
38,1355,-5.941636015913926,24,0.0,0.0,0,1,0.0
39,1390,-2.6760555784680014,35,0.0,0.0,0,1,0.0
40,1426,-4.952347183385054,36,0.0,0.0,0,1,0.0
41,1469,-3.667743403005371,43,0.0,0.0,0,1,0.0
42,1517,17.87474058502498,48,0.0,2.02747822859708,1,0,0.0
43,1547,-5.508546390747346,30,0.0,1.7494906028111776,0,1,0.0
44,1594,20.50336266006263,47,0.0,1.3017860492493243,1,0,0.0
45,1625,-4.700790302412799,31,0.0,1.0948506439885786,0,1,0.0
46,1655,-4.972209872532661,30,0.0,0.9890298157930374,0,1,0.0
47,1677,-4.978678301389475,22,0.0,0.8835721259767358,0,1,0.0
48,1708,-5.195592402956622,31,0.0,0.7609162292172832,0,1,0.0
49,1738,-3.995288211219421,30,0.0,0.6394825289646785,0,1,0.0
50,1754,-4.515466169070189,16,0.0,4.103629970923066,0,1,0.0
51,1782,-4.893800820885964,28,1.0,4.109087248465845,0,1,0.0
52,1804,-3.920172679887843,22,0.98911,4.561941800469702,0,1,0.0
53,1837,17.551069397928124,33,0.972775,4.219698541995251,1,0,0.0
54,1855,-5.210025073001077,18,0.963865,3.862998940878444,0,1,0.0
55,1883,-3.928684505735487,28,0.950005,3.8515148732279028,0,1,1.0
56,1906,-3.976174890206071,23,0.93862,3.784945272233175,0,1,0.0
57,1935,-2.8570234526444542,29,0.924265,4.086249498457744,0,1,0.3333333333333333
58,1954,-4.742683062472505,19,0.91486,3.762466896521418,0,1,1.0
59,1976,-4.420371195447986,22,0.9039699999999999,4.015555325556885,0,1,1.0
60,2006,-3.8720861676892344,30,0.88912,3.776874863107999,0,1,0.6666666666666666
61,2035,-4.531570547048533,29,0.874765,4.127083156643243,0,1,1.0
62,2052,-5.692923386734643,17,0.86635,3.897761277416173,0,1,0.5
63,2098,17.974893971669392,46,0.84358,4.048136786598226,1,0,1.0
64,2127,-5.347752530482288,29,0.829225,4.259004118113682,0,1,0.8
65,2145,-5.2029961224259065,18,0.820315,3.8612838461995125,0,1,0.6666666666666666
66,2182,19.71614809509924,37,0.802,3.7242836090358526,1,0,0.75
67,2203,-5.175832097058737,21,0.791605,3.2823635446173802,0,1,0.8333333333333334
68,2233,-4.231761542391002,30,0.776755,3.5099863121906916,0,1,1.0
69,2261,-4.705074844805079,28,0.762895,3.3963592930563857,0,1,0.5714285714285714
70,2310,22.90009403278669,49,0.73864,3.324014320817529,1,0,1.0
71,2337,-5.651944486317713,27,0.725275,3.3875220594582736,0,1,0.8
72,2357,-5.042696352341502,20,0.7153750000000001,3.077777184545994,0,1,0.25
73,2376,-4.742176480837086,19,0.70597,3.073695265933087,0,1,1.0
74,2408,17.344037997309027,32,0.69013,2.9912405922077596,1,0,1.0
75,2455,18.466293947324267,47,0.666865,2.811712254869177,1,0,0.8
76,2483,-6.869646112299812,28,0.6530050000000001,2.631245027163199,0,1,0.6153846153846154
77,2518,-4.798901439333951,35,0.63568,2.8690735091056143,0,1,0.6153846153846154
78,2538,-4.968299434204999,20,0.62578,3.0822655372321606,0,1,0.75
79,2571,18.632032870070994,33,0.609445,2.7626551439364753,1,0,0.75
80,2602,-3.1206803159749175,31,0.5941000000000001,2.6239687922981476,0,1,0.7333333333333333
81,2620,-5.941058846498798,18,0.5851900000000001,2.6850500512454243,0,1,0.7777777777777778
82,2656,-2.010234904718857,36,0.5673699999999999,2.7723828583127923,0,1,0.5
83,2685,-5.862933991077357,29,0.553015,2.3603764240597855,0,1,0.9166666666666666
84,2703,-5.874253496863572,18,0.5441050000000001,2.7084879072176085,0,1,0.2222222222222222
85,2731,-5.583658484521022,28,0.5302450000000001,2.3165676639016186,0,1,0.6428571428571429
86,2779,21.604302764513797,48,0.5064850000000001,2.5398138938471675,1,0,0.6956521739130435
87,2801,-4.935833614074315,22,0.495595,2.6275430477478285,0,1,0.38461538461538464
88,2821,-5.027166700703718,20,0.485695,2.3799170330166817,0,1,0.3333333333333333
89,2840,-4.915534878894777,19,0.47629,2.694648227017177,0,1,0.42857142857142855
90,2857,-5.73115273096447,17,0.46787500000000004,2.756343224469353,0,1,0.8571428571428571
91,2889,18.56761095213064,32,0.45203499999999996,2.5426169144921005,1,0,0.6666666666666666
92,2916,-6.425661255915342,27,0.43867,2.3727369667203337,0,1,0.7777777777777778
93,2954,20.724352957730755,38,0.41986,2.5270910819894388,1,0,0.4
94,2980,-5.978740648820437,26,0.4069900000000001,2.372863282951025,0,1,0.5882352941176471
95,2997,-5.331711172676691,17,0.398575,2.540394297855742,0,1,0.7
96,3027,-1.8908363626995506,30,0.383725,2.410283874720335,0,1,0.8235294117647058
97,3048,-4.879620684719771,21,0.37333000000000005,2.3841416768374897,0,1,0.6666666666666666
98,3066,-5.867526876404063,18,0.36441999999999997,2.4091845547987356,0,1,0.45454545454545453
99,3084,-5.783037700508173,18,0.35551,2.414301378859414,0,1,0.7142857142857143
100,3113,-5.22274002887793,29,0.341155,2.786387326131607,0,1,0.6666666666666666
101,3140,-6.200395287610412,27,0.3277899999999999,2.690369138011226,0,1,0.85
102,3167,-6.212439188789305,27,0.31442499999999995,2.3936309025243476,0,1,0.5263157894736842
103,3207,18.81752514714695,40,0.294625,2.5421392334625126,1,0,0.44
104,3226,-4.7569472991663755,19,0.28522000000000003,2.472998732014706,0,1,0.8571428571428571
105,3244,-5.685140699332306,18,0.27631000000000006,2.5778539234565363,0,1,0.5
106,3262,-5.87552581980377,18,0.26739999999999997,2.5118825824724302,0,1,0.6
107,3310,-6.211968850951,48,0.24363999999999997,2.5727506171291075,0,1,0.7352941176470589
108,3327,-5.869018340107656,17,0.23522500000000002,2.748323816586943,0,1,0.75
109,3363,18.139159828488506,36,0.21740500000000007,2.4393508612281747,1,0,0.7241379310344828
110,3385,-5.194318888367678,22,0.206515,2.710339907895435,0,1,0.8571428571428571
111,3419,-4.830457306395051,34,0.189685,2.5832963629680523,0,1,0.7407407407407407
112,3463,-5.961839801276818,44,0.16790499999999997,2.589229979467663,0,1,0.7058823529411765
113,3492,-5.045187890690679,29,0.15355000000000008,2.8461554700444482,0,1,0.6153846153846154
114,3526,18.46391977347614,34,0.13672000000000006,2.723137660719016,1,0,0.5
115,3553,-4.852095063573243,27,0.1233550000000001,2.7931003173192344,0,1,0.76
116,3596,-2.9394481295195565,43,0.10207,2.8294310516049697,0,1,0.675
117,3622,-5.7436513963000575,26,0.08919999999999995,2.6592027754164658,0,1,0.6956521739130435
118,3653,-6.128257415839418,31,0.073855,2.81570212783352,0,1,0.8260869565217391
119,3673,-4.743817027874959,20,0.06395499999999998,2.6813386738300324,0,1,0.6
120,3706,-3.7144116083330516,33,0.047619999999999996,2.9020535343072633,0,1,0.7419354838709677
121,3740,18.169192257852995,34,0.030789999999999984,2.9303685165941715,1,0,0.6764705882352942
122,3803,-4.104265551837224,63,0.010000000000000009,3.0283042911499267,0,1,0.7258064516129032
123,3822,-5.7934186556378595,19,0.010000000000000009,2.657140740830647,0,1,0.7368421052631579
124,3857,18.581467172604953,35,0.010000000000000009,2.910690556679453,1,0,0.6857142857142857
125,3886,-4.760702705862915,29,0.010000000000000009,2.936824156035637,0,1,0.5862068965517241
126,3930,17.667360547847895,44,0.010000000000000009,2.9970274105329406,1,0,0.8181818181818182
127,3989,18.284283341568493,59,0.010000000000000009,2.8511416961328457,1,0,0.896551724137931
128,4017,-4.275153919174812,28,0.010000000000000009,3.139534984848329,0,1,0.6538461538461539
129,4070,23.02452900923929,53,0.010000000000000009,2.8675308698471986,1,0,0.7358490566037735
130,4096,-5.77809137893281,26,0.010000000000000009,2.841532863389987,0,1,0.6923076923076923
131,4118,-4.404417082603837,22,0.010000000000000009,2.999652021649209,0,1,0.6363636363636364
132,4177,23.42859684946817,59,0.010000000000000009,2.770644574726032,1,0,0.8305084745762712
133,4198,-4.536895633540599,21,0.010000000000000009,2.9021632749409902,0,1,0.7619047619047619
134,4260,17.929159851706988,62,0.010000000000000009,2.994234159588814,1,0,0.8548387096774194
135,4276,-5.515720185127162,16,0.010000000000000009,2.6823364682495594,0,1,0.8125
136,4307,17.350556356352094,31,0.010000000000000009,2.922990860958253,1,0,0.8666666666666667
137,4328,-4.519863525014738,21,0.010000000000000009,2.894845235915411,0,1,0.6190476190476191
138,4347,-5.032312866405828,19,0.010000000000000009,3.135848711195745,0,1,0.631578947368421
139,4368,-6.859447166891082,21,0.010000000000000009,2.8730656731696356,0,1,0.7619047619047619
