Episode,Total_Steps,Reward,Ep_Steps,Epsilon,Avg_Loss,Success,Collision,Consistency
1,37,-4.356172177005069,37,0.0,0.0,0,1,0.0
2,63,-4.902798767584869,26,0.0,0.0,0,1,0.0
3,95,-4.162315856872592,32,0.0,0.0,0,1,0.0
4,119,-5.842906892934118,24,0.0,0.0,0,1,0.0
5,144,-4.757696526523551,25,0.0,0.0,0,1,0.0
6,181,-5.269018003039667,37,0.0,0.0,0,1,0.0
7,222,-2.0943906505860665,41,0.0,0.0,0,1,0.0
8,246,-5.797804241485877,24,0.0,0.0,0,1,0.0
9,293,18.992759001040667,47,0.0,0.0,1,0,0.0
10,330,-6.528765809645094,37,0.0,0.0,0,1,0.0
11,360,-3.400306308176747,30,0.0,0.0,0,1,0.0
12,395,-5.367788564651111,35,0.0,0.0,0,1,0.0
13,455,21.502579773794054,60,0.0,0.0,1,0,0.0
14,478,-5.695144169760006,23,0.0,0.0,0,1,0.0
15,515,-5.233554632330363,37,0.0,0.0,0,1,0.0
16,555,-4.195153852773267,40,0.0,0.0,0,1,0.0
17,610,16.92677435128351,55,0.0,0.0,1,0,0.0
18,637,-5.029361604135357,27,0.0,0.0,0,1,0.0
19,674,-3.784057001158807,37,0.0,0.0,0,1,0.0
20,712,-6.506578437089856,38,0.0,0.0,0,1,0.0
21,753,-4.309511583951403,41,0.0,0.0,0,1,0.0
22,811,20.432939270532295,58,0.0,0.0,1,0,0.0
23,857,-3.0514450176627124,46,0.0,0.0,0,1,0.0
24,885,-5.144865949274271,28,0.0,0.0,0,1,0.0
25,949,23.20334099165604,64,0.0,0.0,1,0,0.0
26,982,-6.244759391176897,33,0.0,0.0,0,1,0.0
27,1044,22.691591059114447,62,0.0,0.0,1,0,0.0
28,1071,-5.168449798754269,27,0.0,0.0,0,1,0.0
29,1103,-3.2428334396834213,32,0.0,0.0,0,1,0.0
30,1142,-5.055323400208733,39,0.0,0.0,0,1,0.0
31,1178,-1.8649205785924217,36,0.0,0.0,0,1,0.0
32,1213,-6.938338190992388,35,0.0,0.0,0,1,0.0
33,1239,-4.834702687304574,26,0.0,0.0,0,1,0.0
34,1280,-4.402615091797127,41,0.0,0.0,0,1,0.0
35,1352,23.35875136703118,72,0.0,0.0,1,0,0.0
36,1424,24.17041590245233,72,0.0,0.0,1,0,0.0
37,1460,-4.639939130908007,36,0.0,0.0,0,1,0.0
38,1485,-4.859902023173318,25,0.0,0.0,0,1,0.0
39,1531,20.40687257989923,46,0.0,1.9480681054053768,1,0,0.0
40,1560,-5.005451166031413,29,0.0,1.579557634633163,0,1,0.0
41,1592,-3.9111874404740856,32,0.0,1.2511820262297988,0,1,0.0
42,1623,-4.452480765916656,31,0.0,1.102258737048795,0,1,0.0
43,1652,-5.858621949091461,29,0.0,0.9875084911954815,0,1,0.0
44,1672,-4.932190979427545,20,0.0,0.8908595561981201,0,1,0.0
45,1705,-4.273433461057586,33,0.0,0.7609063847498461,0,1,0.0
46,1723,-5.397972273533049,18,0.0,0.6567856354845895,0,1,0.0
47,1745,-4.8475836744957,22,0.0,0.5917777297171679,0,1,0.0
48,1781,18.124436879774446,36,0.0,0.5292648677196767,1,0,0.0
49,1812,-4.783859805909901,31,0.0,0.4830840225181272,0,1,0.0
50,1826,-4.895145609699982,14,0.0,5.0085305486406595,0,1,0.0
51,1855,-4.210065790496765,29,1.0,4.469527262038198,0,1,0.0
52,1873,-5.353194139561811,18,0.99109,4.322633240785864,0,1,0.0
53,1904,17.411296865744347,31,0.975745,4.030425029896921,1,0,0.0
