Episode,Total_Steps,Reward,Ep_Steps,Epsilon,Avg_Loss,Success,Collision,Consistency
1,82,2.133957271610786,82,0.959905,0.0,0,1,0.0
2,113,-12.855320102674074,31,0.94456,0.0,0,1,0.0
3,200,-8.438663306090378,87,0.9014949999999999,0.0,0,1,0.0
4,236,-13.542376419379249,36,0.883675,0.0,0,1,0.0
5,336,-4.395667232420994,100,0.834175,0.0,0,0,0.0
6,363,-11.407210531191907,27,0.82081,0.0,0,1,0.0
7,388,-15.099829160119839,25,0.808435,0.0,0,1,0.0
8,442,-15.848210875946714,54,0.781705,0.0,0,1,0.0
9,542,-10.919148709818046,100,0.732205,0.0,0,0,0.0
10,567,-7.740826639056724,25,0.71983,0.0,0,1,0.0
11,594,-13.249892739430294,27,0.706465,0.0,0,1,0.0
12,627,-6.423965382602052,33,0.69013,0.0,0,1,0.0
13,654,-5.100221087906549,27,0.6767650000000001,0.0,0,1,0.0
14,681,-8.916676491113522,27,0.6634,0.0,0,1,0.0
15,711,-12.187168383138278,30,0.64855,0.0,0,1,0.0
16,746,-16.958803300199243,35,0.6312249999999999,0.0,0,1,0.0
17,770,-10.463221004456788,24,0.619345,0.0,0,1,0.0
18,800,-16.49624229362061,30,0.604495,0.0,0,1,0.0
19,829,-8.340285268318857,29,0.59014,0.0,0,1,0.0
20,854,-6.43518538137616,25,0.5777650000000001,0.0,0,1,0.0
21,888,-14.851642144750294,34,0.560935,0.0,0,1,0.0
22,915,-15.247441742076232,27,0.54757,0.0,0,1,0.0
23,952,-14.354115894572324,37,0.529255,0.0,0,1,0.0
24,979,-11.359289663352369,27,0.51589,0.0,0,1,0.0
25,1061,-12.591776961406474,82,0.47529999999999994,0.0,0,1,0.0
26,1112,-15.604407994155327,51,0.450055,0.0,0,1,0.0
27,1212,-0.4635839243143125,100,0.400555,0.0,0,0,0.0
28,1312,-3.239443244247053,100,0.351055,0.0,0,0,0.0
29,1412,-6.115750331176841,100,0.301555,0.0,0,0,0.0
30,1446,-4.759666309498895,34,0.284725,0.0,0,1,0.0
31,1487,-13.724107412181782,41,0.26443000000000005,0.0,0,1,0.0
32,1587,-3.058479342354122,100,0.21492999999999995,1.8335195317350585,0,0,0.0
33,1687,-11.941860353443646,100,0.16543000000000008,1.5852669936418533,0,0,0.0
34,1706,-5.686635024488282,19,0.15602499999999997,1.613296085282376,0,1,0.0
35,1724,-5.457974164937067,18,0.147115,1.5531118479039934,0,1,0.0
36,1760,-17.92161630440765,36,0.12929500000000005,1.6465339014927547,0,1,0.0
37,1792,-15.044340952333151,32,0.11345500000000008,1.5509335584938526,0,1,0.0
