Episode,Total_Steps,Reward,Ep_Steps,Epsilon,Avg_Loss,Success,Collision,Consistency
1,100,-10.618390110884524,100,0.950995,0.0,0,0,0.0
2,165,-4.310920601011725,65,0.91882,0.0,0,1,0.0
3,196,-6.37592648970765,31,0.903475,0.0,0,1,0.0
4,264,-5.923718522312965,68,0.869815,0.0,0,1,0.0
5,364,-4.726033332608713,100,0.820315,0.0,0,0,0.0
6,407,-18.254670210981416,43,0.79903,0.0,0,1,0.0
7,443,-7.567927379101587,36,0.78121,0.0,0,1,0.0
8,476,-4.593482875927114,33,0.764875,0.0,0,1,0.0
9,503,-15.629820936221929,27,0.75151,0.0,0,1,0.0
10,552,-17.154825231499295,49,0.727255,0.0,0,1,0.0
11,594,-18.278850314929468,42,0.706465,0.0,0,1,0.0
12,624,-14.819373686920837,30,0.691615,0.0,0,1,0.0
13,650,-5.057624375238255,26,0.6787449999999999,0.0,0,1,0.0
14,677,-10.270064683610384,27,0.66538,0.0,0,1,0.0
15,719,-17.084562829060616,42,0.64459,0.0,0,1,0.0
16,753,-14.909658035605771,34,0.62776,0.0,0,1,0.0
17,853,-1.4252113571807201,100,0.57826,0.0,0,0,0.0
18,885,-9.291633849217755,32,0.5624199999999999,0.0,0,1,0.0
19,912,-15.89569833815613,27,0.5490550000000001,0.0,0,1,0.0
20,969,-3.9708702381997707,57,0.52084,0.0,0,1,0.0
21,1069,-0.5768649906966385,100,0.47134,0.0,0,0,0.0
22,1155,-16.44923655598692,86,0.4287700000000001,0.0,0,1,0.0
23,1226,-6.5445747041238445,71,0.393625,0.0,0,1,0.0
24,1317,-14.006498704706244,91,0.34858,0.0,0,1,0.0
25,1417,-3.957593072836063,100,0.29908,0.0,0,0,0.0
26,1517,1.281099363722964,100,0.24958000000000002,1.2952567544930123,0,0,0.0
27,1536,-5.6728979162161615,19,0.24017500000000003,1.0627247185299271,0,1,0.0
28,1575,18.745144366719025,39,0.22087,1.5124907615857246,1,0,0.0
29,1623,-20.530590132506227,48,0.19711,1.4398064048339922,0,1,0.0
30,1700,-6.30048983933274,77,0.158995,1.37018995238589,0,1,0.0
31,1730,-12.013479440509027,30,0.14414499999999997,1.3753567814826966,0,1,0.0
32,1757,-15.659359983567393,27,0.13078,1.1644706979945854,0,1,0.0
33,1825,25.683467464535745,68,0.09711999999999998,1.3751466629259728,1,0,0.0
34,1850,-7.762214465706371,25,0.08474500000000007,1.3309157907962799,0,1,0.0
35,1874,-6.892891738952718,24,0.07286499999999996,1.3383336402475834,0,1,0.0
36,1901,-10.107839538117764,27,0.0595,1.5912604464424982,0,1,0.0
