Episode,Total_Steps,Reward,Ep_Steps,Epsilon,Avg_Loss,Success,Collision,Consistency
1,49,-7.808769843872469,49,0.97624,0.0,0,1,0.0
2,75,-2.764587829173273,26,0.9633700000000001,0.0,0,1,0.0
3,164,-8.426299748050214,89,0.919315,0.0,0,1,0.0
4,264,-7.615853025683626,100,0.869815,0.0,0,0,0.0
5,364,4.482050539956919,100,0.820315,0.0,0,0,0.0
6,464,-8.806103609988417,100,0.770815,0.0,0,0,0.0
7,564,0.09805413826576952,100,0.721315,0.0,0,0,0.0
8,664,-8.500596299047595,100,0.671815,0.0,0,0,0.0
9,746,-11.840413747676674,82,0.6312249999999999,0.0,0,1,0.0
10,788,-4.103107898941528,42,0.6104350000000001,0.0,0,1,0.0
11,868,-8.576329479912518,80,0.570835,0.0,0,1,0.0
12,911,-5.667947178396235,43,0.54955,0.0,0,1,0.0
13,985,-11.26072925945904,74,0.51292,0.0,0,1,0.0
14,1060,-12.513761295336137,75,0.4757950000000001,0.0,0,1,0.0
15,1103,-8.93993965557944,43,0.45450999999999997,0.0,0,1,0.0
16,1143,-2.3433942092902464,40,0.43471000000000004,0.0,0,1,0.0
17,1232,-10.735348272154118,89,0.390655,0.0,0,1,0.0
18,1279,-5.351858433142001,47,0.36739,0.0,0,1,0.0
19,1351,-10.85312111217913,72,0.33175,0.0,0,1,0.0
20,1451,-10.490345192511775,100,0.28225,0.0,0,0,0.0
21,1517,-1.8543302467042775,66,0.24958000000000002,0.23857023325913093,0,1,0.0
22,1545,-3.176971674976107,28,0.23572000000000004,0.24753688794693776,0,1,0.0
23,1569,-3.3636616851287418,24,0.22383999999999993,0.25247607201648253,0,1,0.0
24,1652,-7.713158166281081,83,0.182755,0.2546142216951373,0,1,0.0
25,1678,-5.039818710501122,26,0.16988499999999995,0.2526604173561701,0,1,0.0
26,1708,-5.5490603966357614,30,0.15503499999999992,0.27933012892802556,0,1,0.0
27,1737,-6.5530620195076414,29,0.14068000000000003,0.24144224128846464,0,1,0.0
28,1815,-3.1605373745546963,78,0.10207,0.26592939958358425,0,1,0.0
29,1848,-7.674681866589708,33,0.085735,0.27775612010648754,0,1,0.0
30,1897,-6.659348119728373,49,0.06148000000000009,0.25023319511389247,0,1,0.0
31,1935,-8.519722712294467,38,0.042669999999999986,0.2696753543262419,0,1,0.0
32,1963,-8.245587999549645,28,0.028810000000000002,0.27352745006127016,0,1,0.0
33,1986,-2.8617377982110765,23,0.017424999999999913,0.24053370401911114,0,1,0.0
34,2019,-8.9626495683789,33,0.010000000000000009,0.2602814314040271,0,1,0.0
35,2048,-4.151594412484835,29,0.010000000000000009,0.2351998902600387,0,1,0.0
36,2074,-6.075267696065751,26,0.010000000000000009,0.23921876429365233,0,1,0.0
37,2134,-6.4791024460205024,60,0.010000000000000009,0.22621670719236137,0,1,0.0
38,2164,-7.341555900522811,30,0.010000000000000009,0.22015951486925284,0,1,0.0
39,2196,-7.616595383710909,32,0.010000000000000009,0.22553339460864663,0,1,0.0
40,2230,-5.8290997215557185,34,0.010000000000000009,0.23000669084927616,0,1,0.0
41,2259,-2.7967724598708052,29,0.010000000000000009,0.2235989372791915,0,1,0.0
42,2308,-6.308182998848793,49,0.010000000000000009,0.20397799157974672,0,1,0.0
43,2335,-4.116348001855203,27,0.010000000000000009,0.20261407284824937,0,1,0.0
44,2369,-9.279820214328126,34,0.010000000000000009,0.19177009713123827,0,1,0.0
45,2396,-2.5165984913024655,27,0.010000000000000009,0.20902433467132073,0,1,0.0
46,2434,-7.235732790311425,38,0.010000000000000009,0.20633146539330482,0,1,0.0
47,2459,-7.323745612226331,25,0.010000000000000009,0.21541781723499298,0,1,0.0
48,2486,-4.938274544188685,27,0.010000000000000009,0.2193028915811468,0,1,0.0
49,2513,-5.7884462582994285,27,0.010000000000000009,0.20374711492547282,0,1,0.0
50,2542,-2.584871033395498,29,0.010000000000000009,0.16880859768596188,0,1,0.0
51,2570,-2.4191536025777145,28,0.010000000000000009,0.18052726132529123,0,1,0.0
52,2636,-4.804142440779765,66,0.010000000000000009,0.15821045879839044,0,1,0.0
53,2678,14.24436187951803,42,0.010000000000000009,0.14958173923549198,1,0,0.0
54,2746,-13.993061568464944,68,0.010000000000000009,0.15446260856354938,0,1,0.0
55,2789,-4.674651518467527,43,0.010000000000000009,0.21899950365687526,0,1,0.0
56,2814,-7.251864651060969,25,0.010000000000000009,0.2421482229232788,0,1,0.0
57,2850,-8.504182469544833,36,0.010000000000000009,0.1632720995694399,0,1,0.0
58,2880,-3.774422805107001,30,0.010000000000000009,0.16913914730151494,0,1,0.0
59,2913,13.227234224357568,33,0.010000000000000009,0.17178261347792365,1,0,0.0
60,2939,-3.2429198914782207,26,0.010000000000000009,0.20898393670526835,0,1,0.0
61,3014,-13.85265479868907,75,0.010000000000000009,0.16934389422337215,0,1,0.0
62,3048,-9.061398555271975,34,0.010000000000000009,0.1808263232164523,0,1,0.0
63,3078,-8.124957866028769,30,0.010000000000000009,0.16370048026243847,0,1,0.0
64,3103,-5.155338459432157,25,0.010000000000000009,0.26285698741674424,0,1,0.0
65,3161,-12.553236858944153,58,0.010000000000000009,0.16135518599686952,0,1,0.0
66,3190,-6.1162954313807605,29,0.010000000000000009,0.16945424894320554,0,1,0.0
67,3277,-10.990641818093515,87,0.010000000000000009,0.19178737554399447,0,1,0.0
68,3343,-13.09945036947619,66,0.010000000000000009,0.14785486408932644,0,1,0.0
69,3376,-8.139483138970864,33,0.010000000000000009,0.13562603836709802,0,1,0.0
70,3407,-6.612039667809827,31,0.010000000000000009,0.15683022201541932,0,1,0.0
71,3438,-3.6568305037898554,31,0.010000000000000009,0.13222228591480562,0,1,0.0
72,3512,-6.085009307717916,74,0.010000000000000009,0.15746465919388308,0,1,0.0
