Episode,Total_Steps,Reward,Ep_Steps,Epsilon,Avg_Loss,Success,Collision,Consistency
1,26,11.712298411335206,26,0.0,0.0,1,0,0.0
2,51,-2.7308154974354544,25,0.0,0.0,0,1,0.0
3,94,13.696829666170656,43,0.0,0.0,1,0,0.0
4,131,-3.329470738549162,37,0.0,0.0,0,1,0.0
5,155,-2.92187047341456,24,0.0,0.0,0,1,0.0
6,193,-2.7545481159571503,38,0.0,0.0,0,1,0.0
7,233,13.763822272664093,40,0.0,0.0,1,0,0.0
8,286,14.510041406534988,53,0.0,0.0,1,0,0.0
9,327,-2.388564211784866,41,0.0,0.0,0,1,0.0
10,354,-2.8566583230067826,27,0.0,0.0,0,1,0.0
11,396,13.215609772268653,42,0.0,0.0,1,0,0.0
12,430,-2.258790105528533,34,0.0,0.0,0,1,0.0
13,469,-2.4003980691498668,39,0.0,0.0,0,1,0.0
14,502,-3.4797035915501193,33,0.0,0.0,0,1,0.0
15,538,-2.6950128297313642,36,0.0,0.0,0,1,0.0
16,564,-2.8665946410582785,26,0.0,0.0,0,1,0.0
17,609,-1.3319527876248984,45,0.0,0.0,0,1,0.0
18,632,-2.9040701676480816,23,0.0,0.0,0,1,0.0
19,672,-2.6186800257506664,40,0.0,0.0,0,1,0.0
20,710,-2.6746682670859356,38,0.0,0.0,0,1,0.0
21,734,-2.6936820518299176,24,0.0,0.0,0,1,0.0
22,774,13.729554386836217,40,0.0,0.0,1,0,0.0
23,810,-1.877208647102099,36,0.0,0.0,0,1,0.0
24,835,-2.9537012441830433,25,0.0,0.0,0,1,0.0
25,873,-2.6378722064505586,38,0.0,0.0,0,1,0.0
26,934,15.930894575129532,61,0.0,0.0,1,0,0.0
27,972,-2.284863574223553,38,0.0,0.0,0,1,0.0
28,997,-3.146636364350581,25,0.0,0.0,0,1,0.0
29,1044,13.998390128286397,47,0.0,0.0,1,0,0.0
30,1068,-2.8963859392243916,24,0.0,0.0,0,1,0.0
31,1104,-3.167383970754174,36,0.0,0.0,0,1,0.0
32,1140,-3.136798988892777,36,0.0,0.0,0,1,0.0
33,1162,-3.0988745794155714,22,0.0,0.0,0,1,0.0
34,1197,-3.4179104595600975,35,0.0,0.0,0,1,0.0
35,1276,17.043153912387083,79,0.0,0.0,1,0,0.0
36,1300,-2.924410915363044,24,0.0,0.0,0,1,0.0
37,1325,-3.010499385552342,25,0.0,0.0,0,1,0.0
38,1368,13.661720972801996,43,0.0,0.0,1,0,0.0
39,1408,10.999395822722013,40,0.0,0.0,1,0,0.0
40,1432,-3.040311630752522,24,0.0,0.0,0,1,0.0
41,1456,-2.9074832011785654,24,0.0,0.0,0,1,0.0
42,1488,-2.2751308838130773,32,0.0,0.0,0,1,0.0
43,1555,17.115184538450343,67,0.0,1.9208429618315264,1,0,0.0
44,1603,-2.0963467052626887,48,0.0,1.3132181937495868,0,1,0.0
45,1630,-2.494572950951482,27,0.0,1.0954441417146612,0,1,0.0
46,1666,12.848524298547497,36,0.0,0.9691019554932913,1,0,0.0
47,1721,14.715030376466611,55,0.0,0.774738041379235,1,0,0.0
48,1745,-2.749104389886516,24,0.0,0.612798523157835,0,1,0.0
49,1771,-2.9091179135326035,26,0.0,0.5328581184148788,0,1,0.0
50,1813,14.118843616324384,42,0.0,2.0735599976919947,1,0,0.0
51,1838,-2.8303630453048694,25,1.0,1.8089393651485444,0,1,0.0
52,1863,-2.951251543073265,25,0.987625,1.8466753154993056,0,1,0.0
53,1908,14.517857519745956,45,0.96535,1.9095625420411428,1,0,0.0
54,1961,13.06565459318847,53,0.939115,1.9084710273540244,1,0,1.0
55,1985,-2.517733599102551,24,0.927235,1.7711320122083027,0,1,1.0
56,2034,13.306250674439053,49,0.90298,1.8663012342793601,1,0,1.0
57,2081,-1.0857768712783114,47,0.879715,1.7401400046779754,0,1,1.0
58,2106,-2.3805975825555468,25,0.86734,1.7289937400817872,0,1,1.0
59,2138,13.342453764430857,32,0.8515,1.665693280287087,1,0,0.6
60,2175,14.098292252369395,37,0.833185,1.6019869760887042,1,0,1.0
61,2207,-2.714935005140825,32,0.817345,1.6982677732594311,0,1,1.0
62,2238,-2.4358829363840417,31,0.802,1.4880242054500887,0,1,1.0
63,2271,-2.542153684436906,33,0.7856650000000001,1.4593921118613444,0,1,1.0
64,2293,-2.8090669570632714,22,0.774775,1.5858692743561484,0,1,1.0
65,2335,12.326655484218321,42,0.753985,1.5717623010277748,1,0,1.0
66,2356,-2.9057332224161114,21,0.74359,1.4351073805065382,0,1,0.6
67,2389,-2.5958479460931114,33,0.727255,1.484345250509002,0,1,0.875
68,2422,-3.7557554302853053,33,0.71092,1.5970881321665011,0,1,0.875
69,2489,16.052309755350016,67,0.677755,1.3736815606035404,1,0,0.8636363636363636
70,2513,-3.150979063876953,24,0.665875,1.4453240502625704,0,1,0.8333333333333334
71,2538,-2.688464113950489,25,0.6535,1.4830789884924889,0,1,1.0
72,2562,-2.5476726663429243,24,0.6416200000000001,1.2379222959280014,0,1,1.0
73,2599,-3.0549951722129265,37,0.623305,1.171379963288436,0,1,0.8461538461538461
74,2623,11.524907359643166,24,0.611425,1.270932265246908,1,0,1.0
75,2669,-1.4808766108265496,46,0.588655,1.4793961525935193,0,1,0.9375
76,2708,14.483827555443794,39,0.56935,1.2431847374790754,1,0,0.875
77,2732,-2.875113518505061,24,0.55747,1.2470466525604327,0,1,0.7142857142857143
78,2767,-3.241649370525681,35,0.540145,1.1939652455704552,0,1,0.9285714285714286
79,2802,13.62925247441893,35,0.5228200000000001,1.230573890890394,1,0,0.9375
80,2828,-2.133748730849223,26,0.50995,1.1324575543403625,0,1,0.8125
81,2850,-2.8604323582968725,22,0.49905999999999995,1.2017361856997013,0,1,0.6923076923076923
82,2893,-1.2684587522525002,43,0.47777500000000006,1.293237391599389,0,1,0.9047619047619048
83,2929,-2.6144563950153685,36,0.459955,1.2112642688055832,0,1,1.0
84,2953,-3.007060858145919,24,0.448075,1.2065844380607207,0,1,0.8333333333333334
85,2991,13.675931730947088,38,0.429265,1.120562489095487,1,0,0.8095238095238095
86,3024,-3.497244468910357,33,0.41293,1.158643423607855,0,1,0.7777777777777778
87,3086,16.56948293797458,62,0.38224,1.251298008186202,1,0,0.7941176470588235
88,3122,-3.8372711886181152,36,0.36441999999999997,1.2369871054672532,0,1,0.8260869565217391
89,3153,-3.2465960059430685,31,0.349075,1.2134815699631167,0,1,0.7142857142857143
90,3180,-2.2033867696423206,27,0.33570999999999995,1.2505205916585747,0,1,0.8571428571428571
91,3210,13.061193851270987,30,0.3208599999999999,1.3066284368435541,1,0,0.9411764705882353
92,3246,-2.4312749103204494,36,0.3030400000000001,1.2010958732830153,0,1,0.7916666666666666
93,3278,-3.4200322683756603,32,0.2872,1.1541032933164388,0,1,0.8
94,3319,13.74190700207599,41,0.26690499999999995,1.1591286790080186,1,0,0.96875
95,3363,-0.8085710503616053,44,0.24512500000000004,1.1178420218215748,0,1,0.9285714285714286
96,3421,14.418712651473584,58,0.21641500000000002,1.188502541133042,1,0,0.8888888888888888
97,3465,-2.0940441460540202,44,0.194635,1.0893155800347978,0,1,0.825
98,3506,-2.44145738021691,41,0.17434000000000005,1.209739484438082,0,1,0.7666666666666667
99,3575,16.609236853094455,69,0.140185,1.2494170329924943,1,0,0.8852459016393442
100,3603,-2.67246286832699,28,0.12632500000000002,1.2187942756073815,0,1,0.8333333333333334
101,3656,15.552329027155352,53,0.10009000000000001,1.292258360475864,1,0,0.8367346938775511
102,3697,-3.3071641294250176,41,0.07979500000000006,1.096793879459544,0,1,0.868421052631579
103,3735,-2.1147689317215836,38,0.060984999999999956,1.260664016400513,0,1,0.9142857142857143
104,3824,0.42171648781260895,89,0.01693,1.2819993079043506,0,1,0.872093023255814
105,3869,-2.3603928887485717,45,0.010000000000000009,1.174154484934277,0,1,0.8636363636363636
106,3969,2.6609415801760754,100,0.010000000000000009,1.249182585030794,0,0,0.9292929292929293
107,4007,-1.5325727436754453,38,0.010000000000000009,1.0811582325320495,0,1,0.8857142857142857
108,4107,5.861587459483585,100,0.010000000000000009,1.2489503830671311,0,0,0.8787878787878788
109,4207,1.59014554424925,100,0.010000000000000009,1.2827079086005688,0,0,0.9191919191919192
110,4239,12.960322589948685,32,0.010000000000000009,1.275109346024692,1,0,0.90625
111,4327,0.5146650018061543,88,0.010000000000000009,1.2465341150421987,0,1,0.8735632183908046
112,4403,15.771134895252041,76,0.010000000000000009,1.1973824763768597,1,0,0.88
113,4455,13.092202053767704,52,0.010000000000000009,1.2091829513127987,1,0,0.9607843137254902
114,4555,2.6728617785509337,100,0.010000000000000009,1.1672708204388618,0,0,0.87
115,4596,13.373699135084024,41,0.010000000000000009,1.263589289130234,1,0,0.875
116,4675,15.059952077530045,79,0.010000000000000009,1.1245965829378441,1,0,0.8974358974358975
117,4746,16.166552161423237,71,0.010000000000000009,1.1978903098005644,1,0,0.9154929577464789
118,4803,13.553782611030595,57,0.010000000000000009,1.1567629999236058,1,0,0.8703703703703703
119,4841,-1.7048590487372959,38,0.010000000000000009,1.1477689868525456,0,1,0.7567567567567568
120,4939,16.87829540046066,98,0.010000000000000009,1.188225271142259,1,0,0.8979591836734694
121,5039,6.5797130234682015,100,0.010000000000000009,1.204916514158249,0,0,0.9292929292929293
122,5087,-1.6094209437278653,48,0.010000000000000009,1.143886619557937,0,1,0.6595744680851063
123,5149,15.697886326390945,62,0.010000000000000009,1.1082588991811197,1,0,0.9508196721311475
124,5249,3.61097758553521,100,0.010000000000000009,1.1621985962986947,0,0,0.9090909090909091
125,5349,5.041626123613806,100,0.010000000000000009,1.1236368852853775,0,0,0.92
126,5402,14.90201572549319,53,0.010000000000000009,1.1967794304748751,1,0,0.8113207547169812
127,5449,14.263116980395882,47,0.010000000000000009,1.1814097413357267,1,0,0.9787234042553191
128,5539,18.811395262240495,90,0.010000000000000009,1.0655037956105338,1,0,0.898876404494382
129,5605,15.952034221171774,66,0.010000000000000009,1.143552899812207,1,0,0.9206349206349206
130,5644,-1.9727662845498815,39,0.010000000000000009,1.0946883238278902,0,1,0.9230769230769231
131,5744,5.743671248503699,100,0.010000000000000009,1.0967468681931496,0,0,0.9183673469387755
132,5783,-1.3832819061029271,39,0.010000000000000009,1.108910084534914,0,1,0.9473684210526315
133,5815,-2.598836056970021,32,0.010000000000000009,1.0594353061169386,0,1,0.84375
134,5860,-1.4802970671686175,45,0.010000000000000009,1.112560894091924,0,1,0.9333333333333333
135,5910,15.359280684669569,50,0.010000000000000009,1.120188174843788,1,0,0.88
136,6009,16.40711315576777,99,0.010000000000000009,1.115489846227145,1,0,0.865979381443299
137,6054,-2.853667100739364,45,0.010000000000000009,1.116520224677192,0,1,0.9534883720930233
