Episode,Total_Steps,Reward,Ep_Steps,Epsilon,Avg_Loss,Success,Collision,Consistency
1,53,-8.171417691357767,53,0.97426,0.0,0,1,0.0
2,153,3.534118108119811,100,0.92476,0.0,0,0,0.0
3,253,-5.974109398942128,100,0.87526,0.0,0,0,0.0
4,342,-12.386435735678296,89,0.831205,0.0,0,1,0.0
5,406,-1.3915898845180257,64,0.799525,0.0,0,1,0.0
6,457,-7.580838724674994,51,0.77428,0.0,0,1,0.0
7,522,-2.316416063566839,65,0.742105,0.0,0,1,0.0
8,557,-7.725364997602505,35,0.72478,0.0,0,1,0.0
9,657,-0.5833133921563454,100,0.67528,0.0,0,0,0.0
10,757,-0.7401617163756931,100,0.62578,0.0,0,0,0.0
11,831,-3.380159923199649,74,0.5891500000000001,0.0,0,1,0.0
12,931,-2.4959828491346214,100,0.53965,0.0,0,0,0.0
13,1031,-1.856291924950002,100,0.49015,0.0,0,0,0.0
14,1092,-6.277220109653196,61,0.459955,0.0,0,1,0.0
15,1192,-2.969227677215423,100,0.410455,0.0,0,0,0.0
16,1292,0.6200154306439398,100,0.360955,0.0,0,0,0.0
17,1392,-0.5570766342482723,100,0.31145500000000004,0.0,0,0,0.0
18,1492,-3.0452950790580893,100,0.26195499999999994,0.0,0,0,0.0
19,1592,-1.4422007425505368,100,0.21245500000000006,0.15280062308453995,0,0,0.0
20,1617,-5.440758132205502,25,0.20007999999999992,0.15209699533879756,0,1,0.0
21,1696,-7.921764703201692,79,0.16097499999999998,0.1526018082152439,0,1,0.0
22,1725,-4.495367192474457,29,0.14661999999999997,0.17103392913423734,0,1,0.0
23,1773,-7.492948056373452,48,0.12285999999999997,0.13727747567463666,0,1,0.0
24,1804,-2.625077685433279,31,0.10751500000000003,0.1673957456143633,0,1,0.0
25,1833,-7.831941459765997,29,0.09316000000000002,0.22651616175626887,0,1,0.0
26,1856,-3.122956194125189,23,0.08177500000000004,0.2123167304241139,0,1,0.0
27,1888,-7.958154346316575,32,0.06593499999999997,0.17600948829203844,0,1,0.0
28,1922,-6.008027755500564,34,0.049104999999999954,0.17251026219524004,0,1,0.0
29,1994,-10.603273296378987,72,0.01346499999999995,0.17990561792006096,0,1,0.0
30,2026,-5.539183017802234,32,0.010000000000000009,0.13223152526188642,0,1,0.0
31,2049,-7.709724167304049,23,0.010000000000000009,0.12123469392890515,0,1,0.0
32,2075,-5.476095463062779,26,0.010000000000000009,0.1532634223739688,0,1,0.0
33,2112,-5.105424142963461,37,0.010000000000000009,0.15007330406759237,0,1,0.0
34,2164,-6.260854827796052,52,0.010000000000000009,0.14034352644991416,0,1,0.0
35,2204,-8.17727875499033,40,0.010000000000000009,0.12851936584338547,0,1,0.0
36,2240,-5.864587727033811,36,0.010000000000000009,0.1290918727301889,0,1,0.0
37,2291,-2.4637879092144113,51,0.010000000000000009,0.12655331471971437,0,1,0.0
38,2319,-7.1466476444818925,28,0.010000000000000009,0.14487755963844912,0,1,0.0
39,2344,-7.109286939059343,25,0.010000000000000009,0.12809999123215676,0,1,0.0
40,2444,-2.2094222867810585,100,0.010000000000000009,0.11656367603689433,0,0,0.0
41,2532,-6.100871460726397,88,0.010000000000000009,0.10798311102288691,0,1,0.0
42,2557,-3.1996916312015875,25,0.010000000000000009,0.1012755411863327,0,1,0.0
43,2581,-4.997038869650806,24,0.010000000000000009,0.09805709092567365,0,1,0.0
44,2633,-10.220716948484135,52,0.010000000000000009,0.09185981234678856,0,1,0.0
45,2663,-2.643000031092801,30,0.010000000000000009,0.0877804243316253,0,1,0.0
46,2690,-4.397563343947681,27,0.010000000000000009,0.10607607510906679,0,1,0.0
47,2714,-4.788573497674991,24,0.010000000000000009,0.09250056029607852,0,1,0.0
48,2741,-4.8996102029250235,27,0.010000000000000009,0.0878623483909501,0,1,0.0
49,2789,-5.852424287861103,48,0.010000000000000009,0.07845074924019475,0,1,0.0
50,2813,-3.312087977738409,24,0.010000000000000009,0.08502455117801826,0,1,0.0
51,2862,-4.938122221573323,49,0.010000000000000009,0.08766512443520585,0,1,0.0
52,2886,-2.85198712272656,24,0.010000000000000009,0.08142779596770804,0,1,0.0
53,2929,14.324784680964417,43,0.010000000000000009,0.0819232015069141,1,0,0.0
54,2960,-8.17523325422134,31,0.010000000000000009,0.09798908498018019,0,1,0.0
55,3060,-4.2697253289683665,100,0.010000000000000009,0.13814988445490597,0,0,0.0
56,3088,-7.885354199996422,28,0.010000000000000009,0.13515265073095048,0,1,0.0
57,3116,-5.7520022309595715,28,0.010000000000000009,0.11548768276614803,0,1,0.0
58,3182,14.626954633359656,66,0.010000000000000009,0.09178038404294939,1,0,0.0
59,3282,-1.0602979858160524,100,0.010000000000000009,0.13001880157738924,0,0,0.0
60,3328,14.00348472177243,46,0.010000000000000009,0.11913806272913581,1,0,0.0
61,3428,-2.523458206944057,100,0.010000000000000009,0.13307287130504847,0,0,0.0
62,3453,-5.812468836636115,25,0.010000000000000009,0.07092736288905144,0,1,0.0
63,3553,-10.51582875426399,100,0.010000000000000009,0.13072899371385574,0,0,0.0
64,3575,-3.1121191308352927,22,0.010000000000000009,0.16414249925450844,0,1,0.0
65,3600,-7.338775381951626,25,0.010000000000000009,0.13694306686520577,0,1,0.0
66,3700,3.1925290175258305,100,0.010000000000000009,0.1390663719549775,0,0,0.0
67,3800,-4.689347240651527,100,0.010000000000000009,0.11756126303225756,0,0,0.0
68,3900,-1.264831462263436,100,0.010000000000000009,0.1094618571177125,0,0,0.0
69,4000,1.9778283629511784,100,0.010000000000000009,0.12500886868685485,0,0,0.0
70,4100,-0.3553296431362829,100,0.010000000000000009,0.11599266897886991,0,0,0.0
71,4200,3.976899072528709,100,0.010000000000000009,0.10605725187808275,0,0,0.0
72,4300,-3.5844453397592018,100,0.010000000000000009,0.10857569124549628,0,0,0.0
73,4400,-6.510029613276064,100,0.010000000000000009,0.08987553864717483,0,0,0.0
74,4422,-4.555609986740623,22,0.010000000000000009,0.07047059420834888,0,1,0.0
75,4467,-2.419222187100133,45,0.010000000000000009,0.11583128513561355,0,1,0.0
76,4567,-1.7829794542682733,100,0.010000000000000009,0.10959721889346838,0,0,0.0
77,4591,-2.853993179909433,24,0.010000000000000009,0.104934423075368,0,1,0.0
78,4615,-6.391635161454249,24,0.010000000000000009,0.10391212146108349,0,1,0.0
79,4715,-3.4453912141157614,100,0.010000000000000009,0.10923768136650323,0,0,0.0
80,4815,5.553306839669932,100,0.010000000000000009,0.11003790229558945,0,0,0.0
81,4915,-4.197028590003549,100,0.010000000000000009,0.09790691521018743,0,0,0.0
82,4964,-1.5856667992179654,49,0.010000000000000009,0.09226078578099912,0,1,0.0
83,4988,-5.756295638815227,24,0.010000000000000009,0.09945610646779339,0,1,0.0
84,5088,4.173503375693833,100,0.010000000000000009,0.1268804595246911,0,0,0.0
85,5124,13.441136097720214,36,0.010000000000000009,0.11148203764524725,1,0,0.0
86,5224,-2.7073280215802686,100,0.010000000000000009,0.11659491840749979,0,0,0.0
87,5302,-5.403111862883861,78,0.010000000000000009,0.12282190471887589,0,1,0.0
88,5377,14.309320890155035,75,0.010000000000000009,0.1078497089445591,1,0,0.0
89,5477,-1.8566213723647136,100,0.010000000000000009,0.13235593769699336,0,0,0.0
90,5577,-3.5125651460205187,100,0.010000000000000009,0.12723807975649834,0,0,0.0
91,5609,12.773046717934793,32,0.010000000000000009,0.1988096188288182,1,0,0.0
92,5651,-2.7772784170795886,42,0.010000000000000009,0.17209600737052305,0,1,0.0
93,5716,-11.474445333807028,65,0.010000000000000009,0.1426477519938579,0,1,0.0
94,5816,2.033197186522103,100,0.010000000000000009,0.13452173858880997,0,0,0.0
95,5913,-7.883952692393265,97,0.010000000000000009,0.130501890804657,0,1,0.0
96,6013,-5.636595792765232,100,0.010000000000000009,0.13382796928286553,0,0,0.0
97,6113,1.4062006494218038,100,0.010000000000000009,0.14778682425618173,0,0,0.0
98,6183,-11.58810066508502,70,0.010000000000000009,0.14714028340365207,0,1,0.0
99,6275,-7.6872790413645635,92,0.010000000000000009,0.15486054964687512,0,1,0.0
100,6352,-8.571350713497305,77,0.010000000000000009,0.13529647504547973,0,1,0.0
101,6435,-6.454242652398262,83,0.010000000000000009,0.1255219708454896,0,1,0.0
102,6535,1.3422395300243728,100,0.010000000000000009,0.1474232990294695,0,0,0.0
103,6594,-7.403799241827249,59,0.010000000000000009,0.14749387020276764,0,1,0.0
104,6694,3.2883619588099604,100,0.010000000000000009,0.1322392784804106,0,0,0.0
105,6791,15.844980557679975,97,0.010000000000000009,0.1276560870104844,1,0,0.0
106,6851,-10.807420246572738,60,0.010000000000000009,0.11628517787903547,0,1,0.0
107,6951,3.5383572057513133,100,0.010000000000000009,0.1395026107132435,0,0,0.0
108,7051,4.1597949518304285,100,0.010000000000000009,0.15177043877542018,0,0,0.0
109,7097,-9.837291240944044,46,0.010000000000000009,0.11978538690701775,0,1,0.0
110,7164,-10.806865058429263,67,0.010000000000000009,0.14581269904303906,0,1,0.0
111,7264,-4.545363757582278,100,0.010000000000000009,0.12869764529168606,0,0,0.0
112,7354,-10.555527039212302,90,0.010000000000000009,0.12993041690852908,0,1,0.0
113,7421,-10.697710277963429,67,0.010000000000000009,0.1359142309694148,0,1,0.0
114,7521,4.2487397786618795,100,0.010000000000000009,0.14472528658807277,0,0,0.0
115,7621,-1.831358707304778,100,0.010000000000000009,0.13074241258203984,0,0,0.0
116,7721,-6.226367550292174,100,0.010000000000000009,0.12023686289787293,0,0,0.0
117,7821,0.7733697522150196,100,0.010000000000000009,0.13399604693055153,0,0,0.0
118,7921,-5.458636746593723,100,0.010000000000000009,0.13223969899117946,0,0,0.0
119,8021,-4.027544069185359,100,0.010000000000000009,0.12518777437508105,0,0,0.0
120,8121,-8.695923672452247,100,0.010000000000000009,0.13869874604046345,0,0,0.0
121,8221,-0.9143040351372278,100,0.010000000000000009,0.13206675641238688,0,0,0.0
122,8321,5.534636299805881,100,0.010000000000000009,0.1299227885901928,0,0,0.0
123,8421,4.383312983899244,100,0.010000000000000009,0.1252154865860939,0,0,0.0
124,8521,-2.977502575543162,100,0.010000000000000009,0.1218858788907528,0,0,0.0
125,8621,-1.8338623084227448,100,0.010000000000000009,0.13279484152793886,0,0,0.0
126,8678,14.918018907687257,57,0.010000000000000009,0.12308474839256521,1,0,0.0
127,8778,3.1951074420605434,100,0.010000000000000009,0.12803177848458291,0,0,0.0
128,8878,-4.544605698620988,100,0.010000000000000009,0.131501327380538,0,0,0.0
129,8978,-3.7907863880372368,100,0.010000000000000009,0.12365194253623485,0,0,0.0
130,9078,7.947707519401219,100,0.010000000000000009,0.13046854428946972,0,0,0.0
131,9178,0.38171446235111617,100,0.010000000000000009,0.12255451969802379,0,0,0.0
132,9260,16.23301400162889,82,0.010000000000000009,0.12740456040312603,1,0,0.0
133,9360,-1.0479109433746503,100,0.010000000000000009,0.13657228462398052,0,0,0.0
134,9425,15.09653651500216,65,0.010000000000000009,0.12197158829523967,1,0,0.0
135,9492,15.433332496680306,67,0.010000000000000009,0.14270768448043225,1,0,0.0
136,9592,-3.194427699968339,100,0.010000000000000009,0.14977180130779744,0,0,0.0
137,9668,16.097301359898093,76,0.010000000000000009,0.1581655841712889,1,0,0.0
138,9768,4.1307119990923535,100,0.010000000000000009,0.1568712402880192,0,0,0.0
139,9868,1.0817171367598395,100,0.010000000000000009,0.1480931471288204,0,0,0.0
140,9968,-2.8176757275251987,100,0.010000000000000009,0.14312114641070367,0,0,0.0
141,10038,16.341517138121894,70,0.010000000000000009,0.15470039546489717,1,0,0.0
142,10108,15.05447777785611,70,0.010000000000000009,0.16089304217270442,1,0,0.0
143,10208,-1.6648804134535615,100,0.010000000000000009,0.15919746972620488,0,0,0.0
144,10272,15.137066702406084,64,0.010000000000000009,0.14246181678026915,1,0,0.0
145,10372,-1.8214234196625563,100,0.010000000000000009,0.16541783317923545,0,0,0.0
146,10468,15.149900747526031,96,0.010000000000000009,0.15584580351909003,1,0,0.0
147,10532,15.080972917189776,64,0.010000000000000009,0.16904304211493582,1,0,0.0
148,10632,-0.15673995377175964,100,0.010000000000000009,0.16952533341944218,0,0,0.0
149,10732,-6.510803714352154,100,0.010000000000000009,0.17693356215953826,0,0,0.0
150,10832,-0.9065132672751046,100,0.010000000000000009,0.1739798380434513,0,0,0.0
151,10932,0.2776616471578144,100,0.010000000000000009,0.18019403003156184,0,0,0.0
