Episode,Total_Steps,Reward,Ep_Steps,Epsilon,Avg_Loss,Success,Collision,Consistency
1,100,-6.014648305742105,100,0.950995,0.0,0,0,0.0
2,151,-2.200086690329581,51,0.92575,0.0,0,1,0.0
3,242,-8.906526328554165,91,0.880705,0.0,0,1,0.0
4,276,-6.4682440979410805,34,0.863875,0.0,0,1,0.0
5,376,-2.941260841527733,100,0.8143750000000001,0.0,0,0,0.0
6,409,-7.710833116516939,33,0.7980400000000001,0.0,0,1,0.0
7,442,-3.867209346490398,33,0.781705,0.0,0,1,0.0
8,488,-6.226844052828805,46,0.758935,0.0,0,1,0.0
9,533,-6.890168431261933,45,0.73666,0.0,0,1,0.0
10,568,-2.7315268138271316,35,0.7193350000000001,0.0,0,1,0.0
11,602,-7.6003588818430465,34,0.7025049999999999,0.0,0,1,0.0
12,646,-5.715305259261393,44,0.680725,0.0,0,1,0.0
13,679,-7.671471042697562,33,0.66439,0.0,0,1,0.0
14,779,-0.37313767072389753,100,0.6148899999999999,0.0,0,0,0.0
15,811,-5.694094013770833,32,0.59905,0.0,0,1,0.0
16,854,-4.83251198941364,43,0.5777650000000001,0.0,0,1,0.0
17,887,-7.41076571317544,33,0.56143,0.0,0,1,0.0
18,983,-3.0109231694093905,96,0.5139100000000001,0.0,0,1,0.0
19,1014,-7.707896137021878,31,0.49856500000000004,0.0,0,1,0.0
20,1114,-3.534065388579516,100,0.44906500000000005,0.0,0,0,0.0
21,1213,-3.693157413663019,99,0.40005999999999997,0.0,0,1,0.0
22,1313,-1.5046199414453898,100,0.35056,0.0,0,0,0.0
23,1413,-0.17046610074146318,100,0.30106,0.0,0,0,0.0
24,1513,-0.7476789605277976,100,0.25156,0.2804562638585384,0,0,0.0
25,1547,-8.104081468178315,34,0.23473,0.28135758994475885,0,1,0.0
26,1571,-3.2176256737212228,24,0.22285,0.30031016538850963,0,1,0.0
27,1593,-5.590637370536563,22,0.21195999999999993,0.33718552796000784,0,1,0.0
28,1619,-3.0857523381085947,26,0.19909,0.29747060342476916,0,1,0.0
29,1644,-4.842571996603617,25,0.18671499999999996,0.34348210737109186,0,1,0.0
30,1668,-3.0276808305034377,24,0.17483499999999996,0.3180499930555622,0,1,0.0
31,1691,-7.656950972025776,23,0.16344999999999998,0.36255578308001807,0,1,0.0
32,1716,-7.7204972994093435,25,0.15107499999999996,0.3764728680253029,0,1,0.0
33,1742,-2.9525579999733704,26,0.1382049999999999,0.3127743126108096,0,1,0.0
34,1771,-5.839551947357004,29,0.12385000000000002,0.3142807912723771,0,1,0.0
