Episode,Total_Steps,Reward,Ep_Steps,Epsilon,Avg_Loss,Success,Collision,Consistency
1,100,-22.226559244890638,100,0.950995,0.0,0,1,0.0
2,181,-4.598790875731868,81,0.9109,0.0,0,1,0.0
3,272,-17.979715051824865,91,0.865855,0.0,0,1,0.0
4,372,-12.845629359716206,100,0.8163549999999999,0.0,0,0,0.0
5,422,-3.406570592912721,50,0.791605,0.0,0,1,0.0
6,454,-15.357676870870815,32,0.775765,0.0,0,1,0.0
7,503,-4.014316727489411,49,0.75151,0.0,0,1,0.0
8,603,-8.425981666975456,100,0.70201,0.0,0,0,0.0
9,688,-21.035744394746857,85,0.6599349999999999,0.0,0,1,0.0
10,788,0.45337900121616515,100,0.6104350000000001,0.0,0,0,0.0
11,888,-17.82824530118834,100,0.560935,0.0,0,1,0.0
12,929,-5.56760104300828,41,0.54064,0.0,0,1,0.0
13,1006,-21.465447157604327,77,0.5025250000000001,0.0,0,1,0.0
14,1047,-15.549596598655008,41,0.48222999999999994,0.0,0,1,0.0
15,1086,-13.644276949686187,39,0.46292500000000003,0.0,0,1,0.0
16,1178,-4.05545346024179,92,0.417385,0.0,0,1,0.0
17,1227,-13.262512666140012,49,0.39313,0.0,0,1,0.0
18,1327,12.048073842625792,100,0.34363,0.0,0,0,0.0
19,1420,-22.62911966074802,93,0.29759499999999994,0.0,0,1,0.0
20,1462,-14.283150222095918,42,0.27680499999999997,0.0,0,1,0.0
21,1514,-3.893753815836944,52,0.2510650000000001,1.0913750630404269,0,1,0.0
22,1614,-4.410430137731,100,0.201565,1.1634079576283693,0,0,0.0
23,1644,-12.328145390758452,30,0.18671499999999996,0.8808945874373119,0,1,0.0
24,1683,-4.1893508760534806,39,0.16741000000000006,1.1038351884255042,0,1,0.0
25,1715,-16.619899300590234,32,0.15156999999999998,1.1003379272297025,0,1,0.0
26,1746,-4.294056046007857,31,0.13622499999999993,1.2432687893029182,0,1,0.0
27,1781,-16.696676632095883,35,0.1189,0.9907395124435425,0,1,0.0
28,1845,-14.678785368013472,64,0.08721999999999996,1.1200406705029309,0,1,0.0
29,1874,-14.766307471947897,29,0.07286499999999996,1.1005237667725003,0,1,0.0
30,1974,-11.856217211275204,100,0.02336499999999997,1.0978046379983426,0,0,0.0
31,2020,-6.346787493627385,46,0.010000000000000009,0.9463149182822393,0,1,0.0
32,2055,-14.883040821864652,35,0.010000000000000009,0.791527897971017,0,1,0.0
33,2112,-6.620411942682645,57,0.010000000000000009,0.8517032477416491,0,1,0.0
34,2143,-16.913421097064735,31,0.010000000000000009,0.8151572130380138,0,1,0.0
35,2178,-16.70315152840907,35,0.010000000000000009,0.8036352029868534,0,1,0.0
36,2209,-11.48159679770595,31,0.010000000000000009,0.852384207710143,0,1,0.0
37,2269,-12.252241703714962,60,0.010000000000000009,0.7453203372657299,0,1,0.0
38,2302,-14.873258156553044,33,0.010000000000000009,0.7288669573538231,0,1,0.0
39,2330,-15.944205722859461,28,0.010000000000000009,0.6601194435996669,0,1,0.0
40,2388,-10.984533159305176,58,0.010000000000000009,0.7213341195521683,0,1,0.0
41,2461,-13.91536884554992,73,0.010000000000000009,0.6982166222105287,0,1,0.0
42,2486,-5.815530778902361,25,0.010000000000000009,0.705646892786026,0,1,0.0
43,2544,-1.416707279498839,58,0.010000000000000009,0.6188222506436808,0,1,0.0
44,2567,-12.774242618985461,23,0.010000000000000009,0.6381914537885914,0,1,0.0
45,2590,-10.51603928063252,23,0.010000000000000009,0.47980693177036615,0,1,0.0
46,2614,-14.11564337270236,24,0.010000000000000009,0.6549986613293489,0,1,0.0
47,2637,-14.686692603100681,23,0.010000000000000009,0.49305884540081024,0,1,0.0
48,2659,-6.0030422865977835,22,0.010000000000000009,0.6177753745154901,0,1,0.0
49,2682,-10.070787074706601,23,0.010000000000000009,0.5526776547017305,0,1,0.0
50,2705,-8.699975336741485,23,0.010000000000000009,0.6620479550050653,0,1,0.0
51,2784,-7.62378040933039,79,0.010000000000000009,0.5713833061200154,0,1,0.0
52,2808,-11.019071049974864,24,0.010000000000000009,0.6232019476592541,0,1,0.0
53,2833,-5.530979117626127,25,0.010000000000000009,0.5745220983028412,0,1,0.0
54,2905,-27.805634279937323,72,0.010000000000000009,0.5685279367284642,0,1,0.0
55,2978,-12.472274257047914,73,0.010000000000000009,0.5509275740956607,0,1,0.0
56,3013,-17.555654131109073,35,0.010000000000000009,0.5477772027254104,0,1,0.0
57,3036,-14.891761617554018,23,0.010000000000000009,0.5641461623751599,0,1,0.0
58,3060,-6.3805532981897155,24,0.010000000000000009,0.4336901567876339,0,1,0.0
59,3083,-7.7757733185774915,23,0.010000000000000009,0.5507086256276006,0,1,0.0
60,3106,-7.533337767398484,23,0.010000000000000009,0.5580826453540636,0,1,0.0
61,3168,-24.310496644662727,62,0.010000000000000009,0.46931799597317175,0,1,0.0
62,3191,-15.10849924734304,23,0.010000000000000009,0.5057935403740924,0,1,0.0
63,3253,-14.103652058506423,62,0.010000000000000009,0.4195185070556979,0,1,0.0
64,3299,-10.476573705616362,46,0.010000000000000009,0.42338891521744104,0,1,0.0
65,3337,-18.248159832566245,38,0.010000000000000009,0.4428274149173184,0,1,0.0
66,3375,-12.699277108431186,38,0.010000000000000009,0.46304077419795486,0,1,0.0
67,3412,-17.450349091843826,37,0.010000000000000009,0.5178826966801205,0,1,0.0
68,3444,-16.865140624081203,32,0.010000000000000009,0.4510396979749203,0,1,0.0
69,3486,-18.139024142103743,42,0.010000000000000009,0.4137473028330576,0,1,0.0
70,3557,-18.63522865246042,71,0.010000000000000009,0.4573879670089399,0,1,0.0
71,3628,-5.0097408611113226,71,0.010000000000000009,0.43467085546171164,0,1,0.0
72,3688,-1.3119014175775678,60,0.010000000000000009,0.419920485218366,0,1,0.0
73,3719,-15.275537183263602,31,0.010000000000000009,0.48177621681844035,0,1,0.0
74,3753,-12.491395775070789,34,0.010000000000000009,0.4520969553028836,0,1,0.0
75,3788,-12.57625032329499,35,0.010000000000000009,0.5036987381322043,0,1,0.0
76,3860,-9.145428519536244,72,0.010000000000000009,0.4360343087464571,0,1,0.0
77,3917,-7.046403384468239,57,0.010000000000000009,0.46363910771252814,0,1,0.0
78,3948,-14.798274359672536,31,0.010000000000000009,0.4957363841033751,0,1,0.0
79,3986,-2.627454613888683,38,0.010000000000000009,0.45136193538966934,0,1,0.0
80,4059,-5.510936753598798,73,0.010000000000000009,0.48162437710043504,0,1,0.0
81,4119,-7.831980452338662,60,0.010000000000000009,0.47371724297602974,0,1,0.0
82,4149,-11.670103332960924,30,0.010000000000000009,0.43721946080525714,0,1,0.0
83,4207,-15.442831880193715,58,0.010000000000000009,0.4607511216710354,0,1,0.0
84,4307,15.907904437071593,100,0.010000000000000009,0.42170829728245735,0,0,0.0
85,4342,17.14467200505687,35,0.010000000000000009,0.4191037442002978,1,0,0.0
86,4371,-15.649879009084321,29,0.010000000000000009,0.4847539899678066,0,1,0.0
87,4463,-12.61274113681878,92,0.010000000000000009,0.4120412692427635,0,1,0.0
88,4522,-24.093488763560146,59,0.010000000000000009,0.48107077686463373,0,1,0.0
89,4568,-20.601491677562763,46,0.010000000000000009,0.49978285056093463,0,1,0.0
90,4627,-6.014467063425784,59,0.010000000000000009,0.5023907306840865,0,1,0.0
91,4727,-5.924746855196466,100,0.010000000000000009,0.47318284317851067,0,0,0.0
92,4827,-15.90500570892685,100,0.010000000000000009,0.4160719569027424,0,1,0.0
93,4868,-19.966850682917787,41,0.010000000000000009,0.38457682474357324,0,1,0.0
94,4941,-17.35222590718525,73,0.010000000000000009,0.4296844497527162,0,1,0.0
95,5001,-4.962955731774644,60,0.010000000000000009,0.3945743295053641,0,1,0.0
96,5065,-22.009597341799797,64,0.010000000000000009,0.4600962824188173,0,1,0.0
97,5126,-22.419911059024734,61,0.010000000000000009,0.432712797258721,0,1,0.0
98,5226,-14.503853966893484,100,0.010000000000000009,0.41525779336690904,0,0,0.0
99,5302,-8.61022846683404,76,0.010000000000000009,0.3873164091063173,0,1,0.0
100,5363,-7.910003541139758,61,0.010000000000000009,0.3831949900896823,0,1,0.0
101,5463,-6.145494676664202,100,0.010000000000000009,0.4074175846576691,0,0,0.0
102,5490,-11.997586895107752,27,0.010000000000000009,0.3367825713422563,0,1,0.0
103,5517,-9.35780351461993,27,0.010000000000000009,0.43632901266769125,0,1,0.0
104,5592,23.86708687032438,75,0.010000000000000009,0.40855223615964253,1,0,0.0
105,5620,-10.039391198202495,28,0.010000000000000009,0.39824763366154264,0,1,0.0
