Episode,Total_Steps,Reward,Ep_Steps,Epsilon,Avg_Loss,Success,Collision,Consistency
1,25,11.706717601540985,25,0.0,0.0,1,0,0.0
2,51,-2.8677465252676075,26,0.0,0.0,0,1,0.0
3,96,13.78412208742952,45,0.0,0.0,1,0,0.0
4,133,-3.371964134045875,37,0.0,0.0,0,1,0.0
5,158,-2.9712658214645318,25,0.0,0.0,0,1,0.0
6,195,-2.99043932929211,37,0.0,0.0,0,1,0.0
7,238,13.95561521835764,43,0.0,0.0,1,0,0.0
8,286,-0.8841751188074705,48,0.0,0.0,0,1,0.0
9,324,-2.3419734998335344,38,0.0,0.0,0,1,0.0
10,347,-2.734278065018792,23,0.0,0.0,0,1,0.0
11,390,13.502806908927003,43,0.0,0.0,1,0,0.0
12,416,-2.6453973154232626,26,0.0,0.0,0,1,0.0
13,460,-2.038652065113004,44,0.0,0.0,0,1,0.0
14,496,-3.351705991528478,36,0.0,0.0,0,1,0.0
15,536,-2.4824464221547764,40,0.0,0.0,0,1,0.0
16,561,-3.03609984050361,25,0.0,0.0,0,1,0.0
17,604,-1.6532172970679229,43,0.0,0.0,0,1,0.0
18,629,-2.968441538410435,25,0.0,0.0,0,1,0.0
19,667,-2.424045168799431,38,0.0,0.0,0,1,0.0
20,703,-2.593057186085779,36,0.0,0.0,0,1,0.0
21,726,-3.1643682373236857,23,0.0,0.0,0,1,0.0
22,765,13.599802910241795,39,0.0,0.0,1,0,0.0
23,791,-2.8253782330611967,26,0.0,0.0,0,1,0.0
24,815,-2.8681515999244276,24,0.0,0.0,0,1,0.0
25,848,-3.1102034119055,33,0.0,0.0,0,1,0.0
26,875,-2.416295282018835,27,0.0,0.0,0,1,0.0
27,913,-2.4102078256826056,38,0.0,0.0,0,1,0.0
28,938,-2.953330627719388,25,0.0,0.0,0,1,0.0
29,985,14.015668711031536,47,0.0,0.0,1,0,0.0
30,1008,-3.165395772789269,23,0.0,0.0,0,1,0.0
31,1047,-3.1605066178513397,39,0.0,0.0,0,1,0.0
32,1081,-2.973191847896551,34,0.0,0.0,0,1,0.0
33,1106,-2.944134659611086,25,0.0,0.0,0,1,0.0
34,1142,-3.4780441077530466,36,0.0,0.0,0,1,0.0
35,1183,-1.675946342729818,41,0.0,0.0,0,1,0.0
36,1208,-2.9152013237139274,25,0.0,0.0,0,1,0.0
37,1233,-3.064599692537736,25,0.0,0.0,0,1,0.0
38,1277,13.686433687766232,44,0.0,0.0,1,0,0.0
39,1316,10.965261344961316,39,0.0,0.0,1,0,0.0
40,1342,-3.05892494561969,26,0.0,0.0,0,1,0.0
41,1368,-2.6057363602035464,26,0.0,0.0,0,1,0.0
42,1394,-2.925896907347921,26,0.0,0.0,0,1,0.0
43,1429,-2.0285665693479187,35,0.0,0.0,0,1,0.0
44,1465,-3.7299421905053514,36,0.0,0.0,0,1,0.0
45,1489,-3.0000277566098603,24,0.0,0.0,0,1,0.0
46,1524,12.956905872778346,35,0.0,1.9718143443266551,1,0,0.0
47,1578,14.524624513679106,54,0.0,1.4946049678104896,1,0,0.0
48,1602,-2.877783997949228,24,0.0,1.1386193297803402,0,1,0.0
49,1629,-2.528364325629881,27,0.0,1.0469075077109866,0,1,0.0
50,1644,-3.7123501742477014,15,0.0,1.8997046569983165,0,1,0.0
51,1668,-3.00085820576673,24,1.0,1.8210185654461384,0,1,0.0
52,1692,-2.51414166461495,24,0.98812,1.6723102405667305,0,1,0.0
53,1733,14.478821046439649,41,0.967825,1.7288117899400433,1,0,0.0
54,1787,13.16200756247408,54,0.941095,1.620980925306126,1,0,0.5
55,1810,-2.8768422436890164,23,0.92971,1.7177430631025978,0,1,0.5
56,1863,13.21721014352592,53,0.903475,1.4936865019910741,1,0,0.6666666666666666
57,1900,-2.38594660165146,37,0.88516,1.4560771922807436,0,1,1.0
58,1928,-2.4999185233568397,28,0.8713,1.484642522143466,0,1,1.0
59,1960,13.25284612220046,32,0.85546,1.501144991721958,1,0,0.6666666666666666
60,1999,14.223503431233729,39,0.836155,1.5154635168803043,1,0,0.8
61,2035,-2.717376069700781,36,0.818335,1.428603780766328,0,1,0.7142857142857143
62,2071,-2.0232399661963676,36,0.800515,1.3526357855233881,0,1,0.8333333333333334
63,2106,-2.4518215229820717,35,0.78319,1.3515156341450556,0,1,1.0
64,2130,-2.9125808253718546,24,0.7713099999999999,1.4322235137224197,0,1,1.0
65,2182,12.176832295137375,52,0.7455700000000001,1.2260307893157005,1,0,0.7857142857142857
66,2201,-3.1085301864621018,19,0.736165,1.17503086673586,0,1,0.8333333333333334
67,2232,-2.358639596847876,31,0.72082,0.9742437038690813,0,1,0.7142857142857143
68,2260,-3.676727110521825,28,0.70696,1.0802348793617316,0,1,0.875
69,2319,15.839624923278311,59,0.677755,0.9896487242589562,1,0,0.47619047619047616
70,2363,14.95316087433811,44,0.655975,1.0205651674080978,1,0,0.625
71,2386,-2.7095996889937197,23,0.64459,1.0863987881204356,0,1,0.5
72,2410,-2.8933801217530712,24,0.63271,0.9617221100876728,0,1,0.6666666666666666
73,2464,-2.9253123322446872,54,0.60598,1.0154391731377002,0,1,0.6956521739130435
74,2486,11.284448394446422,22,0.59509,1.0219784209674054,1,0,1.0
75,2528,-1.7455905535731553,42,0.5743,0.9780224469446,0,1,0.5555555555555556
76,2559,-2.158683533626775,31,0.558955,0.9180370213523987,0,1,0.5
77,2582,-2.8729424363728437,23,0.54757,1.0009983389273933,0,1,0.8333333333333334
78,2642,-2.3070744828700622,60,0.51787,1.0015777712066969,0,1,0.8461538461538461
79,2678,13.725935317397044,36,0.50005,0.8809804461068578,1,0,0.75
80,2701,-2.928981767097983,23,0.488665,0.8409073550416075,0,1,0.46153846153846156
81,2721,-3.1420905778401806,20,0.478765,0.8122330971062184,0,1,0.8
82,2760,-2.418983254379313,39,0.45946,0.9333611657986274,0,1,0.3888888888888889
83,2802,-2.415314756790516,42,0.43867,0.9007162897004968,0,1,0.5
84,2825,-2.9896819718449104,23,0.427285,0.9161308595667714,0,1,0.6666666666666666
85,2868,13.350170092681767,43,0.406,0.7799019553633624,1,0,0.7083333333333334
86,2927,-10.830443611309008,59,0.3767950000000001,0.9631550670680353,0,1,1.0
87,2958,-1.9214479517507033,31,0.36144999999999994,0.8669701934822144,0,1,0.6190476190476191
88,3020,-5.256252885534091,62,0.33075999999999994,0.9301579690748646,0,1,0.918918918918919
89,3096,-1.3379520811716983,76,0.29314000000000007,0.8901950015049231,0,1,0.6938775510204082
90,3117,-2.77862185588184,21,0.282745,0.8941885779301325,0,1,0.6923076923076923
91,3149,12.688692840026,32,0.26690499999999995,0.8690613089129329,1,0,0.8181818181818182
92,3249,0.8762410216036671,100,0.21740500000000007,0.9621161901950837,0,0,0.8414634146341463
93,3291,-9.632557904678034,42,0.19661499999999998,0.9543924597757203,0,1,1.0
94,3334,13.680090890932519,43,0.1753300000000001,0.9187925187654273,1,0,0.8125
95,3378,-2.335625835938812,44,0.15355000000000008,0.99122611975128,0,1,0.7222222222222222
96,3447,14.139220058006876,69,0.11939500000000003,0.9727919516356095,1,0,0.7538461538461538
97,3483,-8.693125953316748,36,0.10157500000000008,0.9500878800948461,0,1,1.0
98,3583,2.3486650581803086,100,0.05207499999999998,1.0010140086710453,0,0,0.8478260869565217
99,3676,-1.0317965465966488,93,0.010000000000000009,0.9890347965942916,0,1,0.7692307692307693
100,3747,15.67157143251577,71,0.010000000000000009,1.0766932569758993,1,0,0.8450704225352113
101,3813,-1.6483496505999313,66,0.010000000000000009,1.012287564349897,0,1,0.8333333333333334
102,3869,-8.92220179595951,56,0.010000000000000009,1.1074300381754125,0,1,0.9464285714285714
