Episode,Total_Steps,Reward,Ep_Steps,Epsilon,Avg_Loss,Success,Collision,Consistency
1,28,11.838358991143414,28,0.0,0.0,1,0,0.0
2,53,-2.563375756665697,25,0.0,0.0,0,1,0.0
3,95,13.686906458697859,42,0.0,0.0,1,0,0.0
4,130,-2.9278794540570097,35,0.0,0.0,0,1,0.0
5,158,-2.084766093667206,28,0.0,0.0,0,1,0.0
6,195,-2.417109558913449,37,0.0,0.0,0,1,0.0
7,233,13.787247923273334,38,0.0,0.0,1,0,0.0
8,274,-1.4619734881379256,41,0.0,0.0,0,1,0.0
9,311,-2.5253203897130767,37,0.0,0.0,0,1,0.0
10,337,-2.3804152002502064,26,0.0,0.0,0,1,0.0
11,378,13.543323337418746,41,0.0,0.0,1,0,0.0
12,403,-2.969214584174014,25,0.0,0.0,0,1,0.0
13,443,-2.0201952218196952,40,0.0,0.0,0,1,0.0
14,480,-3.1276359679545562,37,0.0,0.0,0,1,0.0
15,517,-2.4895519157219543,37,0.0,0.0,0,1,0.0
16,541,-2.843719391246303,24,0.0,0.0,0,1,0.0
17,594,14.31152955175147,53,0.0,0.0,1,0,0.0
18,620,-2.9353077309045577,26,0.0,0.0,0,1,0.0
19,662,-1.8668850453131296,42,0.0,0.0,0,1,0.0
20,701,-2.3334754432006166,39,0.0,0.0,0,1,0.0
21,727,-2.38496131131297,26,0.0,0.0,0,1,0.0
22,767,13.710399067035302,40,0.0,0.0,1,0,0.0
23,793,-2.590558183789859,26,0.0,0.0,0,1,0.0
24,817,-2.87372451903205,24,0.0,0.0,0,1,0.0
25,853,-2.4850926442216954,36,0.0,0.0,0,1,0.0
26,884,-1.9437150992367238,31,0.0,0.0,0,1,0.0
27,921,-2.4412637724737984,37,0.0,0.0,0,1,0.0
28,945,-2.7124031999482145,24,0.0,0.0,0,1,0.0
29,989,13.931346264180283,44,0.0,0.0,1,0,0.0
30,1015,-2.496764939307486,26,0.0,0.0,0,1,0.0
31,1049,-3.3424465922574473,34,0.0,0.0,0,1,0.0
32,1087,-2.424836189920116,38,0.0,0.0,0,1,0.0
33,1110,-2.8397202980868386,23,0.0,0.0,0,1,0.0
34,1144,-3.5364455975626354,34,0.0,0.0,0,1,0.0
35,1181,-2.2701726439649375,37,0.0,0.0,0,1,0.0
36,1215,-1.7340125084716065,34,0.0,0.0,0,1,0.0
37,1251,-1.3563543000897003,36,0.0,0.0,0,1,0.0
38,1292,13.659956464454986,41,0.0,0.0,1,0,0.0
39,1331,11.15442342688388,39,0.0,0.0,1,0,0.0
40,1363,-1.7840459644841196,32,0.0,0.0,0,1,0.0
41,1386,-2.93569081773762,23,0.0,0.0,0,1,0.0
42,1411,-2.5863250491551564,25,0.0,0.0,0,1,0.0
43,1443,-1.7850539418836382,32,0.0,0.0,0,1,0.0
44,1483,-2.87442412704653,40,0.0,0.0,0,1,0.0
45,1502,-3.2359421786005793,19,0.0,2.2737963795661926,0,1,0.0
46,1531,13.189211436126627,29,0.0,2.075608520672239,1,0,0.0
47,1574,14.82667421979472,43,0.0,1.5770706104677776,1,0,0.0
48,1593,-2.8522182496003152,19,0.0,1.2696991123651202,0,1,0.0
49,1612,-2.6524158151768322,19,0.0,1.1740763548173403,0,1,0.0
50,1626,-3.5828201486271425,14,0.0,2.2254692209618434,0,1,0.0
51,1646,-2.4740342136790634,20,1.0,2.226570023596287,0,1,0.0
52,1663,-2.851887160432949,17,0.991585,1.9529212222379797,0,1,0.0
53,1697,14.604951087050754,34,0.974755,1.9900467606151806,1,0,0.0
54,1738,13.309056856772454,41,0.95446,1.970388048305744,1,0,0.0
55,1757,-2.408655247281632,19,0.945055,1.8281697819107456,0,1,0.0
56,1796,13.095225170274126,39,0.92575,1.933247555142794,1,0,1.0
57,1839,15.68823717595431,43,0.904465,1.8976776031560676,1,0,1.0
58,1859,-2.4903277364513245,20,0.894565,1.921610739827156,0,1,1.0
59,1886,13.454893929074807,27,0.8812,1.8551440895707518,1,0,0.3333333333333333
60,1917,14.153811693678872,31,0.865855,1.7707143546112123,1,0,0.8333333333333334
61,1945,-2.7333417891166167,28,0.8519950000000001,1.8666905563856875,0,1,0.25
62,1977,-2.0297707562786913,32,0.836155,1.6834445935674012,0,1,1.0
63,2006,-1.9939815460178782,29,0.8218,1.749583981674293,0,1,0.6
64,2024,-2.681533491724311,18,0.81289,1.7090851821833186,0,1,0.75
65,2059,12.341712144361285,35,0.7955650000000001,1.6495137184858322,1,0,0.8571428571428571
66,2103,15.560131783167453,44,0.773785,1.6251949308948084,1,0,0.8
67,2128,-2.3607169560435324,25,0.76141,1.543660569190979,0,1,1.0
68,2177,14.362922601284358,49,0.737155,1.65460932467665,1,0,0.8666666666666667
69,2212,-1.020004065400137,35,0.71983,1.4781475113970892,0,1,0.8571428571428571
70,2249,15.023685913837006,37,0.701515,1.4927071095318407,1,0,0.5714285714285714
71,2271,-2.026956968067819,22,0.690625,1.3767775480042805,0,1,0.0
72,2289,-2.851976823489438,18,0.6817150000000001,1.3142568891247113,0,1,0.4444444444444444
73,2317,-3.0581202819645714,28,0.667855,1.4445532384727682,0,1,0.5
74,2334,11.4800888969388,17,0.65944,1.3617966481867958,1,0,1.0
75,2372,14.670304519756817,38,0.64063,1.4141105762437771,1,0,0.6666666666666666
76,2393,-2.490242260827141,21,0.630235,1.3193264302043688,0,1,0.5
77,2410,-2.916403081284545,17,0.62182,1.2320770687040161,0,1,0.6666666666666666
78,2447,-2.912044036028023,37,0.603505,1.4365610524609282,0,1,0.5882352941176471
79,2477,13.903912942517614,30,0.588655,1.336769449710846,1,0,0.7333333333333333
80,2496,-2.471449718278974,19,0.57925,1.2828295521045987,0,1,0.2222222222222222
81,2513,-2.8565599349634363,17,0.570835,1.2620615130838226,0,1,0.6666666666666666
82,2566,16.146362268597418,53,0.5446,1.2923829164707437,1,0,0.6363636363636364
83,2598,-2.7179341854578425,32,0.52876,1.2462211078964174,0,1,0.5625
84,2618,-2.489577727926234,20,0.5188600000000001,1.3429245792329312,0,1,0.7
85,2646,13.578596971827917,28,0.505,1.4027744308114052,1,0,0.7142857142857143
86,2681,-3.591222288490055,35,0.4876750000000001,1.2462170575346265,0,1,0.7619047619047619
87,2702,-1.9310882590364478,21,0.4772799999999999,1.2070743775083905,0,1,0.7142857142857143
88,2752,14.7327284741773,50,0.45253,1.1998770968616008,1,0,0.6818181818181818
89,2780,-2.876550313886277,28,0.43867,1.2635719180107117,0,1,0.6666666666666666
90,2797,-2.8175547740574576,17,0.43025499999999994,1.2460161048699827,0,1,0.6666666666666666
91,2823,13.115728892863785,26,0.417385,1.2482714429497719,1,0,0.47058823529411764
92,2844,-7.921584447241185,21,0.4069900000000001,1.1507177406123705,0,1,1.0
93,2885,-3.053781553133239,41,0.3866949999999999,1.2000049854197152,0,1,0.7272727272727273
94,2916,13.74079366625119,31,0.37134999999999996,1.3106243216222333,1,0,0.7777777777777778
95,2934,-2.7919204114891887,18,0.36244,1.3402847097151809,0,1,0.7692307692307693
96,2983,-2.736252780418853,49,0.33818500000000007,1.1991464694847866,0,1,0.6551724137931034
97,3033,-2.8793332550175528,50,0.313435,1.1841881369054317,0,1,0.6774193548387096
98,3073,-2.804623491075623,40,0.293635,1.1682252552360297,0,1,0.5862068965517241
99,3091,-2.731842456430752,18,0.284725,1.2406594802935917,0,1,0.8333333333333334
100,3110,-2.623013437394617,19,0.27532,1.1940051215259653,0,1,0.5333333333333333
101,3136,-1.5604029514932116,26,0.26244999999999996,1.1958309561014175,0,1,0.42857142857142855
102,3208,-2.951004634495788,72,0.22680999999999996,1.2358895661309361,0,1,0.8043478260869565
103,3237,-2.4143125637299225,29,0.21245500000000006,1.184912312133559,0,1,0.25
104,3259,-2.1615960944315527,22,0.201565,1.258634726093574,0,1,0.55
105,3287,-2.6112765499244417,28,0.187705,1.2242667863943748,0,1,0.6666666666666666
106,3343,16.80951510424216,56,0.15998499999999993,1.1305846365700876,1,0,0.6904761904761905
