Episode,Total_Steps,Reward,Ep_Steps,Epsilon,Avg_Loss,Success,Collision,Consistency
1,85,-11.383780462727055,85,0.95842,0.0,0,1,0.0
2,149,-2.2119588939974197,64,0.92674,0.0,0,1,0.0
3,222,-9.398583016535007,73,0.890605,0.0,0,1,0.0
4,250,-6.194810218816718,28,0.876745,0.0,0,1,0.0
5,303,-5.542492826329691,53,0.85051,0.0,0,1,0.0
6,334,-8.320509944179257,31,0.8351649999999999,0.0,0,1,0.0
7,364,-3.057612585648113,30,0.820315,0.0,0,1,0.0
8,421,-6.796957105066141,57,0.7921,0.0,0,1,0.0
9,460,-9.15404178112465,39,0.772795,0.0,0,1,0.0
10,487,-2.9483185097491376,27,0.75943,0.0,0,1,0.0
11,526,-7.931029627647185,39,0.7401249999999999,0.0,0,1,0.0
12,566,-5.868563827725991,40,0.7203250000000001,0.0,0,1,0.0
13,604,-8.83401283042711,38,0.701515,0.0,0,1,0.0
14,701,-5.418406758893194,97,0.6535,0.0,0,1,0.0
15,725,-5.55782278244067,24,0.6416200000000001,0.0,0,1,0.0
16,764,-4.417015038301519,39,0.622315,0.0,0,1,0.0
17,792,-7.918942081910574,28,0.608455,0.0,0,1,0.0
18,819,-2.6027437897297467,27,0.59509,0.0,0,1,0.0
19,849,-7.940746883928042,30,0.5802400000000001,0.0,0,1,0.0
20,877,-8.21500275127129,28,0.56638,0.0,0,1,0.0
21,901,-2.906523015019534,24,0.5545,0.0,0,1,0.0
22,929,-3.640903461447868,28,0.54064,0.0,0,1,0.0
23,1029,0.9599321684724599,100,0.49114,0.0,0,0,0.0
24,1055,-5.283048881722131,26,0.47827,0.0,0,1,0.0
25,1155,-0.7593002425930484,100,0.4287700000000001,0.0,0,0,0.0
26,1206,-8.677916271524925,51,0.403525,0.0,0,1,0.0
27,1306,0.35748653966445,100,0.35402500000000003,0.0,0,0,0.0
28,1406,-1.8647000731860042,100,0.30452500000000005,0.0,0,0,0.0
29,1479,-5.36654107334769,73,0.26839,0.0,0,1,0.0
30,1579,0.5774457369168939,100,0.21888999999999992,0.40802295779502845,0,0,0.0
31,1635,-9.986972683847767,56,0.19117000000000006,0.4213383378727095,0,1,0.0
32,1658,-7.970077021869021,23,0.17978499999999997,0.39514190784615016,0,1,0.0
33,1678,-2.5759171236252065,20,0.16988499999999995,0.36754420325160025,0,1,0.0
34,1700,-6.978862202341508,22,0.158995,0.3571600592271848,0,1,0.0
35,1719,-4.966400720745626,19,0.14959,0.3827647072704215,0,1,0.0
36,1741,-3.0007138499644084,22,0.13870000000000005,0.4012466218661178,0,1,0.0
