Episode,Total_Steps,Reward,Ep_Steps,Epsilon,Avg_Loss,Success,Collision,Consistency
1,26,11.738195654472522,26,0.0,0.0,1,0,0.0
2,51,-2.7606631918329723,25,0.0,0.0,0,1,0.0
3,93,13.57417327221685,42,0.0,0.0,1,0,0.0
4,127,-3.236058185445787,34,0.0,0.0,0,1,0.0
5,152,-2.6390489208769976,25,0.0,0.0,0,1,0.0
6,189,-2.9831043186395467,37,0.0,0.0,0,1,0.0
7,231,13.999099894134572,42,0.0,0.0,1,0,0.0
8,278,-1.2788630344594476,47,0.0,0.0,0,1,0.0
9,315,-2.190652778168246,37,0.0,0.0,0,1,0.0
10,346,-1.7296055137763817,31,0.0,0.0,0,1,0.0
11,387,13.44348856439446,41,0.0,0.0,1,0,0.0
12,410,-2.964795486216568,23,0.0,0.0,0,1,0.0
13,453,-1.635626267179613,43,0.0,0.0,0,1,0.0
14,492,-3.114061250792086,39,0.0,0.0,0,1,0.0
15,533,-2.391117013142744,41,0.0,0.0,0,1,0.0
16,559,-2.495201470455992,26,0.0,0.0,0,1,0.0
17,616,14.474561968013113,57,0.0,0.0,1,0,0.0
18,639,-2.832455127501652,23,0.0,0.0,0,1,0.0
19,684,-1.9342004058462026,45,0.0,0.0,0,1,0.0
20,723,-2.80423242014995,39,0.0,0.0,0,1,0.0
21,749,-2.8031027926880174,26,0.0,0.0,0,1,0.0
22,787,13.66498852271031,38,0.0,0.0,1,0,0.0
23,843,15.389506023688757,56,0.0,0.0,1,0,0.0
24,867,-2.880870879027122,24,0.0,0.0,0,1,0.0
25,907,-2.1907941699897853,40,0.0,0.0,0,1,0.0
26,934,-2.4870633468554177,27,0.0,0.0,0,1,0.0
27,971,-2.465098343434369,37,0.0,0.0,0,1,0.0
28,995,-2.9997167351602423,24,0.0,0.0,0,1,0.0
29,1041,14.009115524310833,46,0.0,0.0,1,0,0.0
30,1065,-3.1766429529695706,24,0.0,0.0,0,1,0.0
31,1101,-2.9553811574641897,36,0.0,0.0,0,1,0.0
32,1136,-2.8543529680261184,35,0.0,0.0,0,1,0.0
33,1160,-2.9399879034426837,24,0.0,0.0,0,1,0.0
34,1199,-2.8828894722474105,39,0.0,0.0,0,1,0.0
35,1236,-2.330310335085704,37,0.0,0.0,0,1,0.0
36,1263,-2.5369860872811105,27,0.0,0.0,0,1,0.0
37,1295,-1.7781419236708471,32,0.0,0.0,0,1,0.0
38,1340,13.88307410153914,45,0.0,0.0,1,0,0.0
39,1377,11.061739424352384,37,0.0,0.0,1,0,0.0
40,1400,-2.708814739403139,23,0.0,0.0,0,1,0.0
41,1427,-2.6841034771823598,27,0.0,0.0,0,1,0.0
42,1451,-2.967352338028789,24,0.0,0.0,0,1,0.0
43,1486,-1.3040171073987747,35,0.0,0.0,0,1,0.0
44,1514,-3.6356403396061783,28,0.0,2.2268599697521756,0,1,0.0
45,1560,-1.6498142765484332,46,0.0,2.1307580198930656,0,1,0.0
46,1604,-8.527941939016442,44,0.0,1.658243627710776,0,1,0.0
47,1647,-9.561522602039012,43,0.0,1.2967112133669298,0,1,0.0
48,1665,-2.8222470721231705,18,0.0,1.2121349970499675,0,1,0.0
49,1710,-2.141597886034013,45,0.0,1.1746448616186778,0,1,0.0
50,1734,14.16825964974026,24,0.0,9.451844997704029,1,0,0.0
51,1754,-2.6644897463963204,20,1.0,4.7236791253089905,0,1,0.0
52,1777,-2.27238372809331,23,0.988615,3.164333737414816,0,1,0.0
53,1809,14.58833209069936,32,0.972775,2.225502511486411,1,0,0.0
54,1838,-3.8760267911174404,29,0.95842,2.0885634812815437,0,1,1.0
55,1859,-2.5832863434238567,21,0.948025,2.025891749631791,0,1,0.0
56,1900,13.154712528518449,41,0.9277299999999999,2.0061264452410907,1,0,0.6666666666666666
57,1933,-1.0610684937671722,33,0.911395,1.9383867861646595,0,1,0.6666666666666666
58,1954,-2.441694457119527,21,0.901,1.9795008315926506,0,1,1.0
59,1979,13.390847428982175,25,0.888625,2.1968242001533507,1,0,0.3333333333333333
